"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","位置","種類","略称","本社所在地"
"誉田駅","誉田駅（ほんだえき）","https://ja.wikipedia.org/wiki/誉田駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度32分49秒東経140度12分49.7秒","■外房線","12.6 km（千葉起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1896年（明治29年）1月20日[1]","2面3線","千葉市緑区誉田町二丁目24北緯35度32分49秒東経140度12分49.7秒座標:北緯35度32分49秒 東経140度12分49.7秒","業務委託駅*1914年に野田駅から改称。","","ムタ","7,034人/日（降車客含まず）-2019年-","","","","","","","",""
"本竜野駅","本竜野駅（ほんたつのえき）","https://ja.wikipedia.org/wiki/本竜野駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度51分42.15秒東経134度33分20.07秒","K姫新線","14.9 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）[1]","1931年（昭和6年）12月23日[1]","2面2線[1]","兵庫県たつの市龍野町中村33[1]北緯34度51分42.15秒東経134度33分20.07秒﻿ / ﻿北緯34.8617083度 東経134.5555750度﻿ /34.8617083; 134.5555750﻿ (本竜野駅)","業務委託駅みどりの窓口有","","ホノ","1,945人/日（降車客含まず）-2019年-","","","","","","","",""
"本千葉駅","本千葉駅（ほんちばえき）","https://ja.wikipedia.org/wiki/本千葉駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度36分4秒東経140度7分15.5秒","■外房線（■内房線直通含む）","1.4 km（千葉起点）","東日本旅客鉄道（JR東日本）","高架駅","1896年（明治29年）2月25日[1]","1面2線","千葉市中央区長洲一丁目30-1北緯35度36分4秒東経140度7分15.5秒﻿ / ﻿北緯35.60111度 東経140.120972度﻿ /35.60111; 140.120972﻿ (本千葉駅)座標:北緯35度36分4秒東経140度7分15.5秒﻿ / ﻿北緯35.60111度 東経140.120972度﻿ /35.60111; 140.120972﻿ (本千葉駅)","業務委託駅[2]","","ホハ","11,901人/日（降車客含まず）-2019年-","","","","","","","",""
"本津幡駅","本津幡駅（ほんつばたえき）","https://ja.wikipedia.org/wiki/本津幡駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度40分35.79秒東経136度43分55.51秒","■七尾線","2.9 km（津幡起点）金沢から14.4 km","西日本旅客鉄道（JR西日本）","地上駅","1902年（明治35年）6月25日","2面2線[1]","石川県河北郡津幡町字清水チ7北緯36度40分35.79秒東経136度43分55.51秒﻿ / ﻿北緯36.6766083度 東経136.7320861度﻿ /36.6766083; 136.7320861座標:北緯36度40分35.79秒東経136度43分55.51秒﻿ / ﻿北緯36.6766083度 東経136.7320861度﻿ /36.6766083; 136.7320861","無人駅[2]","","ホン","407人/日（降車客含まず）-2019年-","","","","","","","",""
"本通駅","本通駅（ほんどおりえき）","https://ja.wikipedia.org/wiki/本通駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度23分36秒東経132度27分25秒","広島新交通1号線","0.0 km（本通起点）","広島高速交通","地下駅","1994年（平成6年）8月20日[1]","1面2線","広島市中区本通6番30号北緯34度23分36秒東経132度27分25秒﻿ / ﻿北緯34.393394度 東経132.456975度﻿ /34.393394; 132.456975﻿ (アストラムライン 本通駅)座標:北緯34度23分36秒東経132度27分25秒﻿ / ﻿北緯34.393394度 東経132.456975度﻿ /34.393394; 132.456975﻿ (アストラムライン 本通駅)","直営駅[2]","","","12,468人/日（降車客含まず）-2018年-","22,595人/日-2018年-","広島電鉄宇品線（本通停留場）","","","","","",""
"本名駅","本名駅（ほんなえき）","https://ja.wikipedia.org/wiki/本名駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","■只見線","63.6 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1965年（昭和40年）2月1日","1面1線","","無人駅","","ホナ","0人/日（降車客含まず）-2004年-","","","","","","","",""
"本長篠駅","本長篠駅（ほんながしのえき）","https://ja.wikipedia.org/wiki/本長篠駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度55分57.50秒東経137度34分34.19秒","CD飯田線","32.1 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1923年（大正12年）2月1日","1面2線","愛知県新城市長篠字具津67北緯34度55分57.50秒東経137度34分34.19秒﻿ / ﻿北緯34.9326389度 東経137.5761639度﻿ /34.9326389; 137.5761639座標:北緯34度55分57.50秒東経137度34分34.19秒﻿ / ﻿北緯34.9326389度 東経137.5761639度﻿ /34.9326389; 137.5761639","簡易委託駅","","ホナ","259人/日（降車客含まず）-2019年-","","","","","","","",""
"本中野駅","本中野駅（ほんなかのえき）","https://ja.wikipedia.org/wiki/本中野駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度15分30.72秒東経139度28分11.12秒","■小泉線","6.8 km（館林起点）","東武鉄道","地上駅","1917年（大正6年）3月12日","2面2線","群馬県邑楽郡邑楽町大字中野4858-5北緯36度15分30.72秒東経139度28分11.12秒﻿ / ﻿北緯36.2585333度 東経139.4697556度﻿ /36.2585333; 139.4697556﻿ (本中野駅)座標:北緯36度15分30.72秒東経139度28分11.12秒﻿ / ﻿北緯36.2585333度 東経139.4697556度﻿ /36.2585333; 139.4697556﻿ (本中野駅)","","TI42","ホナ","","1,057人/日-2016年-","","","","","","",""
"本納駅","本納駅（ほんのうえき）","https://ja.wikipedia.org/wiki/本納駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度28分55.6秒東経140度18分26.6秒","■外房線","27.7 km（千葉起点）","東日本旅客鉄道（JR東日本）","地上駅","1897年（明治30年）4月17日[1]","2面3線","千葉県茂原市本納1791北緯35度28分55.6秒東経140度18分26.6秒座標:北緯35度28分55.6秒 東経140度18分26.6秒","業務委託駅","","ホノ","1,605人/日（降車客含まず）-2019年-","","","","","","","",""
"本八戸駅","本八戸駅（ほんはちのへえき）","https://ja.wikipedia.org/wiki/本八戸駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯40度30分58.68秒東経141度29分20.26秒","■八戸線","5.5 km（八戸起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）***","高架駅","1894年（明治27年）1月4日[1]","1面2線","青森県八戸市内丸一丁目6-17北緯40度30分58.68秒東経141度29分20.26秒座標:北緯40度30分58.68秒 東経141度29分20.26秒","業務委託駅（JR東日本東北総合サービスが受託）みどりの窓口有","","ホハハヘ（改称前）","1,154人/日（降車客含まず）-2019年-","","","","","","","",""
"本俣賀駅","本俣賀駅（ほんまたがえき）","https://ja.wikipedia.org/wiki/本俣賀駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度39分9.39秒東経131度49分37.38秒","■山口線","89.6 km（新山口起点）","西日本旅客鉄道（JR西日本）","地上駅","1970年（昭和45年）4月1日*","1面1線","島根県益田市本俣賀町256北緯34度39分9.39秒東経131度49分37.38秒﻿ / ﻿北緯34.6526083度 東経131.8270500度﻿ /34.6526083; 131.8270500座標:北緯34度39分9.39秒東経131度49分37.38秒﻿ / ﻿北緯34.6526083度 東経131.8270500度﻿ /34.6526083; 131.8270500","無人駅","","ホマ","2人/日（降車客含まず）-2018年-","","","","","","","",""
"本町駅","本町駅（ほんまちえき）","https://ja.wikipedia.org/wiki/本町駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度40分54.97秒東経135度29分56.34秒","●御堂筋線","8.6 km（江坂起点）千里中央から14.5 km","大阪市高速電気軌道(Osaka Metro)","地下駅","1933年（昭和8年）5月20日","1面2線（御堂筋線、中央線）2面2線（四つ橋線）計4面6線","大阪市中央区船場中央四丁目北緯34度40分54.97秒東経135度29分56.34秒﻿ / ﻿北緯34.6819361度 東経135.4989833度﻿ /34.6819361; 135.4989833﻿ (本町駅)座標:北緯34度40分54.97秒東経135度29分56.34秒﻿ / ﻿北緯34.6819361度 東経135.4989833度﻿ /34.6819361; 135.4989833﻿ (本町駅)","*四つ橋線ホームには記載されない。** 四つ橋線は信濃橋駅として開業。（1969年本町駅に改称・統合）"," M18 ","","90,310人/日（降車客含まず）-2020年-","181,920人/日-2020年-","","","","","","",""
"西堀端停留場","本町一丁目停留場（ほんまちいっちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/西堀端停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度50分24.5秒東経132度45分30.02秒","城南線","3.5 km（道後温泉起点）","伊予鉄道","地上駅","","2面2線","愛媛県松山市大手町一丁目北緯33度50分24.5秒東経132度45分30.02秒﻿ / ﻿北緯33.840139度 東経132.7583389度﻿ /33.840139; 132.7583389﻿ (西堀端停留場)","","03","","","539[1]人/日-2015年-","","","","","","",""
"本町五丁目停留場","本町五丁目停留場（ほんまちごちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/本町五丁目停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度51分2.35秒東経132度45分31.81秒","本町線","1.2 km（本町一丁目起点）","伊予鉄道","地上駅","1962年","2面1線","愛媛県松山市本町五丁目北緯33度51分2.35秒東経132度45分31.81秒﻿ / ﻿北緯33.8506528度 東経132.7588361度﻿ /33.8506528; 132.7588361﻿ (本町五丁目停留場)","","28","","","77[1]人/日-2015年-","","","","","","",""
"本町三丁目停留場","本町三丁目停留場（ほんまちさんちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/本町三丁目停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度50分42.57秒東経132度45分31.77秒","本町線","0.6 km（本町一丁目起点）","伊予鉄道","地上駅","1911年（明治44年）9月1日","2面1線","愛媛県松山市本町2丁目北緯33度50分42.57秒東経132度45分31.77秒﻿ / ﻿北緯33.8451583度 東経132.7588250度﻿ /33.8451583; 132.7588250﻿ (本町三丁目停留場)","","26","","","77[1]人/日-2015年-","","","","","","",""
"本町四丁目停留場","本町四丁目停留場（ほんまちよんちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/本町四丁目停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度50分52.64秒東経132度45分31.76秒","本町線","0.9 km（本町一丁目起点）","伊予鉄道","地上駅","1911年（明治44年）9月1日（本町として）","2面1線","愛媛県松山市本町三丁目、本町四丁目北緯33度50分52.64秒東経132度45分31.76秒﻿ / ﻿北緯33.8479556度 東経132.7588222度﻿ /33.8479556; 132.7588222﻿ (本町四丁目停留場)","","27","","","73[1]人/日-2015年-","","","","","","",""
"本町六丁目停留場","本町六丁目停留場（ほんまちろくちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/本町六丁目停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度51分11.96秒東経132度45分32.01秒","城北線","0.9 km（古町起点）","伊予鉄道","地上駅","1962年2月1日（本町七丁目として）","3面2線","愛媛県松山市北緯33度51分11.96秒東経132度45分32.01秒﻿ / ﻿北緯33.8533222度 東経132.7588917度﻿ /33.8533222; 132.7588917﻿ (本町六丁目停留場)","*1967年1月1日に本町七丁目より改称。","09","","","993[1]人/日-2015年-","","","","","","",""
"本妙寺入口停留場","本妙寺入口停留場（ほんみょうじいりぐちていりゅうじょう）","https://ja.wikipedia.org/wiki/本妙寺入口停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","上熊本線（■B系統）","2.4km（辛島町起点）健軍町から9.3 km（辛島町起点）","熊本市交通局","地上駅","1935年（昭和10年）3月24日","2面2線","","","□B3","","","609人/日-2015年-","","","","","","",""
"本牟田部駅","本牟田部駅（ほんむたべえき）","https://ja.wikipedia.org/wiki/本牟田部駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度22分19.567秒東経129度59分47.886秒","■唐津線","30.1 km（久保田起点）","九州旅客鉄道（JR九州）","地上駅","1960年（昭和35年）2月1日","1面1線","佐賀県唐津市相知町牟田部北緯33度22分19.567秒東経129度59分47.886秒座標:北緯33度22分19.567秒 東経129度59分47.886秒","無人駅","","ホム","33人/日（降車客含まず）-2016年-","69人/日-2016年-","","","","","","",""
"本牧埠頭駅","本牧埠頭駅（ほんもくふとうえき）","https://ja.wikipedia.org/wiki/本牧埠頭駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度26分0.0秒東経139度40分28.9秒","本牧線","5.6 km（根岸起点）","神奈川臨海鉄道","地上駅","1969年（昭和44年）10月1日","","横浜市中区本牧ふ頭1北緯35度26分0.0秒東経139度40分28.9秒﻿ / ﻿北緯35.433333度 東経139.674694度﻿ /35.433333; 139.674694座標:北緯35度26分0.0秒東経139度40分28.9秒﻿ / ﻿北緯35.433333度 東経139.674694度﻿ /35.433333; 139.674694","貨物専用駅","","","","","","","","","","",""
"本由良駅","本由良駅（ほんゆらえき）","https://ja.wikipedia.org/wiki/本由良駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度1分55.25秒東経131度20分37.13秒","■山陽本線","467.7 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1900年（明治33年）12月3日","2面2線","山口県山口市佐山字国木南4194北緯34度1分55.25秒東経131度20分37.13秒﻿ / ﻿北緯34.0320139度 東経131.3436472度﻿ /34.0320139; 131.3436472座標:北緯34度1分55.25秒東経131度20分37.13秒﻿ / ﻿北緯34.0320139度 東経131.3436472度﻿ /34.0320139; 131.3436472","無人駅（自動券売機 有）*1950年に阿知須駅から改称。","","ユラ","274人/日（降車客含まず）-2019年-","","","","","","","",""
"本吉原駅","本吉原駅（ほんよしわらえき）","https://ja.wikipedia.org/wiki/本吉原駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度9分43.12秒東経138度41分33.30秒","■岳南線","3.0 km（吉原起点）","岳南電車","地上駅","1950年（昭和25年）4月18日","1面2線","静岡県富士市今泉一丁目17-39北緯35度9分43.12秒東経138度41分33.30秒座標:北緯35度9分43.12秒 東経138度41分33.30秒","無人駅","GD04","","111人/日（降車客含まず）-2019年-","318人/日-2019年-","","","","","","",""
