"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","泉質","交通","泉温（,摂氏,）","外部リンク","宿泊施設数","液性の分類","pH","湧出量","浸透圧の分類","総収容人員数","特記事項","年間浴客数","統計年","営業時間","温泉施設数","登録路線","登録回","登録日"
"東道後のそらともり","[東道後のそらともり] 東道後のそらともり （ひがしどうごのそらともり）は、 愛媛県 松山市 南久米町3番地1にある、入浴やレジャー、宿泊を兼ね備えた複合温浴施設である。","https://ja.wikipedia.org/wiki/東道後のそらともり","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","愛媛県松山市南久米町3番地1","アルカリ性単純温泉","鉄道 :伊予鉄道横河原線久米駅下車バス : 伊予鉄バス日尾公園前バス停下車自動車 :松山自動車道松山IC・川内ICから約20分。","38.7°C","http://www.soratomori.jp/","17室","弱アルカリ性","9.0","","低張性","","","","","","","","",""
"南道後温泉","[南道後温泉] 南道後温泉 （みなみどうごおんせん）とは、 愛媛県 松山市 中野町に湧出する 温泉 である。日帰り入浴施設「ていれぎの湯」や、宿泊所を備えた「ていれぎ館」がある。","https://ja.wikipedia.org/wiki/南道後温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","愛媛県松山市、愛媛県伊予郡砥部町","ナトリウム塩化物泉","松山自動車道松山ICから松山外環状道路、国道33号、愛媛県道23号を東温市方面へ約3Km。","40.8°C","ていれぎの湯","","","7.3","","","","","","","","","","",""
"道後さや温泉","[道後さや温泉] 道後さや温泉 （どうごさやおんせん）は 愛媛県 松山市 （旧国 伊予国 ）に湧出する 温泉 。","https://ja.wikipedia.org/wiki/道後さや温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","愛媛県松山市","塩化物泉（ナトリウム）","バス：伊予鉄バス三津吉田線高岡天神前バス停車：松山自動車道松山ICより西方約5km","","","","","","","","","","","","","","","",""
"権現温泉","[権現温泉] 権現温泉 （ごんげおんせん）は、 愛媛県 松山市 （旧国 伊予国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/権現温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度53分48.2秒東経132度46分5.1秒","愛媛県松山市権現温泉松山駅愛媛県地図","単純温泉","鉄道：予讃線堀江駅よりタクシーで約5分","24 - 27°C","","","アルカリ性","","","","","","","","","","","",""
"見奈良温泉","[見奈良温泉] 見奈良温泉 （みならおんせん）は 愛媛県 東温市 （旧国 伊予国 ）に湧出する 温泉 。","https://ja.wikipedia.org/wiki/見奈良温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度47分27.3秒東経132度52分43.6秒","愛媛県東温市見奈良温泉松山駅愛媛県地図","塩化物泉（ナトリウム）","鉄道：伊予鉄道横河原線で見奈良駅下車徒歩約5分車：松山自動車道川内インターチェンジより西方約2km","","","","弱アルカリ性","","","低張性","","","","","","","","",""
"川内温泉","[川内温泉] 川内温泉 （かわうちおんせん）は、 愛媛県 東温市 （旧国 伊予国 ）に湧出する 温泉 。","https://ja.wikipedia.org/wiki/川内温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度48分11.2秒東経132度54分52.4秒","愛媛県東温市北方川内温泉松山駅愛媛県地図","塩化物泉（ナトリウム）","松山自動車道川内インターチェンジより北東約1km","42.3°C","川内温泉","","","","","","","","","","","","","",""
"鈍川温泉","[鈍川温泉] 鈍川温泉 （にぶかわおんせん）は、 愛媛県 今治市 玉川町 （旧国 伊予国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/鈍川温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度58分55.1秒東経132度56分7.6秒","愛媛県今治市玉川町鈍川温泉松山駅愛媛県地図","単純温泉","鉄道：予讃線今治駅よりせとうちバスで約30分","22°C","鈍川温泉組合","5","","","","","","","","","","","","",""
"湯ノ浦温泉","[湯ノ浦温泉] 湯ノ浦温泉 （ゆのうらおんせん）は、 愛媛県 今治市 （旧国 伊予国 ）の南東、渚百選に選ばれた白砂清松の桜井海岸を望む高台に位置する温泉郷。湧出量は1日あたり1200トン。 ラドン や フッ素 などを含む良質な 温泉 として知られている。 NPO法人 健康と温泉フォーラムによる、 温泉療法 医がすすめる 名湯百選 に選ばれている。","https://ja.wikipedia.org/wiki/湯ノ浦温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度59分42.7秒東経133度3分14.7秒","愛媛県今治市湯ノ浦","単純弱放射能冷鉱泉","鉄道：予讃線今治駅よりバスで約30分予讃線壬生川駅よりバスで約20分。車：今治小松自動車道今治湯ノ浦ICより車で3分。西瀬戸自動車道（しまなみ海道）今治ICより車で20分","19.0°C","","","","7.9","1200t","","","","","","","","","",""
"本谷温泉","[本谷温泉] 本谷温泉 （ほんだにおんせん）は、 愛媛県 西条市 （旧国 伊予国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/本谷温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度55分46.1秒東経133度01分17.4秒","愛媛県西条市本谷温泉松山駅愛媛県地図","単純温泉","鉄道：最寄駅は予讃線壬生川駅（特急停車）又は伊予三芳駅。壬生川駅よりタクシーで約18分バス：壬生川駅又は伊予三芳駅からバス利用車：今治小松自動車道東予丹原インターチェンジより約15分","20°C","","","アルカリ性","9.0","","","","現在閉館中","","","","","","",""
"湯之谷温泉 (愛媛県)","[湯之谷温泉] 湯之谷温泉 （ゆのたにおんせん）は、 愛媛県 西条市 洲之内（旧国 伊予国 ）にある 温泉 である。","https://ja.wikipedia.org/wiki/湯之谷温泉_(愛媛県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度53分34.5秒東経133度09分50.5秒","愛媛県西条市洲之内1193","ナトリウム・塩化物・炭酸水素塩冷鉱泉（低張性弱アルカリ性冷鉱泉）","鉄道:予讃線伊予西条駅よりせとうちバスで約8分","18°C","湯之谷温泉","1","","","毎分36リットル","","30 人/日","","","","","","","",""
"別子温泉","[別子温泉] 別子温泉 （べっしおんせん）は、 愛媛県 新居浜市 の 別子ライン の真ん中にあるマイントピア別子本館内にある 温泉 である。平成28年4月15日に、全面改装してオープンした。","https://ja.wikipedia.org/wiki/別子温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度54分5.4秒東経133度18分34.1秒","愛媛県新居浜市立川町 マイントピア別子4階別子温泉松山駅愛媛県地図","ナトリウム・カルシウムー塩化物・炭酸水素塩冷鉱泉（低張性中性冷鉱泉）","鉄道 :予讃線新居浜駅よりバスで約15分","","","","","7.1","","","","","","","","","","",""
"多々羅温泉","[多々羅温泉] 多々羅温泉 （たたらおんせん）は、 愛媛県 今治市 上浦町井口（旧国 伊予国 ）、 瀬戸内海 の 大三島 にある 温泉 。","https://ja.wikipedia.org/wiki/多々羅温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯34度15分16.9秒東経133度2分46秒","愛媛県今治市上浦町井口7848-1","含弱放射線 - カルシウム・ナトリウム - 塩化物冷鉱泉","車：西瀬戸自動車道大三島ICより約5分バス：しまなみライナー「大三島IC」停留所下車、徒歩約20分","22.3°C","多々羅温泉 しまなみの湯","","","","17L（毎分）","","","","約5万人","","","","","",""
"小薮温泉","[小薮温泉] 小薮温泉 （おやぶおんせん）は、 愛媛県 大洲市 肱川町（旧国 伊予国 ）にある 温泉 。 肱川 中流にある 鹿野川ダム わずかに下流で左岸に流れ込む 小藪川 をさかのぼったところにある。 小藪温泉 とも表記する。","https://ja.wikipedia.org/wiki/小薮温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度27分11.4秒東経132度40分6.9秒","愛媛県大洲市肱川町小薮温泉松山駅愛媛県地図","冷鉱泉","鉄道：JR予讃線伊予大洲駅からバスで鹿野川大橋下車車：松山自動車道内子五十崎インターチェンジから南方面、愛媛県道229号、国道197号経由で約16km","","","","アルカリ性","","","","","","","","","","","",""
"亀ヶ池温泉","[亀ヶ池温泉] 亀ヶ池温泉 （かめがいけおんせん）は、 愛媛県 （旧国伊予国） 西宇和郡 伊方町 にある 温泉 。","https://ja.wikipedia.org/wiki/亀ヶ池温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度27分54.7秒東経132度16分51.3秒","愛媛県西宇和郡伊方町亀ヶ池温泉松山駅愛媛県地図","塩化物泉（ナトリウム）","車：佐田岬半島を東西に走る国道197号の平石峠から分かれてミカン畑の続く南斜面を約2分下った場所（伊方町二見）に位置","","","","弱アルカリ性","","","低張性","","","","","","","","",""
"北川温泉 (高知県)","[北川温泉] 北川温泉 （きたがわおんせん）は、 高知県 安芸郡 北川村 にある 温泉 。","https://ja.wikipedia.org/wiki/北川温泉_(高知県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度29分53.0秒東経134度06分1.6秒","高知県安芸郡北川村小島121北川温泉高知駅高知県地図","含重曹食塩泉","鉄道：土讃本線高知駅よりバスで約100分","18°C","","1","","","","","","","","","","","","",""
"足摺温泉 (存在しないページ)","[足摺温泉]","https://ja.wikipedia.org/w/index.php?title=足摺温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"猪野沢温泉 (存在しないページ)","[猪野沢温泉]","https://ja.wikipedia.org/w/index.php?title=猪野沢温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蘇鶴温泉 (存在しないページ)","[蘇鶴温泉]","https://ja.wikipedia.org/w/index.php?title=蘇鶴温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"博多温泉","[（はかた）温泉] 博多温泉 （はかたおんせん）は、 福岡県 福岡市 南区 （旧国 筑前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/博多温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","福岡県福岡市南区","塩化物泉","西鉄天神大牟田線大橋駅より徒歩で約15分","44°C","","2","","","","","","","","","","","","",""
"船小屋温泉","[（ふなごや）温泉] 船小屋温泉 （ふなごやおんせん）は、有明海へと注ぐ河川の1本である 矢部川 沿いに湧出する、 福岡県 南部の 冷鉱泉 である。矢部川の両岸に湧出しているものの、 筑後市 は船小屋温泉と呼ばれるのに対し、 みやま市 側は 新船小屋温泉 と名称が異なる。なお、船小屋温泉と新船小屋温泉を隔てる矢部川には、 船小屋温泉大橋 も架けられている。本項では新船小屋温泉も含めて記述する。","https://ja.wikipedia.org/wiki/船小屋温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯33度10分59.4秒東経130度30分22.7秒","福岡県筑後市","含鉄炭酸泉","鉄道 -JR筑後船小屋駅バス -西鉄バス「船小屋」バス停車 -九州自動車道八女IC","19°C","船小屋温泉郷公式サイト筑後市公式サイトみやま市公式サイト","","","","","","","","","","","","","",""
"原鶴温泉","[（はらづる）温泉] 原鶴温泉 （はらづるおんせん）は、 福岡県 朝倉市 （旧国 筑前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/原鶴温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","福岡県朝倉市杷木久喜宮","単純温泉、硫黄泉","鉄道：JR久大本線筑後吉井駅よりタクシーで約10分バス：JR二日市駅または西日本鉄道天神大牟田線朝倉街道駅より西鉄バス(41)番系統「杷木」行き乗車、原鶴温泉バス停で下車。博多バスターミナルより日田行き高速バスで杷木バス停下車、タクシーで約8分。","40 - 60°C","","23","","","","","","","","","","","","",""
"薬王寺温泉","[薬王寺温泉] 薬王寺温泉 （やくおうじおんせん）は、 福岡県 古賀市 （旧国 筑前国 ）薬王寺にある 温泉 。","https://ja.wikipedia.org/wiki/薬王寺温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","福岡県古賀市","放射能泉","鹿児島本線古賀駅よりタクシーで約15分、もしくは同駅から西鉄バス1・7番「こもの」行き乗車、「薬王寺」下車、徒歩20分","25°C","","2","","","","","","","","","","","","",""
