"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","駅数","開業","標高","標高差"
"江ノ島駅","江ノ島駅（えのしまえき）","https://ja.wikipedia.org/wiki/江ノ島駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度18分39.5秒東経139度29分15秒","江ノ島電鉄線","3.3 km（藤沢起点）","江ノ島電鉄","1902年（明治35年）9月1日","地上駅","神奈川県藤沢市片瀬海岸一丁目4-7北緯35度18分39.5秒東経139度29分15秒﻿ / ﻿北緯35.310972度 東経139.48750度﻿ /35.310972; 139.48750﻿ (江ノ島駅)座標:北緯35度18分39.5秒東経139度29分15秒﻿ / ﻿北緯35.310972度 東経139.48750度﻿ /35.310972; 139.48750﻿ (江ノ島駅)","2面2線","","","","EN06","10,097人/日-2019年-","湘南江の島駅（湘南モノレール江の島線）片瀬江ノ島駅（小田急江ノ島線）","","","","","",""
"江波停留場","江波停留場（えばていりゅうじょう）","https://ja.wikipedia.org/wiki/江波停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度22分20.77秒東経132度26分9.05秒","■江波線","2.6 km（土橋起点）","広島電鉄","1954年（昭和29年）1月[2]","地上駅","広島市中区江波西一丁目北緯34度22分20.77秒東経132度26分9.05秒﻿ / ﻿北緯34.3724361度 東経132.4358472度﻿ /34.3724361; 132.4358472﻿ (江波停留場)座標:北緯34度22分20.77秒東経132度26分9.05秒﻿ / ﻿北緯34.3724361度 東経132.4358472度﻿ /34.3724361; 132.4358472﻿ (江波停留場)","2面2線","","","","●E6","1,753[1]人/日-2019年-","","","","","","",""
"江端駅","江端駅（えばたえき）","https://ja.wikipedia.org/wiki/江端駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度1分41秒東経136度12分44秒","福武線","15.5 km（越前武生駅起点）","福井鉄道","1925年（大正14年）7月26日","地上駅","福井県福井市江端町北緯36度1分41秒東経136度12分44秒﻿ / ﻿北緯36.02806度 東経136.21222度﻿ /36.02806; 136.21222座標:北緯36度1分41秒東経136度12分44秒﻿ / ﻿北緯36.02806度 東経136.21222度﻿ /36.02806; 136.21222","2面2線","無人駅","","","○F15","94人/日-2019年-","","","","","","",""
"江原駅","江原駅（えばらえき）","https://ja.wikipedia.org/wiki/江原駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度28分10.06秒東経134度46分32.88秒","E山陰本線**","138.7 km（京都起点）","西日本旅客鉄道（JR西日本）**","1909年（明治42年）7月10日[1]","地上駅（橋上駅）[1]","兵庫県豊岡市日高町日置字矢組13-2北緯35度28分10.06秒東経134度46分32.88秒﻿ / ﻿北緯35.4694611度 東経134.7758000度﻿ /35.4694611; 134.7758000﻿ (江原駅)座標:北緯35度28分10.06秒東経134度46分32.88秒﻿ / ﻿北緯35.4694611度 東経134.7758000度﻿ /35.4694611; 134.7758000﻿ (江原駅)","1面2線[1]","業務委託駅[1]みどりの窓口有","エハ←ヱハ","587人/日（降車客含まず）-2017年-","","","","","","","","",""
"荏原中延駅","荏原中延駅（えばらなかのぶえき）","https://ja.wikipedia.org/wiki/荏原中延駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度36分35.8秒東経139度42分43秒","■池上線","2.1 km（五反田起点）","東急電鉄","1927年（昭和2年）8月28日[1]","地下駅","東京都品川区中延二丁目8番1号北緯35度36分35.8秒東経139度42分43秒﻿ / ﻿北緯35.609944度 東経139.71194度﻿ /35.609944; 139.71194座標:北緯35度36分35.8秒東経139度42分43秒﻿ / ﻿北緯35.609944度 東経139.71194度﻿ /35.609944; 139.71194","2面2線","","","","IK04","10,449人/日-2020年-","","","","","","",""
"荏原町駅","荏原町駅（えばらまちえき）","https://ja.wikipedia.org/wiki/荏原町駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度36分13.6秒東経139度42分28.1秒","■大井町線","2.7 km（大井町起点）","東急電鉄","1927年（昭和2年）7月6日[1]","地上駅","東京都品川区中延五丁目2-1北緯35度36分13.6秒東経139度42分28.1秒﻿ / ﻿北緯35.603778度 東経139.707806度﻿ /35.603778; 139.707806座標:北緯35度36分13.6秒東経139度42分28.1秒﻿ / ﻿北緯35.603778度 東経139.707806度﻿ /35.603778; 139.707806","2面2線","","","","OM05","12,863人/日-2020年-","","","","","","",""
"江尾駅","江尾駅（えびえき）","https://ja.wikipedia.org/wiki/江尾駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","V伯備線","118.1km（倉敷起点）岡山から134.0 km","西日本旅客鉄道（JR西日本）","1922年（大正11年）3月25日","地上駅","","2面3線","簡易委託駅POS端末設置","エヒ","","","104人/日-2018年-","","","","","","",""
"海老江駅","海老江駅（えびええき）","https://ja.wikipedia.org/wiki/海老江駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度41分43.58秒東経135度28分23.79秒","HJR東西線","6.0km（京橋起点）木津から50.8 km","西日本旅客鉄道（JR西日本）（関西高速鉄道）","1997年（平成9年）3月8日","地下駅","大阪市福島区海老江五丁目2先北緯34度41分43.58秒東経135度28分23.79秒﻿ / ﻿北緯34.6954389度 東経135.4732750度﻿ /34.6954389; 135.4732750﻿ (海老江駅)座標:北緯34度41分43.58秒東経135度28分23.79秒﻿ / ﻿北緯34.6954389度 東経135.4732750度﻿ /34.6954389; 135.4732750﻿ (海老江駅)","1面2線","業務委託駅みどりの券売機プラス設置駅大阪市内駅","エヒ","11,960人/日（降車客含まず）-2019年-","JR-H46","","野田駅（阪神電鉄本線）野田阪神駅（Osaka Metro千日前線）","","","","","",""
"恵比島駅","恵比島駅（えびしまえき）","https://ja.wikipedia.org/wiki/恵比島駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯43度51分4.30秒東経141度52分53.43秒","留萌本線","20.7 km（深川起点）","北海道旅客鉄道（JR北海道）","1910年（明治43年）11月23日","地上駅","北海道雨竜郡沼田町字恵比島北緯43度51分4.30秒東経141度52分53.43秒","1面1線","","エヒ←ヱヒ","","","2人/日-2013年-","","","","","","",""
"恵比寿駅","恵比寿駅（えびすえき・東日本旅客鉄道埼京線・山手線・東京地下鉄日比谷線）","https://ja.wikipedia.org/wiki/恵比寿駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京地下鉄（東京メトロ・駅詳細）","","","東京都渋谷区恵比寿南一丁目","","","","","","","","","","","","",""
"恵比須駅","恵比須駅（えびすえき・神戸電鉄粟生線）","https://ja.wikipedia.org/wiki/恵比須駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","粟生線","17.6km（鈴蘭台起点）湊川から25.1km新開地から25.5 km","神戸電鉄","1937年（昭和12年）12月28日[1]","地上駅[1]","","1面1線[1]","無人駅[1]*1939年に久留美駅から改称[1]","","","○KB51","","","","637人/日（降車客含まず）-2016年-","","","",""
"胡町停留場","胡町停留場（えびすちょうていりゅうじょう・広島電鉄本線）","https://ja.wikipedia.org/wiki/胡町停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度23分36.85秒東経132度27分52.36秒","■本線","1.4 km（広島駅起点）","広島電鉄","1912年（大正元年）11月23日","地上駅","広島市中区鉄砲町・幟町北緯34度23分36.85秒東経132度27分52.36秒﻿ / ﻿北緯34.3935694度 東経132.4645444度﻿ /34.3935694; 132.4645444﻿ (胡町停留場)座標:北緯34度23分36.85秒東経132度27分52.36秒﻿ / ﻿北緯34.3935694度 東経132.4645444度﻿ /34.3935694; 132.4645444﻿ (胡町停留場)","2面2線","","","","●M6","4,361[1]人/日-2019年-","","","","","","",""
"恵美須町駅","恵美須町駅（えびすちょうえき・Osaka Metro堺筋線)","https://ja.wikipedia.org/wiki/恵美須町駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","阪堺電気軌道（駅詳細）大阪市高速電気軌道（Osaka Metro・駅詳細）","","","大阪市浪速区","","","","","","","","","","","","",""
"恵美須町駅","恵美須町停留場（えびすちょうていりゅうじょう・阪堺電気軌道阪堺線）","https://ja.wikipedia.org/wiki/恵美須町駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","阪堺電気軌道（駅詳細）大阪市高速電気軌道（Osaka Metro・駅詳細）","","","大阪市浪速区","","","","","","","","","","","","",""
"海老津駅","海老津駅（えびつえき）","https://ja.wikipedia.org/wiki/海老津駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度50分24.9秒東経130度37分23.55秒","JA鹿児島本線","39.4 km（門司港起点）","九州旅客鉄道（JR九州）","1910年（明治43年）2月6日[2]","高架駅（盛土上）[1]","福岡県遠賀郡岡垣町海老津駅前1-1北緯33度50分24.9秒東経130度37分23.55秒﻿ / ﻿北緯33.840250度 東経130.6232083度﻿ /33.840250; 130.6232083座標:北緯33度50分24.9秒東経130度37分23.55秒﻿ / ﻿北緯33.840250度 東経130.6232083度﻿ /33.840250; 130.6232083","2面3線[1]","業務委託駅みどりの窓口有","エヒ←ヱヒ","3,667人/日（降車客含まず）-2019年-","JA  16 ","","","","","","","",""
"海老名駅","海老名駅（えびなえき）","https://ja.wikipedia.org/wiki/海老名駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","小田急電鉄（小田急・駅詳細）相模鉄道（相鉄・駅詳細）東日本旅客鉄道（JR東日本・駅詳細）","","","神奈川県海老名市上郷570番地","","","","","","","","","","","","",""
"えびの駅","えびの駅","https://ja.wikipedia.org/wiki/えびの駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯32度2分32.85秒東経130度48分55.89秒","吉都線","9.6 km（吉松起点）","九州旅客鉄道（JR九州）","1912年（大正元年）10月1日[1]","地上駅","宮崎県えびの市大字栗下162北緯32度2分32.85秒東経130度48分55.89秒","1面2線","無人駅*1990年に加久藤駅から改称[2]。","エヒカト（加久藤駅時代）","79人/日（降車客含まず）-2015年-","","","","","","","","",""
"えびの飯野駅","えびの飯野駅（えびのいいのえき）","https://ja.wikipedia.org/wiki/えびの飯野駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯32度1分49.89秒東経130度52分14.51秒","吉都線","15.0 km（吉松起点）","九州旅客鉄道（JR九州）","1912年（大正元年）10月1日[1]","地上駅","宮崎県えびの市大字原田2213北緯32度1分49.89秒東経130度52分14.51秒","1面2線","無人駅*1990年に飯野駅から改称[2]。","イイ","173人/日（降車客含まず）-2015年-","","","","","","","","",""
"えびの上江駅","えびの上江駅（えびのうわええき）","https://ja.wikipedia.org/wiki/えびの上江駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯32度2分8.40秒東経130度50分59.84秒","吉都線","13.0 km（吉松起点）","九州旅客鉄道（JR九州）","1957年（昭和32年）7月5日[1]","地上駅","宮崎県えびの市大字上江1510北緯32度2分8.40秒東経130度50分59.84秒","1面1線","無人駅*1990年に上江駅から改称[2]。","ウワ","15人/日（降車客含まず）-2015年-","","","","","","","","",""
"江部乙駅","江部乙駅（えべおつえき）","https://ja.wikipedia.org/wiki/江部乙駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯43度37分38.5秒東経141度56分9.2秒","■函館本線","378.2 km（函館起点）","北海道旅客鉄道（JR北海道）","1898年（明治31年）7月16日","地上駅","北海道滝川市江部乙町西12丁目北緯43度37分38.5秒東経141度56分9.2秒","2面3線","無人駅","エオ","","○A22","58人/日-2014年-","","","","","","",""
"江別駅","江別駅（えべつえき）","https://ja.wikipedia.org/wiki/江別駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯43度6分38.31秒東経141度33分25.81秒","■函館本線","307.3 km（函館起点）","北海道旅客鉄道（JR北海道）","1882年（明治15年）11月13日","地上駅","北海道江別市萩ケ岡25番地北緯43度6分38.31秒東経141度33分25.81秒﻿ / ﻿北緯43.1106417度 東経141.5571694度﻿ /43.1106417; 141.5571694﻿ (江別駅)","2面4線","直営駅（管理駅）みどりの窓口有","エツ","3,619人/日（降車客含まず）-2019年-","○A09","","","","","","","",""
"江見駅","江見駅（えみえき）","https://ja.wikipedia.org/wiki/江見駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度3分45秒東経140度3分40秒","■内房線","111.4 km（蘇我起点）千葉から君津経由で115.2 km","東日本旅客鉄道（JR東日本）","1922年（大正11年）12月20日[1]","地上駅","千葉県鴨川市西江見95-2[報道 1]北緯35度3分45秒東経140度3分40秒座標:北緯35度3分45秒 東経140度3分40秒","2面2線","業務委託駅（日本郵便委託）[報道 1][新聞 1][新聞 2]","エミ","80人/日（降車客含まず）-2018年-","","","","","","","","",""
"江迎鹿町駅","江迎鹿町駅（えむかえしかまちえき）","https://ja.wikipedia.org/wiki/江迎鹿町駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度18分25.21秒東経129度37分36.75秒","■西九州線","60.0 km（有田起点）","松浦鉄道","1939年（昭和14年）1月25日1988年（昭和63年）4月1日（転換）","地上駅","長崎県佐世保市鹿町町深江北緯33度18分25.21秒東経129度37分36.75秒","1面2線","","エム←ヱム","","","455人/日-2018年-","","","","","","",""
"恵良駅","恵良駅（えらえき）","https://ja.wikipedia.org/wiki/恵良駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度15分18.84秒東経131度10分28.28秒","■久大本線","77.3 km（久留米起点）","九州旅客鉄道（JR九州）","1929年（昭和4年）12月15日[2]","地上駅","大分県玖珠郡九重町大字右田[1]北緯33度15分18.84秒東経131度10分28.28秒","2面2線[1]","無人駅[1]","エラ←ヱラ","40人/日（降車客含まず）-2015年-","","82人/日-2015年-","","","","","","",""
