"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","駅番号","備考","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"新南陽駅","新南陽駅（しんなんようえき）","https://ja.wikipedia.org/wiki/新南陽駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯37度4分11.18秒東経131度46分9.29秒","■山陽本線","419.0 km（神戸起点）","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","山口県周南市清水二丁目16-1北緯37度4分11.18秒東経131度46分9.29秒﻿ / ﻿北緯37.0697722度 東経131.7692472度﻿ /37.0697722; 131.7692472座標:北緯37度4分11.18秒東経131度46分9.29秒﻿ / ﻿北緯37.0697722度 東経131.7692472度﻿ /37.0697722; 131.7692472","地上駅","1926年（大正15年）4月18日","1面2線","","業務委託駅みどりの窓口有*1980年に周防富田駅から改称。","ナヨスト（周防富田駅時代）","1,302人/日（降車客含まず）-2019年-","","","","","","","",""
"西金沢駅","新西金沢駅（しんにしかなざわえき）","https://ja.wikipedia.org/wiki/西金沢駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）北陸鉄道（駅詳細）","石川県金沢市","","","","","","","","","","","","","","",""
"新西脇駅","新西脇駅（しんにしわきえき）","https://ja.wikipedia.org/wiki/新西脇駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度58分40.33秒東経134度58分38.05秒","I加古川線","32.3[1] km（加古川起点）","西日本旅客鉄道（JR西日本）","兵庫県西脇市和布町249北緯34度58分40.33秒東経134度58分38.05秒﻿ / ﻿北緯34.9778694度 東経134.9772361度﻿ /34.9778694; 134.9772361﻿ (新西脇駅)","地上駅","1925年（大正14年）10月1日","1面1線","","無人駅","ニワ","7人/日（降車客含まず）-2019年-","","","","","","","",""
"新日鉄前駅","新日鉄前駅（しんにってつまええき）","https://ja.wikipedia.org/wiki/新日鉄前駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度2分5秒東経136度53分57秒","常滑線","10.6 km（神宮前起点）","名古屋鉄道","愛知県東海市東海町二丁目6-4北緯35度2分5秒東経136度53分57秒﻿ / ﻿北緯35.03472度 東経136.89917度﻿ /35.03472; 136.89917座標:北緯35度2分5秒東経136度53分57秒﻿ / ﻿北緯35.03472度 東経136.89917度﻿ /35.03472; 136.89917","地上駅","1912年（明治45年）2月18日","2面2線","TA  08 ","無人駅（駅集中管理システム導入駅）","","","2,080人/日-2019年[1]-","","","","","","",""
"新日本橋駅","新日本橋駅（しんにほんばしえき）","https://ja.wikipedia.org/wiki/新日本橋駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度41分19.2秒東経139度46分23.6秒","■総武線（快速）（正式には総武本線）","1.2 km（東京起点）","東日本旅客鉄道（JR東日本）","東京都中央区日本橋室町四丁目4北緯35度41分19.2秒東経139度46分23.6秒﻿ / ﻿北緯35.688667度 東経139.773222度﻿ /35.688667; 139.773222﻿ (新日本橋駅)座標:北緯35度41分19.2秒東経139度46分23.6秒﻿ / ﻿北緯35.688667度 東経139.773222度﻿ /35.688667; 139.773222﻿ (新日本橋駅)","地下駅","1972年（昭和47年）7月15日","1面2線","JO20","直営駅（管理駅）東京都区内駅","ホン","20,100人/日（降車客含まず）-2019年-","","G12Z09三越前駅[1]（東京メトロ銀座線・半蔵門線）","","","","","",""
"新入駅","新入駅（しんにゅうえき）","https://ja.wikipedia.org/wiki/新入駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度45分50.52秒東経130度42分48.89秒","JC筑豊本線（福北ゆたか線）","22.8 km（若松起点）","九州旅客鉄道（JR九州）","福岡県直方市大字下新入[1]521-1北緯33度45分50.52秒東経130度42分48.89秒﻿ / ﻿北緯33.7640333度 東経130.7135806度﻿ /33.7640333; 130.7135806﻿ (新入駅)","地上駅[1]","1989年（平成元年）3月11日[2]","2面2線[1]","JC  20 ","無人駅駅集中管理システム（Smart Support Station）採用","シウ","370人/日（降車客含まず）-2019年-","","","","","","","",""
"新能町停留場","新能町停留場（しんのうまちていりゅうじょう）","https://ja.wikipedia.org/wiki/新能町停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度46分12.66秒東経137度2分15.60秒","高岡軌道線","4.1 km（高岡駅起点）","万葉線","富山県高岡市荻布北緯36度46分12.66秒東経137度2分15.60秒﻿ / ﻿北緯36.7701833度 東経137.0376667度﻿ /36.7701833; 137.0376667座標:北緯36度46分12.66秒東経137度2分15.60秒﻿ / ﻿北緯36.7701833度 東経137.0376667度﻿ /36.7701833; 137.0376667","地上駅","1948年（昭和23年）4月10日","2面2線","","","","","","JR能町駅（徒歩2分）","","","","","",""
"陣原駅","陣原駅（じんのはるえき）","https://ja.wikipedia.org/wiki/陣原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度52分5.43秒東経130度44分34.66秒","JAJC鹿児島本線*","27.1 km（門司港起点）","九州旅客鉄道（JR九州）","北九州市八幡西区陣原[1]一丁目2-1北緯33度52分5.43秒東経130度44分34.66秒﻿ / ﻿北緯33.8681750度 東経130.7429611度﻿ /33.8681750; 130.7429611座標:北緯33度52分5.43秒東経130度44分34.66秒﻿ / ﻿北緯33.8681750度 東経130.7429611度﻿ /33.8681750; 130.7429611","地上駅（橋上駅）","2000年（平成12年）11月21日[1]","3面5線[1]","JA  20 ","業務委託駅みどりの窓口有北九州市内駅","シハ","2,233人/日（降車客含まず）-2019年-","","","","","","","",""
"陣場駅","陣場駅（じんばえき）","https://ja.wikipedia.org/wiki/陣場駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯40度23分56.6秒東経140度36分27.0秒","■奥羽本線","416.5 km（福島起点）","東日本旅客鉄道（JR東日本）","秋田県大館市長走字相染台北緯40度23分56.6秒東経140度36分27.0秒座標:北緯40度23分56.6秒 東経140度36分27.0秒","地上駅","1899年（明治32年）6月21日","2面3線","","無人駅[1]","チン","","","","","","","","",""
"新白島駅","新白島駅（しんはくしまえき）","https://ja.wikipedia.org/wiki/新白島駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","西日本旅客鉄道[1][2]（JR西日本・駅詳細）広島高速交通[1][2]（駅詳細）","広島市中区西白島町[1][2]","","","","","","","","","","","","","","",""
"新函館北斗駅","新函館北斗駅（しんはこだてほくとえき）","https://ja.wikipedia.org/wiki/新函館北斗駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯41度54分16.9秒東経140度38分54.1秒","北海道新幹線","148.8 km（新青森起点）東京から862.5 km","北海道旅客鉄道（JR北海道）","北海道北斗市市渡1丁目1番1号北緯41度54分16.9秒東経140度38分54.1秒﻿ / ﻿北緯41.904694度 東経140.648361度﻿ /41.904694; 140.648361﻿ (新函館北斗駅)","橋上駅","2016年（平成28年）3月26日（新幹線）1902年（明治35年）12月10日（在来線）","2面2線（新幹線）2面4線（在来線）","○H70","社員配置駅みどりの窓口有*1942年本郷駅から改称*2016年北海道新幹線開業に伴い、渡島大野駅から改称","ハホ←オオ←ヲヲ","637人/日（降車客含まず）-2018年-","","","","","","","",""
"新橋駅","新橋駅（しんばしえき）","https://ja.wikipedia.org/wiki/新橋駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京地下鉄（東京メトロ・駅詳細）東京都交通局（駅詳細）ゆりかもめ（駅詳細）","東京都港区","","","","","","","","","","","","","","",""
"新羽島駅","新羽島駅（しんはしまえき）","https://ja.wikipedia.org/wiki/新羽島駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度18分56秒東経136度41分11.7秒","羽島線","1.3 km（江吉良起点）笠松より11.6 km","名古屋鉄道","岐阜県羽島市舟橋町宮北一丁目1番地1北緯35度18分56秒東経136度41分11.7秒﻿ / ﻿北緯35.31556度 東経136.686583度﻿ /35.31556; 136.686583座標:北緯35度18分56秒東経136度41分11.7秒﻿ / ﻿北緯35.31556度 東経136.686583度﻿ /35.31556; 136.686583","高架駅","1982年（昭和57年）12月11日","単式 1面1線","TH  09 ","","","","2,694人/日-2019年-","東海道新幹線（岐阜羽島駅）","","","","","",""
"新花巻駅","新花巻駅（しんはなまきえき）","https://ja.wikipedia.org/wiki/新花巻駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯39度24分21.78秒東経141度10分24.93秒","東北新幹線","500.0 km（東京起点）","東日本旅客鉄道（JR東日本）","岩手県花巻市矢沢10-87-7北緯39度24分21.78秒東経141度10分24.93秒座標:北緯39度24分21.78秒 東経141度10分24.93秒","高架駅（新幹線）地上駅（在来線）","1985年（昭和60年）3月14日[1]","2面2線（新幹線）1面1線（在来線）","","直営駅（管理駅）みどりの窓口有","シハ","891人/日（降車客含まず）-2019年-","","","","","","","",""
"新浜松駅","新浜松駅（しんはままつえき）","https://ja.wikipedia.org/wiki/新浜松駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度42分13.39秒東経137度43分56.56秒","鉄道線","0.0 km（新浜松起点）","遠州鉄道","浜松市中区鍛冶町4北緯34度42分13.39秒東経137度43分56.56秒﻿ / ﻿北緯34.7037194度 東経137.7323778度﻿ /34.7037194; 137.7323778座標:北緯34度42分13.39秒東経137度43分56.56秒﻿ / ﻿北緯34.7037194度 東経137.7323778度﻿ /34.7037194; 137.7323778","高架駅","1927年（昭和2年）9月1日","2面2線"," 01 ","* 1953年、旭町駅から改称。** 1日当たりの乗車人員は、年間の乗車人員を日数で除することにより算出した。","","**8,292人/日（降車客含まず）-2019年-","**16,535人/日-2019年-","浜松駅-東海旅客鉄道徒歩5分","","","","","",""
"新原駅","新原駅（しんばるえき）","https://ja.wikipedia.org/wiki/新原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度34分44.63秒東経130度30分32.13秒","JD香椎線","24.1 km（西戸崎起点）","九州旅客鉄道（JR九州）","福岡県糟屋郡須恵町大字新原249-1北緯33度34分44.63秒東経130度30分32.13秒﻿ / ﻿北緯33.5790639度 東経130.5089250度﻿ /33.5790639; 130.5089250座標:北緯33度34分44.63秒東経130度30分32.13秒﻿ / ﻿北緯33.5790639度 東経130.5089250度﻿ /33.5790639; 130.5089250","地上駅","1905年（明治38年）6月3日","2面2線","JD  15 ","無人駅駅集中管理システム（Smart Support Station）採用","シン","","","","","","","","",""
"新馬場駅","新馬場駅（しんばんばえき）","https://ja.wikipedia.org/wiki/新馬場駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度36分58.5秒東経139度44分29.5秒","■本線","1.4 km（品川起点）","京浜急行電鉄（京急）","東京都品川区北品川二丁目18-1[1]北緯35度36分58.5秒東経139度44分29.5秒﻿ / ﻿北緯35.616250度 東経139.741528度﻿ /35.616250; 139.741528﻿ (新馬場駅)座標:北緯35度36分58.5秒東経139度44分29.5秒﻿ / ﻿北緯35.616250度 東経139.741528度﻿ /35.616250; 139.741528﻿ (新馬場駅)","高架駅","1904年（明治37年）5月8日","2面2線","KK03","1976年、北馬場駅、南馬場駅を統合","","","16,979人/日-2019年-","","","","","","",""
"新疋田駅","新疋田駅（しんひきだえき）","https://ja.wikipedia.org/wiki/新疋田駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度35分39秒東経136度6分2秒","A北陸本線（B湖西線直通含む）","39.2 km（米原起点）","西日本旅客鉄道（JR西日本）","福井県敦賀市疋田70-8北緯35度35分39秒東経136度6分2秒﻿ / ﻿北緯35.59417度 東経136.10056度﻿ /35.59417; 136.10056座標:北緯35度35分39秒東経136度6分2秒﻿ / ﻿北緯35.59417度 東経136.10056度﻿ /35.59417; 136.10056","地上駅","1957年（昭和32年）10月1日[1]","2面2線","JR-A02（北陸本線）JR-B09（湖西線）","無人駅","ヒタ","25人/日（降車客含まず）-2019年-","","","","","","","",""
"新平野駅","新平野駅（しんひらのえき）","https://ja.wikipedia.org/wiki/新平野駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度28分22.77秒東経135度48分28.82秒","■小浜線","43.3 km（敦賀起点）","西日本旅客鉄道（JR西日本）","福井県小浜市平野19-2北緯35度28分22.77秒東経135度48分28.82秒﻿ / ﻿北緯35.4729917度 東経135.8080056度﻿ /35.4729917; 135.8080056座標:北緯35度28分22.77秒東経135度48分28.82秒﻿ / ﻿北緯35.4729917度 東経135.8080056度﻿ /35.4729917; 135.8080056","地上駅","1918年（大正7年）11月10日","1面1線","","無人駅","シヒ","75人/日（降車客含まず）-2019年-","","","","","","","",""
"新広駅","新広駅（しんひろえき）","https://ja.wikipedia.org/wiki/新広駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度13分56.05秒東経132度36分51.51秒","Y呉線","61.5 km（三原起点）","西日本旅客鉄道（JR西日本）","広島県呉市広古新開二丁目1-9北緯34度13分56.05秒東経132度36分51.51秒﻿ / ﻿北緯34.2322361度 東経132.6143083度﻿ /34.2322361; 132.6143083座標:北緯34度13分56.05秒東経132度36分51.51秒﻿ / ﻿北緯34.2322361度 東経132.6143083度﻿ /34.2322361; 132.6143083","地上駅","2002年（平成14年）3月23日","1面1線","JR-Y16","業務委託駅みどりの窓口有","シン","3,529人/日（降車客含まず）-2019年-","","","","","","","",""
