"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","所属諸島","最高峰","人口","都道府県","場所","最大都市","主要な島","時間帯","市町村","諸島","島数","人口密度","言語","郡"
"伊計島","[伊計島- 1.72km2[11] 伊計島 （いけいじま）は、 沖縄県 うるま市 に属する 島 で  、 沖縄本島 中部の東部海岸に突出する 勝連半島 の北東約10kmに位置する  。","https://ja.wikipedia.org/wiki/伊計島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度23分38秒東経127度59分51秒","日本・沖縄県うるま市","1.72km²","49m","太平洋","7.49km","沖縄諸島","","","","","","","","","","","","",""
"前島 (沖縄県)","[前島- 1.59km2[11] 前島 （まえしま  、まえじま   ）は、 沖縄県 島尻郡 渡嘉敷村 に属する 慶良間諸島 の 島 である。","https://ja.wikipedia.org/wiki/前島_(沖縄県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度12分40秒東経127度26分47秒","日本（沖縄県島尻郡渡嘉敷村）","1.59km²","133m","東シナ海","7.0km","慶良間諸島","","","","","","","","","","","","",""
"下地島 (八重山列島)","[新城島（下地）- 1.57km2[11] 新城島 （あらぐすくじま）は、 沖縄県 八重山郡 竹富町 に属する 八重山諸島 の 島 。 上地島 （かみじじま  、かみぢじま   ）及び 下地島 （しもじじま  、しもぢじま   ）の2つの島の総称である。","https://ja.wikipedia.org/wiki/下地島_(八重山列島)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度14分02秒東経123度56分40秒","日本（沖縄県八重山郡竹富町）","1.76km²","13.1m","東シナ海","6.2km","八重山列島","","","","","","","","","","","","",""
"久場島 (沖縄県座間味村)","[久場島- 1.54km2[11] 久場島 （くばしま）は、 沖縄県 島尻郡 座間味村 に属し  、 座間味島 の南西約7kmの海上に位置する 慶良間諸島 最西端の 無人島 である  。","https://ja.wikipedia.org/wiki/久場島_(沖縄県座間味村)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度10分19秒東経127度14分16秒","日本（沖縄県島尻郡座間味村）","1.54km²","270.1m","東シナ海","6.82km","慶良間諸島","「久場島の岳」","","","","","","","","","","","",""
"久高島","[久高島- 1.36km2[11] 久高島 （くだかじま）は、 沖縄本島 東南端に位置する知念岬の東海上5.3kmにある、周囲8.0km  の細長い 島 である。全域が 沖縄県 南城市 知念 に属する。人口は238人、世帯数は153世帯（2020年4月末現在）  。","https://ja.wikipedia.org/wiki/久高島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度09分28秒東経127度53分12秒","日本・沖縄県南城市知念","1.38km²","17.5m","太平洋","8.0km","沖縄諸島","","","","","","","","","","","","",""
"外離島","[外離島- 1.32km2[11] 外離島 （そとばなりじま、ほかばなりじま  ）は、 八重山列島 の 西表島 の西側に位置する 島 である。現地では フカパナリ  、 バネー と呼ばれる  。","https://ja.wikipedia.org/wiki/外離島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度22分11秒東経123度43分6秒","日本沖縄県八重山郡竹富町","1.32km²","148.5m","東シナ海","5.3km","八重山諸島","","","","","","","","","","","","",""
"屋嘉比島","[屋嘉比島- 1.25km2[11] 屋嘉比島 （やかびじま）は、 沖縄県 島尻郡 座間味村 に属する 無人島 で  、 座間味島 の西約4km  、 慶良間諸島 最南西端である 久場島 の北約2kmの海上に位置する  。","https://ja.wikipedia.org/wiki/屋嘉比島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度12分57秒東経127度14分40秒","日本（沖縄県島尻郡座間味村）","1.26km²","214.4m","東シナ海","5.29km","慶良間諸島","","","","","","","","","","","","",""
"慶留間島","[慶留間島- 1.15km2[11] 慶留間島 （げるまじま）は 慶良間諸島 に所属する島で、 沖縄県 島尻郡 座間味村 に属する。人口は62人、世帯数は38世帯（ 2019年 4月1日 現在）  。","https://ja.wikipedia.org/wiki/慶留間島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度10分57秒東経127度17分19秒","日本（沖縄県島尻郡座間味村）","1.15km²","157m","東シナ海","4.9km","慶良間諸島","","","","","","","","","","","","",""
"沖大東島","[沖大東島- 1.15km2[11] 沖大東島は 南大東島 の南、約160キロメートル、 那覇市 の南東約408キロメートルにある、周囲約4.34キロメートル、面積約1.19平方キロメートルの隆起サンゴ礁の島である   。島の形は 北大東島 と似た三角形をしており、最高所は島内北部にあって標高31.1メートルである。南東部から北、そして南東部から北西に向かってやや標高が高い地域となっており、島の中央部は周囲から10メートルから15メートル標高が低い凹地となっている   。また島の海岸線は断崖となっており、周囲は サンゴ礁 で囲まれている  。","https://ja.wikipedia.org/wiki/沖大東島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度27分57秒東経131度11分23秒","","1.19 km2(0.46 sq mi)","31.1 m (102 ft)","","","","","0人","沖縄県","フィリピン海（太平洋）","","","UTC+9","北大東村","大東諸島","","0 /km2(0 /sq mi)","","島尻郡"
"野甫島","[野甫島- 1.08km2[11] 野甫島 （のほじま）は、 沖縄県 島尻郡 伊平屋村 に属する 島 で  、 伊平屋島 南端・米崎（よねざき）の西約500mに位置する  。","https://ja.wikipedia.org/wiki/野甫島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度59分41秒東経127度55分13秒","日本・沖縄県島尻郡伊平屋村","1.08km²","43m","東シナ海","4.82km","沖縄諸島","","","","","","","","","","","","",""
"琉球諸島","[琉球諸島沖縄諸島安田ヶ島宮城島 (沖縄県大宜味村)奥武島 (沖縄県名護市)水納島 (沖縄県本部町)藪地島浮原島南浮原島瀬長島奥武島 (沖縄県南城市)伊平屋伊是名諸島具志川島屋那覇島降神島慶良間諸島慶伊瀬島神山島クエフ島ナガンヌ島儀志布島ウン島中島ハテ島城島離島地自津留島外自津留島外地島安室島嘉比島安慶名敷島砂白島奥武島 (沖縄県座間味村)アチラーネ岩モカラク島積城島伊釈迦釈島佐久原の鼻ふかかね瀬くば岩ゆぶ岩なか岩入砂島奥武島 (沖縄県久米島町)オーハ島鳥島 (沖縄県)先島諸島宮古列島大神島フデ岩八重山列島川平湾小島マジパナリムクパナリユミパナリマヤパナリサイパナリクバパナリキダパナリチャバンチキパナリ大地離島平離島鳩間島由布島嘉弥真島仲御神島ウ離島鳩離島赤離島祖納地崎尖閣諸島久場島 (沖縄県石垣市)大正島北小島南小島沖の北岩沖の南岩飛瀬北西小島北小島 (沖縄県石垣市久場島付近)北東小島北小島 (沖縄県石垣市大正島付近)] 上記の通り、2011年に 日本国 の公的機関により新しい定義がなされたため、過去の経緯や文脈などによる用法の曖昧さについては 注意を要する 。","https://ja.wikipedia.org/wiki/琉球諸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大東諸島","[大東諸島] 大東諸島 （だいとうしょとう）は、 沖縄諸島 の東部にある 島嶼 群。 北大東島 、 南大東島 および 無人島 の 沖大東島 とその付近の 西南西小島 、 南西小島 から成る。行政区分は、北大東島及び沖大東島が 沖縄県 島尻郡 北大東村 、南大東島が同郡 南大東村 である。","https://ja.wikipedia.org/wiki/大東諸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度30分 - 26度00分東経131度00分","","43.67 km2(16.86 sq mi)","75 m (246 ft)","","","","南大東島（座標）","2,107人（2010年10月1日年時点）","沖縄県","太平洋","南大東村（人口1,442人）","北大東島、南大東島","日本標準時（UTC+9）","","南西諸島","5島","48.2 /km2(124.8 /sq mi)","日本語（大東諸島方言：北大東島方言、南大東島方言）","島尻郡"
"樺太","[樺太（サハリン） -北緯50度線を境に、北樺太と南樺太に分けられる。日本政府としては、北樺太はロシア連邦に所属し、南樺太については「帰属は未定」という立場である。2016年8月現在、樺太全体がロシア連邦の実効支配下にある。] 樺太は、北部と南部でそれぞれ異なる沿革を経たため、ここでは 北緯 50度線 以北を「 北樺太 」（または「北 サハリン 」）、以南を「 南樺太 」と表記する。","https://ja.wikipedia.org/wiki/樺太","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯45度54分 - 北緯54度20分東経141度38分","ロシア（北樺太）※現在も日本とロシアの間で平和条約が未締結であり、国際法上北緯50度以南（南樺太）は帰属未定地である。","76,400km²","1,609m","オホーツク海、日本海","","","ロパチン山","","","","","","","","","","","",""
"択捉島","[択捉島- 日本政府が領有を主張している領域内での最北端。] 択捉島 （えとろふとう）は、 千島列島 南部に位置する同列島内で 面積 が最大の 島 。複数の 活火山 が存在する 火山島 である。 ロシア による 実効支配 が続く 北方領土 の1つである。","https://ja.wikipedia.org/wiki/択捉島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯45度13分30秒東経147度52分30秒","日本北海道根室振興局（領有権主張）ロシアサハリン州クリル管区（実効支配）","3,186.64km²","1,634m","オホーツク海","","","西単冠山（ストカプ）","6,485 (2019)","","","紗那村（クリリスク）","","","","","","","",""
"国後島","[国後島] 島の名前の由来は、 アイヌ語 の「クンネ・シㇼ/ㇽ（kunne-sir, 黒い・島）」  または「キナ・シㇼ/ㇽ（kina-sir, 草の・島）」  からであるが、どちらが本当の由来かははっきりとしていない。日本語名もロシア語名も国際標記もこのアイヌ語に起源を持つ。","https://ja.wikipedia.org/wiki/国後島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯44度01分35.3秒東経145度51分45.1秒","日本（領有権主張）ロシア（実効支配）","1489.27km²","1772m","オホーツク海","","","爺爺岳","","","","国後郡泊村古釜布（サハリン州南クリル管区ユジノクリリスク）","","","","","","","",""
"色丹島","[色丹島] 納沙布岬 の北東約75kmの地点にあり、413mの斜古丹山を中心に島全体が比較的なだらかな 丘陵 になっている  。 カラマツ の近縁種であるグイマツや、ウルップソウなどの 高山植物 に恵まれた自然の宝庫でもあり、湖沼も多い。地質構造的には 歯舞群島 とともに 根室半島 の延長が部分的に陥没したものとされ、地形や 植生 なども 根室半島 に似ている。海岸線は西北岸は断崖であるのに対し、東南岸は変化に富み、船の接岸が可能な場所は20ヶ所以上に及ぶが、松が浜を除いては、港としては機能しなかった。村役場が置かれた場所は北東部の斜古丹湾岸で、学校や駅逓、郵便取扱所も設けられ、斜古丹という名の集落をなしていた。島の南北両岸には天然の良港が多く、 捕鯨 や コンブ 、 サケ 漁などの 漁業 が主産業であった  。","https://ja.wikipedia.org/wiki/色丹島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度47分37秒東経146度44分50秒","日本（北海道）（領有権主張）ロシア（サハリン州）（実効支配）","255km²","412.6m","オホーツク海","","","斜古丹山","","","","色丹郡色丹村（マロクリリスク）","","","","","","","",""
