"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","コース数","標高","標高差","索道数","公式サイト","最大傾斜","最長滑走距離","コース面積","テレインパーク","開業日","運営者","造設地形","旧名","所有者","正式名称","指定管理者","ナイター営業","面積"
"恩原高原スキー場 (存在しないページ)","[恩原高原スキー場]","https://ja.wikipedia.org/w/index.php?title=恩原高原スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ひるぜんベアバレースキー場","[ひるぜんベアバレースキー場] ひるぜんベアバレースキー場 （ひるぜんベアバレースキーじょう）は、 岡山県 北部の 真庭市 蒜山本茅部 にある真庭市の スキー場 である  。平成9年より、株式会社グリーンピア蒜山が管理・運営を行っている。","https://ja.wikipedia.org/wiki/ひるぜんベアバレースキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","岡山県真庭市蒜山本茅部","4本","727 m - 591 m","136 m","2本","公式サイト","26度","850 m","","有り","","","","","","","","",""
"千屋スキー場 (存在しないページ)","[千屋スキー場]","https://ja.wikipedia.org/w/index.php?title=千屋スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上蒜山スキー場 (存在しないページ)","[上蒜山スキー場(閉鎖)]","https://ja.wikipedia.org/w/index.php?title=上蒜山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神郷第一スキー場 (存在しないページ)","[神郷第一スキー場(閉鎖)]","https://ja.wikipedia.org/w/index.php?title=神郷第一スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吾妻山スキー場 (存在しないページ)","[吾妻山スキー場]","https://ja.wikipedia.org/w/index.php?title=吾妻山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"恐羅漢スキー場","[恐羅漢スキー場] 恐羅漢スキー場 （おそらかんスキーじょう）は、 広島県 山県郡 安芸太田町 横川にあり、 恐羅漢山 の東斜面に造成された スキー場 である。2011年の冬以降は 恐羅漢スノーパーク という名称で営業している。","https://ja.wikipedia.org/wiki/恐羅漢スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯34度35分50秒東経132度8分30秒","〒731-3801広島県山県郡安芸太田町大字横川","18本","1,346 m - 840 m","506 m","9本","osorakan.co.jp","38度","2,500 m","60 ha","レール、ボックス","","株式会社恐羅漢（2019年時点）","恐羅漢山","恐羅漢スキー場","","","","",""
"スキーパーク寒曳 (存在しないページ)","[スキーパーク寒曳]","https://ja.wikipedia.org/w/index.php?title=スキーパーク寒曳&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"スノーリゾート猫山","[スノーリゾート猫山] スノーリゾート猫山 （スノーリゾートねこやま）は 広島県 庄原市 （ 旧 西城町 ）の 猫山 にある スキー場 。","https://ja.wikipedia.org/wiki/スノーリゾート猫山","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度2分20秒東経133度11分55秒","〒729-5611広島県庄原市西城町三坂190-50","5本","1,020 m - 700 m","320 m","4本","nekoyama.net/win/","39度","1,200 m","18 ha","テーブル、レールウェーブ、ボックス","","","","","","","","",""
"道後山高原スキー場","[道後山高原スキー場] 道後山高原スキー場 （どうごやまこうげんスキーじょう）は、 広島県 庄原市 にある スキー場 。","https://ja.wikipedia.org/wiki/道後山高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度3分17.1秒東経133度12分4.1秒","〒729-5611広島県庄原市西城町三坂","4本","1,050 m - 700 m","350 m","2本","www.dogoyamakogen.server-shared.com","35度","1,500 m","- ha","なし","","","","","","","","",""
"芸北高原大佐スキー場","[芸北高原大佐スキー場] 芸北高原大佐スキー場 （げいほくこうげんおおさスキーじょう）とは、 広島県 北広島町 荒神原にある スキー場 である。","https://ja.wikipedia.org/wiki/芸北高原大佐スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯34度44分51.8秒 東経132度13分11.4秒","〒731-2431広島県山県郡北広島町荒神原38-31","9本","1,030 m - 330 m","700 m","7本","http://www.osaski.co.jp/","28度","2,000 m","45 ha","","","","","","","","","",""
"芸北国際スキー場","[芸北国際スキー場（旧・パインリッジリゾーツ芸北。以前の名称に戻った）] 芸北国際スキー場 （げいほくこくさいスキーじょう）は、 広島県 北広島町 中祖にある スキー場 である。 2020-2021シーズンは営業見合わせとなった。","https://ja.wikipedia.org/wiki/芸北国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯34度42分34.4秒東経132度14分11.3秒","広島県山県郡北広島町中祖19","20本","1,126 m - 700 m","426 m","5本","http://www.geihokukokusai.jp/","34度","2,800 m","82 ha","","","","","","","","","",""
"県立もみのき森林公園 (存在しないページ)","[県立もみのき森林公園]","https://ja.wikipedia.org/w/index.php?title=県立もみのき森林公園&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"広島県民の森","[ひろしま県民の森スキー場] 冬季には比婆山の中腹を整備した スキー場 としての運営もされている。 広島県の最奥部に位置するこの地方は元来、積雪量も非常に多く人工降雪機を採用していない。 また県内最上級の雪質であるとも言われる。スキースクールあり。一部モーグル山あり。","https://ja.wikipedia.org/wiki/広島県民の森","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度4分9.4秒東経133度4分21.2秒","広島県庄原市西城町油木156番地の14","4本","1,080 m - 830 m","250 m","2本","www.kenmori.jp/","35度","1,200 m","12 ha","なし","","","","","","","","",""
"めがひらスキー場","[めがひらスキー場] めがひらスキー場 （めがひらスキーじょう）は 広島県 廿日市市 吉和にある スキー場 。","https://ja.wikipedia.org/wiki/めがひらスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯34度29分54.5秒東経132度08分38.0秒","広島県廿日市市吉和4301","5本","1,066.0 m - 592.5 m","473.5 m","5本","www.megahira.co.jp/","30度","2,300 m","- ha","めがジャンプ台（常設）ほか","","","","","","","","",""
"やわたハイランド191リゾート","[やわたハイランド191リゾート] やわたハイランド191リゾート は、 広島県 山県郡 北広島町 西八幡原にある スキー場 である。","https://ja.wikipedia.org/wiki/やわたハイランド191リゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯34度41分39.9秒東経132度9分35.2秒","〒731-2552広島県山県郡北広島町西八幡原","7本","1,000 m - 300 m","700 m","4本","公式ホームページ","31度","1,100 m","- ha","キッカー、レールボックス","","","","","","","","",""
"ユートピアサイオト (存在しないページ)","[ユートピアサイオト]","https://ja.wikipedia.org/w/index.php?title=ユートピアサイオト&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"りんご今日話国スキー場 (存在しないページ)","[りんご今日話国スキー場]","https://ja.wikipedia.org/w/index.php?title=りんご今日話国スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"芸北文化ランド (存在しないページ)","[芸北文化ランド（スキー場は廃止）]","https://ja.wikipedia.org/w/index.php?title=芸北文化ランド&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高尾原スキー場 (存在しないページ)","[高尾原スキー場（休業）]","https://ja.wikipedia.org/w/index.php?title=高尾原スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ドルフィンバレイ","[ドルフィンバレイ（2007年閉鎖）] ドルフィンバレイ （旧ヒババレイスキー場：1987年開業）は 広島県 庄原市 比和町 越原にある スキー場 。 比婆山 連峰は 立烏帽子山 （標高1,225m）の稜線、池ノ段峰の西緩斜面に位置し、雪質は上質。ICSを導入し、県北（備北地域）では最も早くオープンするスキー場のひとつであり、リーズナブルなリフト料金とあいまり、他県からも来場者が多い。運営会社は スノーリゾート猫山 と同じく ツネイシホールディングス ・常石ポートサービスカンパニー。2007年度をもって閉鎖が決定し、跡地は農園になる予定。(2006年3月26日全営業終了)","https://ja.wikipedia.org/wiki/ドルフィンバレイ","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","広島県庄原市比和町三河内","5本","1,180 m - 730 m","450 m","5本","www.dolphin-valley.co.jp/","38度","2,100 m","20 ha","キッカー、テーブル、ウェーブレール、ボックス","","","","","","","","",""
