"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","築造時期","規模","形状","史跡","出土品","地図","埋葬施設","所属","被葬者","特記事項","別名","有形文化財","外部リンク","国","都道府県","面積","地方"
"岡田山古墳","[岡田山古墳（松江市、国の史跡、1号墳から「額田部臣」銘大刀出土）] 北側の1号墳と南側の2号墳および5基の小規模な古墳からなる。1号墳は長さ約24メートルの 前方後方墳 で 1915年 （大正4年）に 発掘調査 された。内部構造は全長5.6メートル・高さ2.2メートルの片袖形 横穴式石室 に 凝灰岩 による組合式（くみあわせしき）の 家形石棺 を置く。「長宜子孫」の銘を有する 内行花文鏡 ・ 装飾大刀 （環頭大刀・円頭大刀・圭頭大刀）・ 銀環 ・金銅丸玉・ 轡 ・ 鞍 金具・雲珠（うず）・辻金具・鈴・ 須恵器 などが出土した。特に円頭大刀は 1983年 （昭和58年）になってX線撮影の結果、刀身に「各田卩臣」（額田部臣）の銀象嵌銘があることが確認された（岡田山1号墳出土大刀）。また、 後漢 期の中国製とみられる内行花文鏡には「長冝子孫」の銘文が見える。1号墳出土品は 1985年 （昭和60年）に一括して 重要文化財 に指定されている  。2号墳は直径43メートル・高さ6.5メートルの 円墳 。墳丘中腹に貼石列が確認でき、 埴輪 とみられる小片が確認されているが、発掘調査は行われていない。","https://ja.wikipedia.org/wiki/岡田山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度25分40.2秒東経133度05分28.0秒","島根県松江市大草町","北緯35度25分40.2秒東経133度05分28.0秒﻿ / ﻿北緯35.427833度 東経133.091111度﻿ /35.427833; 133.091111座標:北緯35度25分40.2秒東経133度05分28.0秒﻿ / ﻿北緯35.427833度 東経133.091111度﻿ /35.427833; 133.091111","6世紀","前方後方墳1基、円墳6基","","1965年（昭和40年）4月9日国指定1号墳・2号墳","","岡田山古墳群島根県内の位置","","","","","出雲岡田山古墳","出土品、1985年（昭和60年）6月6日重要文化財","","","","",""
"金崎古墳群 (松江市)","[金崎古墳群（松江市、国の史跡）] 本史跡は、国立大学法人島根大学（松江市西川津町）北側の低丘陵上にある古墳群で、2基の前方後方墳と3基の方墳からなる。もともとは計11基からなる古墳群であったが、うち6基は団地造成工事により昭和38年に消滅している。現存5基の古墳は、3つの山に分散して保存されており、周辺は住宅地となっている。1957年7月に国指定文化財（史跡）となった（1997年3月一部解除）。","https://ja.wikipedia.org/wiki/金崎古墳群_(松江市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","島根県松江市西川津町","","5世紀頃","","方墳・前方後方墳","国指定（1957年7月27日）","鉄剣・鏡・玉類","","","","","","","","","","","",""
"丹花庵古墳","[丹花庵古墳（松江市、方墳、国の史跡）] かなり削平を受けたようで、 石棺 の蓋石が露出しており、また農耕もされている為、立ち入る際は配慮が必要である。 かつては「史跡 丹花庵古墳」の石碑と鉄の碑の間に案内板があった   が、 2018年 3月25日 現在では失われている。","https://ja.wikipedia.org/wiki/丹花庵古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度28分57.7秒東経132度59分41.6秒","島根県松江市古曽志町橋南","北緯35度28分57.7秒東経132度59分41.6秒﻿ / ﻿北緯35.482694度 東経132.994889度﻿ /35.482694; 132.994889座標:北緯35度28分57.7秒東経132度59分41.6秒﻿ / ﻿北緯35.482694度 東経132.994889度﻿ /35.482694; 132.994889","5世紀半ば","一辺47m　高さ3.5m","方墳","国指定文化財","土師器、埴輪、甲冑","丹花庵古墳","長持型石棺","","","","","","","","","",""
"徳連場古墳 (存在しないページ)","[徳連場古墳（松江市、円墳、国の史跡）]","https://ja.wikipedia.org/w/index.php?title=徳連場古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山代二子塚","[山城二子塚古墳（松江市、前方後方墳、国の史跡）] 山代二子塚 （やましろふたごづか）は、島根県 松江市 山代町 二子にある 前方後方墳 。国の 史跡 に指定  されている。","https://ja.wikipedia.org/wiki/山代二子塚","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度26分20.8秒 東経133度5分14.4秒","","","","","","","","","","","","","","","","","","",""
"山代方墳","[山代方墳（松江市、方墳、国の史跡）] 山代方墳 （やましろほうふん）は、 島根県 松江市 山代町にある 古墳時代 後期（6世紀後半）の大型の 方墳 。 山代二子塚 の東隣にある。墳丘は、1辺約45m・高さ7mの2段築成。周囲には濠の跡があり、内部には複式構造の 横穴式石室 がある。1941年8月1日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/山代方墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度26分21秒 東経133度05分21秒","","","","","","","","","","","","","","","","","","",""
"上塩冶地蔵山古墳","[上塩冶地蔵山古墳（出雲市、円墳、国の史跡）] 島根県 出雲市 上塩冶町池田の住宅街に存在する古墳である。通称「地蔵山古墳」。 墳形は円形で、直径約１５メートル・高さ約５メートルを測る。墳丘はかなり壊れており、方墳である可能性も考えられる   。石室は凝灰岩の切石で築かれた全長約9メートルの 横穴式石室 で、羨道（入口）・前室・奥室から構成される複式構造となっている。","https://ja.wikipedia.org/wiki/上塩冶地蔵山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度20分46.00秒東経132度45分34.00秒","島根県出雲市上塩冶町","北緯35度20分46.00秒東経132度45分34.00秒﻿ / ﻿北緯35.3461111度 東経132.7594444度﻿ /35.3461111; 132.7594444座標:北緯35度20分46.00秒東経132度45分34.00秒﻿ / ﻿北緯35.3461111度 東経132.7594444度﻿ /35.3461111; 132.7594444","6世紀後半から7世紀","直径15m高さ5m","円墳","国の史跡「上塩冶地蔵山古墳」","","上塩冶地蔵山古墳","横穴式石室（内部に家形石棺1基）","","","","","","","","","",""
"上塩冶築山古墳","[上塩冶築山古墳（出雲市、円墳、国の史跡）] 島根県北東部、 神戸川 北岸の微高地上に築造された古墳である  。周辺では中小古墳が取り巻き築山古墳群を形成する  。墳丘周囲は削平を受けているが、これまでに 1887年 （ 明治 20年）に石室が発見され副葬品が出土したほか、 1985年 度（ 昭和 60年度）以降に墳丘周囲の発掘調査が実施されている  。","https://ja.wikipedia.org/wiki/上塩冶築山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度21分0秒東経132度45分38.8秒","島根県出雲市上塩冶町","北緯35度21分0秒東経132度45分38.8秒﻿ / ﻿北緯35.35000度 東経132.760778度﻿ /35.35000; 132.760778座標:北緯35度21分0秒東経132度45分38.8秒﻿ / ﻿北緯35.35000度 東経132.760778度﻿ /35.35000; 132.760778","6世紀後半","直径46m高さ6m","円墳","国の史跡「上塩冶築山古墳」","副葬品多数・埴輪・須恵器","上塩冶築山古墳","両袖式横穴式石室（内部に家形石棺2基）","築山古墳群","","","","出土品（国の重要文化財）","","","","",""
"国富中村古墳","[国富中村古墳（出雲市、円墳、国の史跡）] 国富中村古墳 （くにどみなかむらこふん）は、 島根県 出雲市 国富町にある、 古墳時代 後期の 古墳 。2013年3月27日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/国富中村古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度25分39秒 東経132度48分03秒","","","","","","","","","","","","","","","","","","",""
"上島古墳","[上島古墳（出雲市、円墳、国の史跡）] 上島古墳 （あげしまこふん）は、 島根県 出雲市 国富町にある 古墳 。1957年7月27日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/上島古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度25分24秒 東経132度48分00秒","","","","","","","","","","","","","","","","","","",""
"今市大念寺古墳","[今市大念寺古墳（出雲市、前方後円墳、国の史跡）] 出雲地方（島根県東部地域）では前方後円墳としては最大規模の古墳で  、 6世紀 後半（ 古墳時代 後期）頃の築造と推定される。埋葬には日本最大級の 家形石棺 が使用されている。","https://ja.wikipedia.org/wiki/今市大念寺古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度21分47.24秒東経132度45分53.15秒","島根県出雲市今市町鷹の沢","北緯35度21分47.24秒東経132度45分53.15秒﻿ / ﻿北緯35.3631222度 東経132.7647639度﻿ /35.3631222; 132.7647639座標:北緯35度21分47.24秒東経132度45分53.15秒﻿ / ﻿北緯35.3631222度 東経132.7647639度﻿ /35.3631222; 132.7647639","6世紀後半","墳丘長92m高さ7m（後円部）","前方後円墳","国の史跡「今市大念寺古墳」","金銅製履・鉄製武具・馬具・埴輪など","今市大念寺古墳","両袖式複室横穴式石室（内部に家形石棺1基、組合式石棺1基）","","","家形石棺は日本最大級の規模","","出土品（出雲市指定文化財）","","","","",""
"宝塚古墳","[宝塚古墳（出雲市、墳形不明、国の史跡）] 宝塚古墳 （たからづかこふん）は、日本の 古墳 の名称。","https://ja.wikipedia.org/wiki/宝塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西谷墳墓群","[西谷墳墓群（出雲市、四隅突出型墳墓、国の史跡）] 出雲市街南東部の標高40メートル程度の丘陵に存在する。 弥生時代 後期から 古墳時代 前期にかけての2世紀末から3世紀に築造されたと考えられている。 1953年 （ 昭和 28年）に確認され、 2018年 11月現在は27号までと番外5号までの32基の墳墓、 古墳 と横穴墓が確認されている。このうち、1～4・6・9号の6基が 四隅突出型墳丘墓 である。四隅突出型墳丘墓は出雲地方を中心とした特徴的な形をした 弥生時代 の 墳丘墓 で、この西谷墳墓群や 安来市 の 荒島墳墓群 に巨大なものが見られる。","https://ja.wikipedia.org/wiki/西谷墳墓群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度21分31.01秒東経132度46分48.69秒","島根県出雲市大津町字西谷","北緯35度21分31.01秒東経132度46分48.69秒﻿ / ﻿北緯35.3586139度 東経132.7801917度﻿ /35.3586139; 132.7801917","2世紀末～3世紀","一辺60m（9号墓）","四隅突出墓等","国指定","弥生土器、鉄剣、ガラス玉等","","","","出雲周辺の王","","","","","","","",""
"神原神社古墳 (存在しないページ)","[神原神社古墳（雲南市、方墳、景初3年（239年）銘の三角縁神獣鏡出土）]","https://ja.wikipedia.org/w/index.php?title=神原神社古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"周布古墳 (存在しないページ)","[周布古墳（浜田市、前方後円墳、国の史跡）]","https://ja.wikipedia.org/w/index.php?title=周布古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"スクモ塚古墳","[スクモ塚古墳（益田市、円墳または前方後円墳、国の史跡）] 造り出し 付きの直径57メートルの 円墳 か、円墳と 方墳 の接合墳であるとされるが、全長100メートル、高さ7メートルにおよぶ 前方後円墳 とする説もある  。いずれにしても、その墳形では 石見 地方最大、島根県下でも最大級の古墳である  。","https://ja.wikipedia.org/wiki/スクモ塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度42分4.09秒東経131度50分54.21秒","島根県益田市久城町字須久茂塚","北緯34度42分4.09秒東経131度50分54.21秒﻿ / ﻿北緯34.7011361度 東経131.8483917度﻿ /34.7011361; 131.8483917","5世紀頃","全長100m、高さ7m","前方後円墳または円墳","1941年（昭和16年）国指定","","","","","櫛代族首長宿彌か?","","","","","","","",""
