"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","国・地域","運営者","標高","方向","運用時間","公式サイト","敷地面積","開港","旅客数","貨物取扱量","所有者","母都市","発着回数","所在部隊","開設","面積","国"
"石見空港","[石見空港] 石見空港 （いわみくうこう、英称：Iwami Airport）は、 島根県 益田市 にある 地方管理空港 である。 愛称は 萩・石見空港 （はぎ・いわみくうこう、英称：Hagi-Iwami Airport）。","https://ja.wikipedia.org/wiki/石見空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度40分23秒東経131度47分34秒","島根県益田市","商業","日本","島根県","54m(177ft)","11/29","8:00 - 19:30","萩・石見空港","","1993年7月2日","","","","","","","","",""
"岡山空港","[岡山空港] 旧岡山空港は岡山市南部にあり、1,200mの滑走路を有していたが、地形的に 滑走路 の延長が困難であった。このため 1988年 に、2,000mの滑走路を有する新空港が北西部の山林を切り開いて建設された  。その後、滑走路は二度に渡って延長され、3,000mの滑走路を有する空港となった。旧岡山空港は 岡南飛行場 へと名前を変更し、 セスナ 機など小型機専用の空港として存続している。","https://ja.wikipedia.org/wiki/岡山空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度45分25秒東経133度51分19秒","岡山県岡山市北区日応寺1277","商業","日本","岡山県","246m(807ft)","07/25","7:00 - 22:00","岡山空港","162ha","1988年3月11日","1,354,510人","4,433t","","","","","","",""
"岡南飛行場","[岡南飛行場] 岡南飛行場 （こうなんひこうじょう、 Kounan Airport ）は、 岡山県 岡山市 南区 にある、岡山県が設置・管理する 飛行場 である。 旧岡山空港 。","https://ja.wikipedia.org/wiki/岡南飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度35分29秒東経133度56分00秒","岡山県岡山市南区浦安南町640","商業","日本","岡南飛行場管理運用共同事業体","0m(0ft)","09/27","8:30 - 19:30","岡南飛行場管理事務所","","","","","","","","","","",""
"広島空港","[広島空港] 1993年 （ 平成 5年）10月に開港   。 広島市 中心部から東方50 ㎞ 、三原市 本郷町 善入寺 字 平岩64-31に位置している（ 地図 ）。年間利用客数は、2014年度で国内2,437,574人、国際283,630人  。 中国地方 最大であり、2番目に多い 岡山空港 の約2倍である（→ 中国地方#空港 ）。2006年には ターミナル の旅客処理能力を500万人程度まで高める事業の一環として、 搭乗橋 が新たに追加増設された。","https://ja.wikipedia.org/wiki/広島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度26分10秒東経132度55分10秒","広島県三原市","商業","日本","広島国際空港株式会社","331m(1,086ft)","10/28","7:30 - 22:30","広島空港","197.7ha","1993年10月29日","2,885,054人","20,486t","","","","","","",""
"山口宇部空港","[山口宇部空港] 山口宇部空港 （やまぐちうべくうこう Yamaguchi-Ube Airport ）は、 山口県 宇部市 に所在する 特定地方管理空港 である。本州の空港としては最西端に位置する。","https://ja.wikipedia.org/wiki/山口宇部空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度55分48秒東経131度16分43秒","山口県宇部市沖宇部字八王子625-17","商業","日本","山口県","7m(23ft)","07/25","7:30 - 21:30","http://www.yamaguchiube-airport.jp/","155ha","1966年（昭和41年）7月1日","","","","","","","","",""
"松山空港","[松山空港] 松山市 中心部の西約6キロメートルの 伊予灘 に面した海岸線に位置する。 空港法 に基づく 国管理空港 で、 国土交通大臣 が設置管理する。主に民間航空に利用されており、 中国・四国地方 の空港で旅客数は最多である。","https://ja.wikipedia.org/wiki/松山空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度49分38秒東経132度41分59秒","愛媛県松山市","商業","日本","国土交通大臣","4m","14/32","7:00 - 22:00","松山空港","134.9ha","","","","","","","","","",""
"福岡空港","[福岡空港] 福岡市街地から5km以内という至近距離に位置しており、アクセスの良い空港として知られる。1993年に 福岡市地下鉄空港線 が国内線ターミナル直下に乗り入れ、 博多駅 まで約5分、 天神駅 ・ 西鉄福岡（天神）駅 ・まで約11分で結んでいるほか、 福岡都市高速 の ランプ も至近に所在し、 九州自動車道 太宰府インターチェンジ への所要時間は15分から20分程度となっている。新幹線が発着する博多駅に近いため広域のアクセスがよく、九州北部から山口県に渡る広範囲から利用客を集めている。","https://ja.wikipedia.org/wiki/福岡空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度35分04秒東経130度27分06秒","福岡県福岡市博多区","商業","日本","福岡国際空港","9.1m(30ft)","16/34","24時間(但し定期便の運用は通常7:00 - 22:00迄に制限)","福岡空港公式サイト","353ha","1945年","23,979,222人","258,559t","","","89,261回（着陸回数）","","","",""
"対馬空港","[対馬空港] 標高97mの白連江山の山頂を切り開いて  、 滑走路 は対馬中央部の上島と下島の間の 地峡 部を横断するように建設されている。長崎県内初の山岳空港である。また、当空港は オリエンタルエアブリッジ （ORC）の就航地としては最北端の空港でもある。","https://ja.wikipedia.org/wiki/対馬空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度17分05秒東経129度19分49秒","長崎県対馬市","商業","日本","長崎県","65m(213ft)","14/32","8:00 - 19:30","対馬空港ターミナルビル","","","","","","","","","","",""
"大分空港","[大分空港] 大分県北東部 国東半島 の沿岸海域を 埋め立て て造成した空港であり、 海上空港 とされることもある   。滑走路は、ほぼ真南北に延び、かつ海上に位置する。","https://ja.wikipedia.org/wiki/大分空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度28分34秒東経131度44分23秒","大分県国東市安岐町下原","商業","日本","国土交通大臣","6m(19ft)","01/19","7:30 - 22:30","大分空港","","","","","","","","","","",""
"大分県央飛行場","[大分県央飛行場] 大分県央飛行場 （おおいたけんおうひこうじょう）は、 大分県 豊後大野市 大野町田代にある 飛行場 。 大分県央空港 （おおいたけんおうくうこう）とも呼ばれる。","https://ja.wikipedia.org/wiki/大分県央飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度01分34秒東経131度30分20秒","大分県豊後大野市","商業","日本","大分県","235m(771ft)","11/29","9:00 - 16:30","","","","","","","","","","1992年（平成4年）4月","",""
"熊本空港","[熊本空港] 熊本市 から北東へ約20kmの 阿蘇山 の山麓にある。 空港ビル は益城町にあるものの、 滑走路 のほとんどは 菊池郡 菊陽町 にあたる。 空港周辺が霧の多い場所であるため、 ILS カテゴリーIIIb（CATIII-b）で運用しており、（規定以下の横風・機体側の装備・操縦士の保持資格が整えば）自動着陸が可能である。","https://ja.wikipedia.org/wiki/熊本空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯32度50分14秒東経130度51分18秒","熊本県上益城郡益城町小谷","商業","日本","熊本国際空港","196m(642ft)","07/25","7:30 - 21:30","熊本空港","150ha","","","","","","","","","",""
"鹿児島空港","[鹿児島空港] 鹿児島市 の北東30kmに位置する。鉄道でのアクセスは悪いが、E3 九州自動車道 溝辺鹿児島空港インターチェンジ に近いため高速道路を経由したアクセスは良好である。 熊本県 南部（ 人吉市 、 球磨郡 各町村、 水俣市 ）や 宮崎県 南西部（ 小林市 や えびの市 ）などの利用者も多い。鹿児島市街地からは空港連絡バス（九州自動車道経由）が日中約10分間隔で運行されており、 鹿児島中央駅 からの所要時間は38分である。","https://ja.wikipedia.org/wiki/鹿児島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯31度48分00秒東経130度43分18秒","鹿児島県霧島市溝辺町麓","商業","日本","国土交通大臣","271.9m(892.1ft)","16/34","7:00 - 22:00","鹿児島空港","","","","","","","","","","",""
"那覇空港","[那覇空港] 1933年 （ 昭和 8年）8月、 日本軍 は半農半漁の集落として栄えた旧 小禄村 大嶺（ウフンミ）の土地を強制接収し   、 海軍 の 軍用飛行場 、小禄飛行場（小禄海軍飛行場・海軍小禄飛行場）を建設した。","https://ja.wikipedia.org/wiki/那覇空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯26度12分20秒東経127度39分03秒","沖縄県那覇市字鏡水","軍民共用","日本","国土交通大臣","3.3m","18L/36R","24時間","那覇空港旅客ターミナルビル","327.8ha","","","","","","","","","",""
"新石垣空港","[新石垣空港] 元のウィキデータクエリ を参照してください.","https://ja.wikipedia.org/wiki/新石垣空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯24度23分47秒東経124度14分42秒","沖縄県石垣市字白保1960-104-1","公共","日本","沖縄県","","04/22","8:00 - 21:00(JST)","南ぬ島石垣空港","","","","","","","","","","",""
"南大東空港","[南大東空港] 沖縄本島の約400 km東方に位置する南大東島の東側に置かれている。強風時に船が接岸できない自然環境の南大東島において、航空機の就航は重要な役割を担う。年間利用客数は、合計48,766人（2019年度）  。","https://ja.wikipedia.org/wiki/南大東空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯25度50分48秒東経131度15分49秒","沖縄県島尻郡南大東村字旧東258","商業","日本","沖縄県","48.3m(158.5ft)","02/20","8:00 - 18:00","","","","48,766人","277.3 t","","","758回","","","",""
"宮古空港","[宮古空港] 年間乗降客数は合計1,757,952人（2019年度）  。国内では23番目、沖縄県内では 那覇空港 、 新石垣空港 に次いで3番目に乗降客数が多い空港である。","https://ja.wikipedia.org/wiki/宮古空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯24度46分58秒東経125度17分42秒","沖縄県宮古島市平良字下里1657番地128","商業","日本","沖縄県","42.8m(140.9ft)","04/22","8:00 - 21:00","宮古空港ターミナルビル","123.9ha","1975年3月","1,757,952人","11,865 t","","","8,354回","","","",""
