"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","交差物件","全長","形式","幅","建設","最大支間長","材料","路線名","用途","高さ","管理者","開通","竣工","着工","施工者","起点","終点"
"本州四国連絡橋","[本州四国連絡橋神戸淡路鳴門自動車道明石海峡大橋（兵庫県神戸市垂水区、淡路市）大鳴門橋（兵庫県南あわじ市、徳島県鳴門市）撫養橋（徳島県鳴門市）] 本州四国連絡橋 （ほんしゅうしこくれんらくきょう）は、 本州 と 四国 を 橋 などで結ぶ 道路 ・ 鉄道 ルートである。 本州四国連絡高速道路株式会社 および独立行政法人 日本高速道路保有・債務返済機構 （ 2005年 〈平成17年〉 9月30日 までは 本州四国連絡橋公団 ）が管理・運営し、以下の3ルートがある。","https://ja.wikipedia.org/wiki/本州四国連絡橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神戸淡路鳴門自動車道","[神戸淡路鳴門自動車道明石海峡大橋（兵庫県神戸市垂水区、淡路市）大鳴門橋（兵庫県南あわじ市、徳島県鳴門市）撫養橋（徳島県鳴門市）] 高速道路ナンバリング による路線番号は、「 E28 」が割り振られている  。","https://ja.wikipedia.org/wiki/神戸淡路鳴門自動車道","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","神戸市西区（神戸西IC）","鳴門市（鳴門IC）"
"明石海峡大橋","[明石海峡大橋（兵庫県神戸市垂水区、淡路市）] 明石海峡大橋 （あかしかいきょうおおはし）は、 兵庫県 神戸市 垂水区 東舞子町と 淡路市 岩屋とを結ぶ 明石海峡 を横断して架けられた 世界最長 の 吊橋 。全長3,911 m、中央支間 1,991 m である。 本州 と 四国 を結ぶ3本の 本州四国連絡橋 （本四架橋）ルートの一つ「 神戸淡路鳴門自動車道 」の一部として供用されている。","https://ja.wikipedia.org/wiki/明石海峡大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度37分1秒東経135度1分16秒","淡路市-神戸市間","日本","明石海峡","3,911m","3径間2ヒンジ補剛トラス吊橋","","","1,991 m","鋼","国道28号（神戸淡路鳴門自動車道）","道路橋","298.3 m","本州四国連絡高速道路","1998年4月5日","","1986年5月","","",""
"大鳴門橋","[大鳴門橋（兵庫県南あわじ市、徳島県鳴門市）] 大鳴門橋 （おおなるときょう）は、 兵庫県 の 南あわじ市 福良丙 （ 淡路島 門崎）と 徳島県 の 鳴門市 鳴門町土佐泊浦 （ 大毛島 孫崎）間の 鳴門海峡 の最狭部を結ぶ 吊橋 。 1985年 （ 昭和 60年） 6月8日 に開通した。","https://ja.wikipedia.org/wiki/大鳴門橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度14分21秒東経134度39分6.89秒","兵庫県南あわじ市福良丙（淡路島門崎）と徳島県鳴門市鳴門町土佐泊浦（大毛島孫崎）","日本","鳴門海峡","1,629 m","3径間2ヒンジ補剛トラス吊橋","25 m","","876 m","鋼","国道28号（神戸淡路鳴門自動車道）","鉄道道路併用橋","144.3 m","","1985年6月8日","","1976年","","",""
"撫養橋","[撫養橋（徳島県鳴門市）] 小鳴門海峡 に架かる 撫養橋 は、全長536 m ・計4 車線 の 桁橋 である。2本の橋梁で構成される。","https://ja.wikipedia.org/wiki/撫養橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度11分34秒東経134度36分47秒","徳島県鳴門市鳴門町（大毛島） - 鳴門市撫養町","日本","小鳴門海峡","536m","桁橋","","","","","","","","","","","","","",""
"瀬戸大橋","[本州四国連絡橋瀬戸大橋下津井瀬戸大橋（岡山県倉敷市、香川県坂出市）櫃石島高架橋（香川県坂出市）櫃石島橋（香川県坂出市）岩黒島高架橋（香川県坂出市）岩黒島橋（香川県坂出市）与島橋（香川県坂出市）与島高架橋（香川県坂出市）北備讃瀬戸大橋（香川県坂出市）南備讃瀬戸大橋（香川県坂出市）西瀬戸自動車道（しまなみ海道）尾道大橋（広島県尾道市）新尾道大橋（広島県尾道市）因島大橋（広島県尾道市）生口橋（広島県尾道市）多々羅大橋（広島県尾道市、愛媛県今治市）大三島橋（愛媛県今治市）伯方・大島大橋伯方橋（愛媛県今治市）大島大橋（愛媛県今治市）来島海峡大橋来島海峡第一大橋（愛媛県今治市）来島海峡第二大橋（愛媛県今治市）来島海峡第三大橋（愛媛県今治市）] 瀬戸大橋 （せとおおはし）は、 本州 の 岡山県 倉敷市 と 四国 の 香川県 坂出市 を結ぶ  10の橋の総称である。瀬戸内海をまたぐ 本州四国連絡橋 の児島・坂出ルートにあたり、橋の大部分は香川県に属する。1988年（昭和63年）に全線開通。それにより初めて四国と本州が陸路で結ばれた。","https://ja.wikipedia.org/wiki/瀬戸大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度23分54秒東経133度48分36秒","香川県坂出市-岡山県倉敷市","日本","瀬戸内海（備讃瀬戸）","12,300 m （海峡部 9,367 m）","","35 m","","1,100 m （南備讃瀬戸大橋）","","道路:瀬戸中央自動車道鉄道:本四備讃線（瀬戸大橋線）","鉄道道路併用橋","194 m （南備讃瀬戸大橋北側主塔）","","1988年4月10日","","1978年10月10日","","",""
"瀬戸大橋","[瀬戸大橋下津井瀬戸大橋（岡山県倉敷市、香川県坂出市）櫃石島高架橋（香川県坂出市）櫃石島橋（香川県坂出市）岩黒島高架橋（香川県坂出市）岩黒島橋（香川県坂出市）与島橋（香川県坂出市）与島高架橋（香川県坂出市）北備讃瀬戸大橋（香川県坂出市）南備讃瀬戸大橋（香川県坂出市）] 瀬戸大橋 （せとおおはし）は、 本州 の 岡山県 倉敷市 と 四国 の 香川県 坂出市 を結ぶ  10の橋の総称である。瀬戸内海をまたぐ 本州四国連絡橋 の児島・坂出ルートにあたり、橋の大部分は香川県に属する。1988年（昭和63年）に全線開通。それにより初めて四国と本州が陸路で結ばれた。","https://ja.wikipedia.org/wiki/瀬戸大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度23分54秒東経133度48分36秒","香川県坂出市-岡山県倉敷市","日本","瀬戸内海（備讃瀬戸）","12,300 m （海峡部 9,367 m）","","35 m","","1,100 m （南備讃瀬戸大橋）","","道路:瀬戸中央自動車道鉄道:本四備讃線（瀬戸大橋線）","鉄道道路併用橋","194 m （南備讃瀬戸大橋北側主塔）","","1988年4月10日","","1978年10月10日","","",""
"下津井瀬戸大橋","[下津井瀬戸大橋（岡山県倉敷市、香川県坂出市）] 下津井瀬戸大橋 （しもついせとおおはし）は、 瀬戸大橋 海峡部最北端にある 橋 。","https://ja.wikipedia.org/wiki/下津井瀬戸大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度25分51秒東経133度48分21.4秒","岡山県倉敷市下津井田之浦一丁目-香川県坂出市櫃石","日本","瀬戸内海","1,447m","張出径間付単径間補剛トラス吊橋","","1978年-1988年","940m","","","","146m、149m（主塔）","","","","","","",""
"櫃石島高架橋","[櫃石島高架橋（香川県坂出市）] 櫃石島高架橋 （ひついしじまこうかきょう）は、 香川県 坂出市 櫃石島 内に架かる 道路 鉄道 併用の 高架橋 。 瀬戸大橋 の一部を成す。","https://ja.wikipedia.org/wiki/櫃石島高架橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度25分17秒東経133度48分14秒","香川県坂出市櫃石","日本","瀬戸内海","1,316m","","","1978年-1988年","","","","","","","","","","","",""
"櫃石島橋","[櫃石島橋（香川県坂出市）] 櫃石島橋 （ひついしじまばし）は、 瀬戸大橋 海峡部のうち、北から2番目にある 橋 。","https://ja.wikipedia.org/wiki/櫃石島橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度24分35秒東経133度48分25.6秒","香川県坂出市櫃石 - 坂出市岩黒","日本","瀬戸内海","792m","3径間連続鋼トラス斜張橋","","1978年-1988年","420m","","","","148m、152m（主塔）","","","","","","",""
"岩黒島高架橋","[岩黒島高架橋（香川県坂出市）] 岩黒島高架橋 （いわくろじまこうかきょう）は、 香川県 坂出市 岩黒島 内に架かる 道路 鉄道 併用の 高架橋 。 瀬戸大橋 の一部を成す。","https://ja.wikipedia.org/wiki/岩黒島高架橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度24分20秒東経133度48分29秒","香川県坂出市","日本","瀬戸内海","93m","","","1978年-1988年","","","","","","","","","","","",""
"岩黒島橋","[岩黒島橋（香川県坂出市）] 岩黒島橋 （いわくろじまばし）は、 瀬戸大橋 海峡部の内、北から3番目にある 橋 。","https://ja.wikipedia.org/wiki/岩黒島橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度24分6.3秒東経133度48分33秒","香川県坂出市岩黒 - 坂出市与島町","日本","瀬戸内海","792m","3径間連続鋼トラス斜張橋","","1978年-1988年","420m","","","","157m、161m（主塔）","","","","","","",""
"与島橋","[与島橋（香川県坂出市）] 与島橋 （よしまばし）は、 瀬戸大橋 海峡部の内、南から3番目にある 橋 。","https://ja.wikipedia.org/wiki/与島橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度23分37.2秒東経133度48分45.2秒","香川県坂出市与島町（羽佐島 -与島）","日本","瀬戸内海","877m","2径間及び3径間連続トラス橋","","1978年-1988年","","","","","","","","","","","",""
"与島高架橋","[与島高架橋（香川県坂出市）] 与島高架橋 （よしまこうかきょう）は、 香川県 坂出市 与島 内に架かる 道路 鉄道 併用の 高架橋 。 瀬戸大橋 の一部を成す。","https://ja.wikipedia.org/wiki/与島高架橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度23分22秒東経133度48分59秒","香川県坂出市","日本","瀬戸内海","717 m","","","1978年-1988年","","プレストレスト・コンクリート","","","","","","","","","",""
"北備讃瀬戸大橋","[北備讃瀬戸大橋（香川県坂出市）] 北備讃瀬戸大橋 （きたびさんせとおおはし）は、 瀬戸大橋 海峡部の内、南から2番目にある 橋 。","https://ja.wikipedia.org/wiki/北備讃瀬戸大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度22分45秒東経133度49分13秒","香川県坂出市与島町（与島－三つ子島）","日本","瀬戸内海","1,611m","3径間連続補剛トラス吊橋","","1978年-1988年","990m","","","道路・鉄道","175m、184m（主塔）","","","","","","",""
"南備讃瀬戸大橋","[南備讃瀬戸大橋（香川県坂出市）] 南備讃瀬戸大橋 （みなみびさんせとおおはし）は、 瀬戸大橋 海峡部最南端の 橋 。","https://ja.wikipedia.org/wiki/南備讃瀬戸大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度21分51秒東経133度49分31秒","香川県坂出市与島町 - 坂出市番の州緑町","日本","瀬戸内海","1,723m","3径間連続補剛トラス吊橋","","1978年-1988年","1,100m","","","","194m、186m（主塔）","","","","","","",""
"西瀬戸自動車道","[西瀬戸自動車道（しまなみ海道）尾道大橋（広島県尾道市）新尾道大橋（広島県尾道市）因島大橋（広島県尾道市）生口橋（広島県尾道市）多々羅大橋（広島県尾道市、愛媛県今治市）大三島橋（愛媛県今治市）伯方・大島大橋伯方橋（愛媛県今治市）大島大橋（愛媛県今治市）来島海峡大橋来島海峡第一大橋（愛媛県今治市）来島海峡第二大橋（愛媛県今治市）来島海峡第三大橋（愛媛県今治市）] 西瀬戸自動車道 （にしせとじどうしゃどう）は、 本州四国連絡道路 の3ルートのうち、西に位置する尾道・今治ルートを成す 高速道路 。","https://ja.wikipedia.org/wiki/西瀬戸自動車道","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","尾道市（西瀬戸尾道IC）","今治市（今治IC）"
