"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"二宮駅","二宮駅（にのみやえき）","https://ja.wikipedia.org/wiki/二宮駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度17分55.6秒東経139度15分28秒","■東海道本線","73.1 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1902年（明治35年）4月15日","神奈川県中郡二宮町二宮838北緯35度17分55.6秒東経139度15分28秒﻿ / ﻿北緯35.298778度 東経139.25778度﻿ /35.298778; 139.25778﻿ (二宮駅)","1面2線","業務委託駅みどりの窓口有","JT13","ニノ","13,165人/日（降車客含まず）-2019年-","","","","","","","",""
"丹生駅","丹生駅（にぶえき）","https://ja.wikipedia.org/wiki/丹生駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度15分16.23秒東経134度18分5.35秒","■高徳線","34.4 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1928年（昭和3年）4月15日","香川県東かがわ市土居41北緯34度15分16.23秒東経134度18分5.35秒﻿ / ﻿北緯34.2545083度 東経134.3014861度﻿ /34.2545083; 134.3014861﻿ (丹生駅)","1面2線","無人駅","○T13","ニフ","","266[1]人/日-2019年-","","","","","","",""
"仁豊野駅","仁豊野駅（にぶのえき）","https://ja.wikipedia.org/wiki/仁豊野駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度53分6.07秒東経134度43分41.91秒","J播但線","8.2 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1896年（明治29年）8月19日[1]","兵庫県姫路市仁豊野265-2[1]北緯34度53分6.07秒東経134度43分41.91秒﻿ / ﻿北緯34.8850194度 東経134.7283083度﻿ /34.8850194; 134.7283083座標:北緯34度53分6.07秒東経134度43分41.91秒﻿ / ﻿北緯34.8850194度 東経134.7283083度﻿ /34.8850194; 134.7283083","2面2線[1]","業務委託駅[1]","","ニノ","1,043人/日（降車客含まず）-2016年-","","","","","","","",""
"仁保駅","仁保駅（にほえき）","https://ja.wikipedia.org/wiki/仁保駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度13分0.08秒東経131度32分10.67秒","■山口線","20.2 km（新山口起点）","西日本旅客鉄道（JR西日本）","地上駅","1917年（大正6年）7月1日","山口県山口市仁保中郷北緯34度13分0.08秒東経131度32分10.67秒﻿ / ﻿北緯34.2166889度 東経131.5362972度﻿ /34.2166889; 131.5362972座標:北緯34度13分0.08秒東経131度32分10.67秒﻿ / ﻿北緯34.2166889度 東経131.5362972度﻿ /34.2166889; 131.5362972","1面2線","無人駅","","ニホ","37人/日（降車客含まず）-2019年-","","","","","","","",""
"仁保津駅","仁保津駅（にほづえき）","https://ja.wikipedia.org/wiki/仁保津駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度7分43.84秒東経131度24分55.34秒","■山口線","4.6 km（新山口起点）","西日本旅客鉄道（JR西日本）","地上駅","1972年（昭和47年）4月10日","山口県山口市小郡上郷仁保津上北緯34度7分43.84秒東経131度24分55.34秒﻿ / ﻿北緯34.1288444度 東経131.4153722度﻿ /34.1288444; 131.4153722座標:北緯34度7分43.84秒東経131度24分55.34秒﻿ / ﻿北緯34.1288444度 東経131.4153722度﻿ /34.1288444; 131.4153722","1面1線","無人駅（自動券売機 有）","","ニツ","392人/日（降車客含まず）-2019年-","","","","","","","",""
"日本大通り駅","日本大通り駅（にほんおおどおりえき）","https://ja.wikipedia.org/wiki/日本大通り駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度26分48.5秒東経139度38分33.4秒","■みなとみらい線","3.2 km（横浜起点）","横浜高速鉄道","地下駅","2004年（平成16年）2月1日[1]","横浜市中区日本大通9北緯35度26分48.5秒東経139度38分33.4秒﻿ / ﻿北緯35.446806度 東経139.642611度﻿ /35.446806; 139.642611﻿ (日本大通り駅)","1面2線","","MM05","","","27,025人/日-2019年-","","","","","","",""
"二本木駅","二本木駅（にほんぎえき）","https://ja.wikipedia.org/wiki/二本木駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度59分22.77秒東経138度13分57.91秒","■妙高はねうまライン[1]","14.7km（妙高高原起点）長野から52.0 km","えちごトキめき鉄道[News 1]日本貨物鉄道（JR貨物）","地上駅[1]","1911年（明治44年）5月1日[1]","新潟県上越市中郷区板橋[1]552北緯36度59分22.77秒東経138度13分57.91秒﻿ / ﻿北緯36.9896583度 東経138.2327528度﻿ /36.9896583; 138.2327528座標:北緯36度59分22.77秒東経138度13分57.91秒﻿ / ﻿北緯36.9896583度 東経138.2327528度﻿ /36.9896583; 138.2327528","1面2線[1]","スイッチバック駅[1]業務委託駅（出札窓口なし）","","ニホ[1]","114人/日（降車客含まず）-2019年-","","","","","","","",""
"二本木口停留場","二本木口停留場（にほんぎぐちていりゅうじょう）","https://ja.wikipedia.org/wiki/二本木口停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯32度47分13.75秒東経130度41分20.75秒","田崎線（■A系統）","0.3km（熊本駅前起点）健軍町から9.0 km","熊本市交通局","地上駅","1959年（昭和34年）12月24日","熊本市西区春日二丁目北緯32度47分13.75秒東経130度41分20.75秒﻿ / ﻿北緯32.7871528度 東経130.6890972度﻿ /32.7871528; 130.6890972座標:北緯32度47分13.75秒東経130度41分20.75秒﻿ / ﻿北緯32.7871528度 東経130.6890972度﻿ /32.7871528; 130.6890972","2面2線","","□2","","","462[1]人/日-2015年-","","","","","","",""
"日本平ロープウェイ","日本平駅（にほんだいらえき）","https://ja.wikipedia.org/wiki/日本平ロープウェイ#路線データ","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日本橋駅 (東京都)","日本橋駅 (東京都)（にほんばしえき・東京地下鉄銀座線・東西線・都営地下鉄浅草線）","https://ja.wikipedia.org/wiki/日本橋駅_(東京都)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","●[3]東京メトロ銀座線","5.7 km（浅草起点）","東京地下鉄（東京メトロ）東京都交通局（都営地下鉄）","地下駅","1932年（昭和7年）12月24日","","2面2線（銀座線・浅草線）1面2線（東西線）","駅務管区所在駅（東京メトロ）[4]","G11[3]","ニホ（東京メトロ）江→日[2]（東京都交通局、駅名略称）","","（東京メトロ）-2019年-199,797人/日（東京都交通局）-2019年-101,779人/日","","","","","","",""
"日本へそ公園駅","日本へそ公園駅（にほんへそこうえんえき）","https://ja.wikipedia.org/wiki/日本へそ公園駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度0分7.4秒東経134度59分51.7秒","I加古川線","36.1 km（加古川起点）","西日本旅客鉄道（JR西日本）","地上駅","1985年（昭和60年）7月15日","兵庫県西脇市上比延町351北緯35度0分7.4秒東経134度59分51.7秒","1面1線","無人駅1987年までは臨時駅","","ヘソ","8人/日（降車客含まず）-2019年-","","","","","","","",""
"二本松駅","二本松駅（にほんまつえき）","https://ja.wikipedia.org/wiki/二本松駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度35分22.5秒東経140度26分7.1秒","■東北本線","250.3 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1887年（明治20年）12月15日","福島県二本松市本町二丁目262北緯37度35分22.5秒東経140度26分7.1秒座標:北緯37度35分22.5秒 東経140度26分7.1秒","2面2線","業務委託駅みどりの窓口有","","ニマ","1,661人/日（降車客含まず）-2019年-","","","","","","","",""
"日本ライン今渡駅","日本ライン今渡駅（にほんラインいまわたりえき）","https://ja.wikipedia.org/wiki/日本ライン今渡駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度25分56.2秒東経137度2分13秒","広見線","12.2 km（犬山起点）","名古屋鉄道","地上駅","1925年4月24日","岐阜県可児市今渡406-2北緯35度25分56.2秒東経137度2分13秒﻿ / ﻿北緯35.432278度 東経137.03694度﻿ /35.432278; 137.03694座標:北緯35度25分56.2秒東経137度2分13秒﻿ / ﻿北緯35.432278度 東経137.03694度﻿ /35.432278; 137.03694","2面2線","*1969年今渡駅から改称無人駅　管理駅：犬山","HM  05 ","","1,536人/日（降車客含まず）-2019年-","3,083人/日-2019年-","","","","","","",""
"仁万駅","仁万駅（にまえき）","https://ja.wikipedia.org/wiki/仁万駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度9分2.58秒東経132度24分12.04秒","D山陰本線","428.9 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1917年（大正6年）5月15日","島根県大田市仁摩町仁万516北緯35度9分2.58秒東経132度24分12.04秒﻿ / ﻿北緯35.1507167度 東経132.4033444度﻿ /35.1507167; 132.4033444﻿ (仁万駅)","1面2線","業務委託駅","","ニマ","299人/日（降車客含まず）-2018年-","","","","","","","",""
"仁山駅","仁山駅（にやまえき）","https://ja.wikipedia.org/wiki/仁山駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯41度55分48.04秒東経140度38分6.81秒","■函館本線（本線）","21.2 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1936年（昭和11年）9月15日（信号場）1943年（昭和18年）（仮乗降場）","北海道亀田郡七飯町仁山北緯41度55分48.04秒東経140度38分6.81秒座標:北緯41度55分48.04秒 東経140度38分6.81秒","2面2線","無人駅","○H69","ニマ","","","","","","","","",""
"壬生川駅","壬生川駅（にゅうがわえき・四国旅客鉄道予讃線）","https://ja.wikipedia.org/wiki/壬生川駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度55分47.41秒東経133度5分7.75秒","■予讃線","126.8 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1923年（大正12年）5月1日","愛媛県西条市三津屋444-2北緯33度55分47.41秒東経133度5分7.75秒﻿ / ﻿北緯33.9298361度 東経133.0854861度﻿ /33.9298361; 133.0854861座標:北緯33度55分47.41秒東経133度5分7.75秒﻿ / ﻿北緯33.9298361度 東経133.0854861度﻿ /33.9298361; 133.0854861","2面3線","直営駅みどりの窓口有","○Y36","ニユ","801人/日（降車客含まず）-2019年-","","","","","","","",""
"丹生川駅","丹生川駅（にゅうがわえき・三岐鉄道三岐線）","https://ja.wikipedia.org/wiki/丹生川駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","三岐線","19.6 km（富田起点）","三岐鉄道","地上駅","1931年（昭和6年）7月23日[1]","","1面2線","","","ニユ","121人/日（降車客含まず）-2019年-","","","","","","","",""
"入善駅","入善駅（にゅうぜんえき）","https://ja.wikipedia.org/wiki/入善駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度56分29秒東経137度29分58秒","■あいの風とやま鉄道線","85.5 km（倶利伽羅起点）金沢から103.3 km米原から279.9 km","あいの風とやま鉄道","地上駅","1910年（明治43年）4月16日","富山県下新川郡入善町入膳6987-2北緯36度56分29秒東経137度29分58秒﻿ / ﻿北緯36.94139度 東経137.49944度﻿ /36.94139; 137.49944﻿ (入善駅)座標:北緯36度56分29秒東経137度29分58秒﻿ / ﻿北緯36.94139度 東経137.49944度﻿ /36.94139; 137.49944﻿ (入善駅)","2面2線","業務委託駅みどりの窓口有","","ニウ","906人/日（降車客含まず）-2019年-","","","","","","","",""
"入野駅 (広島県)","入野駅 (広島県)（にゅうのえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/入野駅_(広島県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度27分38.38秒東経132度51分6.36秒","G山陽本線","259.5 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1953年（昭和28年）12月25日","広島県東広島市河内町入野827-2北緯34度27分38.38秒東経132度51分6.36秒﻿ / ﻿北緯34.4606611度 東経132.8517667度﻿ /34.4606611; 132.8517667座標:北緯34度27分38.38秒東経132度51分6.36秒﻿ / ﻿北緯34.4606611度 東経132.8517667度﻿ /34.4606611; 132.8517667","2面2線","無人駅（自動券売機 有）","JR-G13","ニユ","211人/日（降車客含まず）-2019年-","","","","","","","",""
"筑波山ロープウェイ","女体山駅（にょたいさんえき）","https://ja.wikipedia.org/wiki/筑波山ロープウェイ#女体山駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"韮川駅","韮川駅（にらがわえき）","https://ja.wikipedia.org/wiki/韮川駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度18分28.49秒東経139度24分6.13秒","■伊勢崎線","91.8 km（浅草起点）","東武鉄道","地上駅","1932年（昭和7年）10月25日[3]","群馬県太田市台之郷町1098-2[1]北緯36度18分28.49秒東経139度24分6.13秒﻿ / ﻿北緯36.3079139度 東経139.4017028度﻿ /36.3079139; 139.4017028﻿ (韮川駅)座標:北緯36度18分28.49秒東経139度24分6.13秒﻿ / ﻿北緯36.3079139度 東経139.4017028度﻿ /36.3079139; 139.4017028﻿ (韮川駅)","1面2線[2]","業務委託駅","TI17","ニラ","","2,338人/日-2019年-","","","","","","",""
"韮崎駅","韮崎駅（にらさきえき）","https://ja.wikipedia.org/wiki/韮崎駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度42分37.4秒東経138度27分3.3秒","■中央本線","147.0 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1903年（明治36年）12月15日[2]","山梨県韮崎市若宮一丁目1-1北緯35度42分37.4秒東経138度27分3.3秒座標:北緯35度42分37.4秒 東経138度27分3.3秒","1面2線","直営駅（管理駅）みどりの窓口有","CO46[1]","ニラ","2,622人/日（降車客含まず）-2019年-","","","","","","","",""
"韮山駅","韮山駅（にらやまえき）","https://ja.wikipedia.org/wiki/韮山駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度3分11.58秒東経138度56分43.59秒","■駿豆線","9.8 km（三島起点）","伊豆箱根鉄道","地上駅","1900年（明治33年）8月5日","静岡県伊豆の国市四日町747番地の1北緯35度3分11.58秒東経138度56分43.59秒﻿ / ﻿北緯35.0532167度 東経138.9454417度﻿ /35.0532167; 138.9454417座標:北緯35度3分11.58秒東経138度56分43.59秒﻿ / ﻿北緯35.0532167度 東経138.9454417度﻿ /35.0532167; 138.9454417","2面2線","","IS08","","1,467人/日（降車客含まず）-2019年-","","","","","","","",""
