"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"下神明駅","下神明駅（しもしんめいえき）","https://ja.wikipedia.org/wiki/下神明駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度36分31.8秒東経139度43分34.4秒","■大井町線","0.8 km（大井町起点）","東急電鉄","1927年（昭和2年）7月6日[1]","高架駅","東京都品川区西品川一丁目29番6号北緯35度36分31.8秒東経139度43分34.4秒﻿ / ﻿北緯35.608833度 東経139.726222度﻿ /35.608833; 139.726222座標:北緯35度36分31.8秒東経139度43分34.4秒﻿ / ﻿北緯35.608833度 東経139.726222度﻿ /35.608833; 139.726222","2面2線","","","","OM02","6,711人/日-2020年-","","","","","","",""
"下菅谷駅","下菅谷駅（しもすがやえき）","https://ja.wikipedia.org/wiki/下菅谷駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度26分7.3秒東経140度29分38.5秒","■水郡線","7.8 km（水戸起点）","東日本旅客鉄道（JR東日本）","1897年（明治30年）11月16日","地上駅","茨城県那珂市菅谷4106北緯36度26分7.3秒東経140度29分38.5秒座標:北緯36度26分7.3秒 東経140度29分38.5秒","2面2線","無人駅（自動券売機 有）","モス","172人/日（降車客含まず）-2008年-","","","","","","","","",""
"下諏訪駅","下諏訪駅（しもすわえき）","https://ja.wikipedia.org/wiki/下諏訪駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度4分19.58秒東経138度5分5.21秒","■中央本線","206.3 km（東京起点）","東日本旅客鉄道（JR東日本）","1905年（明治38年）11月25日[1]","地上駅","長野県諏訪郡下諏訪町広瀬町[1]北緯36度4分19.58秒東経138度5分5.21秒座標:北緯36度4分19.58秒 東経138度5分5.21秒","2面3線[1]","直営駅みどりの窓口有[1]標高：767.5m[1]","シス","2,006人/日（降車客含まず）-2019年-","","","","","","","","",""
"下曽我駅","下曽我駅（しもそがえき）","https://ja.wikipedia.org/wiki/下曽我駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度18分13.8秒東経139度11分0秒","CB御殿場線","3.8 km（国府津起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","1922年（大正11年）5月15日","地上駅","神奈川県小田原市曽我原北緯35度18分13.8秒東経139度11分0秒﻿ / ﻿北緯35.303833度 東経139.18333度﻿ /35.303833; 139.18333﻿ (下曽我駅)座標:北緯35度18分13.8秒東経139度11分0秒﻿ / ﻿北緯35.303833度 東経139.18333度﻿ /35.303833; 139.18333﻿ (下曽我駅)","1面2線","JR東海：駅員配置駅（夜間無人駅）JR全線きっぷうりば有","モソ","1,313人/日（降車客含まず）-2019年-","CB  01 ","","","","","","","",""
"下曽根駅","下曽根駅（しもそねえき）","https://ja.wikipedia.org/wiki/下曽根駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度49分56.51秒東経130度56分5.32秒","JF日豊本線","11.6 km（小倉起点）","九州旅客鉄道（JR九州）","1895年（明治28年）10月25日[2]","地上駅（橋上駅）[3]","北九州市小倉南区下曽根一丁目8-21[1][2]北緯33度49分56.51秒東経130度56分5.32秒","1面2線[2]","業務委託駅[1]みどりの窓口有北九州市内駅*1945年に曽根駅から改称。","シソ","6,752人/日（降車客含まず）-2019年-","JF  06 ","","","","","","","",""
"下田駅","下田駅（しもだえき）","https://ja.wikipedia.org/wiki/下田駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯40度35分31.26秒東経141度24分27.78秒","■青い森鉄道線","37.0km（目時起点）東京から654.3 km","青い森鉄道","1891年（明治24年）12月20日","地上駅","青森県上北郡おいらせ町境田126-10北緯40度35分31.26秒東経141度24分27.78秒﻿ / ﻿北緯40.5920167度 東経141.4077167度﻿ /40.5920167; 141.4077167座標:北緯40度35分31.26秒東経141度24分27.78秒﻿ / ﻿北緯40.5920167度 東経141.4077167度﻿ /40.5920167; 141.4077167","2面3線","直営駅","モタ","","","480人/日-2018年-","","","","","","",""
"下平駅","下平駅（しもだいらえき）","https://ja.wikipedia.org/wiki/下平駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度34分20.68秒東経137度53分45.11秒","CD飯田線","139.5 km（豊橋起点）","東海旅客鉄道（JR東海）","1923年（大正12年）3月13日[1]","地上駅","長野県下伊那郡高森町山吹[1]303北緯35度34分20.68秒東経137度53分45.11秒﻿ / ﻿北緯35.5724111度 東経137.8958639度﻿ /35.5724111; 137.8958639座標:北緯35度34分20.68秒東経137度53分45.11秒﻿ / ﻿北緯35.5724111度 東経137.8958639度﻿ /35.5724111; 137.8958639","1面1線[1]","駅員無配置駅[1]標高：442m[1]","シラ[1]","105人/日（降車客含まず）-2018年-","","","","","","","","",""
"下高井戸駅","下高井戸駅（しもたかいどえき）","https://ja.wikipedia.org/wiki/下高井戸駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度39分58秒東経139度38分29秒","","","京王電鉄（駅詳細）東急電鉄（駅詳細）","","","東京都世田谷区松原三丁目29番17号北緯35度39分58秒東経139度38分29秒﻿ / ﻿北緯35.66611度 東経139.64139度﻿ /35.66611; 139.64139座標:北緯35度39分58秒東経139度38分29秒﻿ / ﻿北緯35.66611度 東経139.64139度﻿ /35.66611; 139.64139","","","","","","","","","","","","",""
"下滝駅","下滝駅（しもたきえき）","https://ja.wikipedia.org/wiki/下滝駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度5分16.26秒東経135度5分38.69秒","G福知山線","68.7 km（尼崎起点）","西日本旅客鉄道（JR西日本）","1899年（明治32年）5月25日[1]","地上駅[1]","兵庫県丹波市山南町下滝字森ノ本118[1]北緯35度5分16.26秒東経135度5分38.69秒﻿ / ﻿北緯35.0878500度 東経135.0940806度﻿ /35.0878500; 135.0940806座標:北緯35度5分16.26秒東経135度5分38.69秒﻿ / ﻿北緯35.0878500度 東経135.0940806度﻿ /35.0878500; 135.0940806","2面2線[1]","無人駅（自動券売機 有）[1]","モキ","67人/日（降車客含まず）-2016年-","","","","","","","","",""
"下館駅","下館駅（しもだてえき）","https://ja.wikipedia.org/wiki/下館駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度18分14.30秒東経139度58分41.64秒","■水戸線（JR東日本）","16.2 km（小山起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）真岡鐵道関東鉄道","1889年（明治22年）1月16日（JR東日本）1912年（明治45年）4月1日（真岡鐵道）[2]1913年（大正2年）11月1日（関東鉄道）[3]","地上駅（一部橋上駅）","茨城県筑西市乙86北緯36度18分14.30秒東経139度58分41.64秒座標:北緯36度18分14.30秒 東経139度58分41.64秒","3面6線[1]","共同使用駅JR東日本：直営駅（管理駅）みどりの窓口有","シテ","（JR東日本）-2019年-3,241人/日（降車客含まず）（真岡鐵道）-2018年-324人/日（降車客含まず）（関東鉄道）-2018年-663人/日（降車客含まず）","","（真岡鐵道）-2018年-662人/日（関東鉄道）-2018年-1,253人/日","","","","","","",""
"下館二高前駅","下館二高前駅（しもだてにこうまええき）","https://ja.wikipedia.org/wiki/下館二高前駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度19分9.46秒東経139度58分19.4秒","■真岡線","2.2 km（下館起点）","真岡鐵道","1988年（昭和63年）4月11日[1]","地上駅","茨城県筑西市岡芹848-3北緯36度19分9.46秒東経139度58分19.4秒﻿ / ﻿北緯36.3192944度 東経139.972056度﻿ /36.3192944; 139.972056﻿ (下館二高前駅)座標:北緯36度19分9.46秒東経139度58分19.4秒﻿ / ﻿北緯36.3192944度 東経139.972056度﻿ /36.3192944; 139.972056﻿ (下館二高前駅)","1面1線","","","49人/日（降車客含まず）-2018年-","","122人/日-2018年-","","","","","","",""
"下津駅","下津駅（しもつえき）","https://ja.wikipedia.org/wiki/下津駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度6分31.69秒東経135度8分43.66秒","W紀勢本線（きのくに線）","361.1km（亀山起点）新宮から180.9 km","西日本旅客鉄道（JR西日本）","1924年（大正13年）8月20日[1]","地上駅","和歌山県海南市下津町下津756-8北緯34度6分31.69秒東経135度8分43.66秒","2面2線","無人駅（自動券売機 有）","シツ","383人/日（降車客含まず）-2019年-","","","","","","","","",""
"下野大沢駅","下野大沢駅（しもつけおおさわえき）","https://ja.wikipedia.org/wiki/下野大沢駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度41分11.41秒東経139度43分56.96秒","■日光線","28.2 km（宇都宮起点）","東日本旅客鉄道（JR東日本）","1929年（昭和4年）11月1日","地上駅","栃木県日光市土沢557北緯36度41分11.41秒東経139度43分56.96秒﻿ / ﻿北緯36.6865028度 東経139.7324889度﻿ /36.6865028; 139.7324889座標:北緯36度41分11.41秒東経139度43分56.96秒﻿ / ﻿北緯36.6865028度 東経139.7324889度﻿ /36.6865028; 139.7324889","2面2線","業務委託駅","オワ←ヲワ","782人/日（降車客含まず）-2019年-","","","","","","","","",""
"下野花岡駅","下野花岡駅（しもつけはなおかえき）","https://ja.wikipedia.org/wiki/下野花岡駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度38分59.68秒東経140度0分31.26秒","■烏山線","3.9 km（宝積寺起点）","東日本旅客鉄道（JR東日本）","1934年（昭和9年）8月15日","地上駅","栃木県塩谷郡高根沢町大字花岡1768北緯36度38分59.68秒東経140度0分31.26秒﻿ / ﻿北緯36.6499111度 東経140.0086833度﻿ /36.6499111; 140.0086833座標:北緯36度38分59.68秒東経140度0分31.26秒﻿ / ﻿北緯36.6499111度 東経140.0086833度﻿ /36.6499111; 140.0086833","1面1線","無人駅","ハナ","","","","","","","","","",""
"下妻駅","下妻駅（しもつまえき）","https://ja.wikipedia.org/wiki/下妻駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度10分55.17秒東経139度57分52.01秒","常総線","36.1 km（取手起点）","関東鉄道","1913年（大正2年）11月1日[2]","地上駅","茨城県下妻市下妻乙363-2北緯36度10分55.17秒東経139度57分52.01秒﻿ / ﻿北緯36.1819917度 東経139.9644472度﻿ /36.1819917; 139.9644472﻿ (下妻駅)座標:北緯36度10分55.17秒東経139度57分52.01秒﻿ / ﻿北緯36.1819917度 東経139.9644472度﻿ /36.1819917; 139.9644472﻿ (下妻駅)","2面3線","快速停車駅","","","","1,509人/日-2019年[1]-","","","","","","",""
"下土狩駅","下土狩駅（しもとがりえき）","https://ja.wikipedia.org/wiki/下土狩駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度7分46.20秒東経138度53分42.99秒","CB御殿場線","55.6 km（国府津起点）","東海旅客鉄道（JR東海）","1898年（明治31年）6月15日","地上駅","静岡県駿東郡長泉町下土狩1283-9[1]北緯35度7分46.20秒東経138度53分42.99秒﻿ / ﻿北緯35.1295000度 東経138.8952750度﻿ /35.1295000; 138.8952750座標:北緯35度7分46.20秒東経138度53分42.99秒﻿ / ﻿北緯35.1295000度 東経138.8952750度﻿ /35.1295000; 138.8952750","1面2線","業務委託駅（夜間無人駅）JR全線きっぷうりば有*1934年に三島駅から改称。","シリ","1,358人/日（降車客含まず）-2019年-","CB  16 ","","","","","","","",""
"下永谷駅","下永谷駅（しもながやえき）","https://ja.wikipedia.org/wiki/下永谷駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度24分9.2秒東経139度33分33.7秒","■ブルーライン（1号線）","9.7 km（湘南台起点）","横浜市交通局（横浜市営地下鉄）","1985年（昭和60年）3月14日","地下駅","横浜市港南区日限山一丁目58番27号[1]北緯35度24分9.2秒東経139度33分33.7秒﻿ / ﻿北緯35.402556度 東経139.559361度﻿ /35.402556; 139.559361﻿ (下永谷駅)座標:北緯35度24分9.2秒東経139度33分33.7秒﻿ / ﻿北緯35.402556度 東経139.559361度﻿ /35.402556; 139.559361﻿ (下永谷駅)","2面2線","直営駅","","5,704人/日（降車客含まず）-2019年-","B08","11,361人/日-2019年-","","","","","","",""
"下灘駅","下灘駅（しもなだえき）","https://ja.wikipedia.org/wiki/下灘駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度39分18.81秒東経132度35分21.60秒","■予讃線（愛ある伊予灘線）","222.4 km（高松起点）","四国旅客鉄道（JR四国）","1935年（昭和10年）6月9日","地上駅","愛媛県伊予市双海町大久保北緯33度39分18.81秒東経132度35分21.60秒﻿ / ﻿北緯33.6552250度 東経132.5893333度﻿ /33.6552250; 132.5893333座標:北緯33度39分18.81秒東経132度35分21.60秒﻿ / ﻿北緯33.6552250度 東経132.5893333度﻿ /33.6552250; 132.5893333","1面1線","無人駅","シモ","","○S09","78[1]人/日-2019年-","","","","","","",""
"下新駅","下新駅（しもにいえき）","https://ja.wikipedia.org/wiki/下新駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度13分30.47秒東経137度55分20.1秒","上高地線","4.4 km（松本起点）","アルピコ交通","1921年（大正10年）10月2日[1]","地上駅","長野県松本市大字新村3287北緯36度13分30.47秒東経137度55分20.1秒﻿ / ﻿北緯36.2251306度 東経137.922250度﻿ /36.2251306; 137.922250座標:北緯36度13分30.47秒東経137度55分20.1秒﻿ / ﻿北緯36.2251306度 東経137.922250度﻿ /36.2251306; 137.922250","1面1線[1]","","","68人/日（降車客含まず）-2017年-","AK-06","167人/日-2017年-","","","","","","",""
"下仁田駅","下仁田駅（しもにたえき）","https://ja.wikipedia.org/wiki/下仁田駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度12分38.004秒東経138度47分10.275秒","上信線","33.7 km（高崎起点）","上信電鉄","1897年（明治30年）9月8日","地上駅","群馬県甘楽郡下仁田町下仁田甲374-4北緯36度12分38.004秒東経138度47分10.275秒座標:北緯36度12分38.004秒 東経138度47分10.275秒","頭端式　1面2線","","","","","240人/日-2018年-","","","","","","",""
