"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","位置","所属事業者","所属路線","キロ程","電報略号","駅構造","ホーム","乗車人員,-統計年度-","開業年月日","備考","乗降人員,-統計年度-","駅番号","乗降人員,-統計年次-","乗換","乗車人員,-統計年次-","標高","Hidden","Hidden","Hidden","Hidden"
"岩井駅","岩井駅（いわいえき）","https://ja.wikipedia.org/wiki/岩井駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","千葉県南房総市市部146-2北緯35度5分33.3秒東経139度50分58.7秒座標:北緯35度5分33.3秒 東経139度50分58.7秒","","東日本旅客鉄道（JR東日本）","■内房線","73.7 km（蘇我起点）千葉から77.5 km","ワイ←ワヰ","地上駅","1面2線","244人/日（降車客含まず）-2019年-","1918年（大正7年）8月10日[1]","業務委託駅","","","","","","","","",""
"岩泉小本駅","岩泉小本駅（いわいずみおもとえき）","https://ja.wikipedia.org/wiki/岩泉小本駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岩手県下閉伊郡岩泉町小本北緯39度50分33.4秒東経141度57分30.5秒座標:北緯39度50分33.4秒 東経141度57分30.5秒","","三陸鉄道","■リアス線","117.1 km（盛起点）","オモ","高架駅","1面2線","","1984年（昭和59年）4月1日","*2015年（平成27年）12月23日に小本駅から改称","133人/日-2018年-","","","","","","","",""
"いわき駅","いわき駅（東日本旅客鉄道常磐線・磐越東線）","https://ja.wikipedia.org/wiki/いわき駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福島県いわき市平字田町[1]北緯37度3分29.4秒東経140度53分31.7秒﻿ / ﻿北緯37.058167度 東経140.892139度﻿ /37.058167; 140.892139座標:北緯37度3分29.4秒東経140度53分31.7秒﻿ / ﻿北緯37.058167度 東経140.892139度﻿ /37.058167; 140.892139","","東日本旅客鉄道（JR東日本）","■常磐線","209.4 km（日暮里起点）","ワキ","地上駅（橋上駅）[1]","3面6線[1]","5,690人/日（降車客含まず）-2019年-","1897年（明治30年）2月25日[1]","直営駅（管理駅）みどりの窓口有[1]*1994年に平駅から改称[1]","","","","","","","","",""
"磐城駅","磐城駅（いわきえき・近鉄南大阪線）","https://ja.wikipedia.org/wiki/磐城駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","奈良県葛城市長尾220-2北緯34度30分40.98秒東経135度42分39.21秒﻿ / ﻿北緯34.5113833度 東経135.7108917度﻿ /34.5113833; 135.7108917座標:北緯34度30分40.98秒東経135度42分39.21秒﻿ / ﻿北緯34.5113833度 東経135.7108917度﻿ /34.5113833; 135.7108917","","近畿日本鉄道（近鉄）","F南大阪線","31.1 km（大阪阿部野橋起点）","イワキ","地上駅","2面2線","599人/日（降車客含まず）-2018年-","1929年（昭和4年）3月29日","無人駅",""," F22 ","","","","","","",""
"磐城浅川駅","磐城浅川駅（いわきあさかわえき）","https://ja.wikipedia.org/wiki/磐城浅川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■水郡線","97.0 km（水戸起点）","キワ","地上駅","1面1線","166人/日（降車客含まず）-2019年-","1934年（昭和9年）12月4日","簡易委託駅","","","","","","","","",""
"磐城石井駅","磐城石井駅（いわきいしいえき）","https://ja.wikipedia.org/wiki/磐城石井駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■水郡線","74.9 km（水戸起点）","シイ←シヰ","地上駅","1面1線","30人/日（降車客含まず）-2004年-","1931年（昭和6年）10月10日","無人駅","","","","","","","","",""
"磐城石川駅","磐城石川駅（いわきいしかわえき）","https://ja.wikipedia.org/wiki/磐城石川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福島県石川郡石川町字当町223北緯37度8分26.6秒東経140度26分38.8秒","","東日本旅客鉄道（JR東日本）","■水郡線","105.3 km（水戸起点）","ワイ","地上駅","2面3線","488人/日（降車客含まず）-2019年-","1934年（昭和9年）12月4日","業務委託駅","","","","","","","","",""
"磐城太田駅","磐城太田駅（いわきおおたえき）","https://ja.wikipedia.org/wiki/磐城太田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■常磐線","282.4 km（日暮里起点）","キオ","地上駅","2面2線[1]","30人/日（降車客含まず）-2004年-","1898年（明治31年）5月11日*[1]","無人駅（乗車駅証明書発行機 有）[1]* 開業半年後に高駅から改称[1]。","","","","","","","","",""
"磐城棚倉駅","磐城棚倉駅（いわきたなくらえき）","https://ja.wikipedia.org/wiki/磐城棚倉駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福島県東白川郡棚倉町大字棚倉字北町56北緯37度2分6.2秒東経140度23分3.9秒﻿ / ﻿北緯37.035056度 東経140.384417度﻿ /37.035056; 140.384417座標:北緯37度2分6.2秒東経140度23分3.9秒﻿ / ﻿北緯37.035056度 東経140.384417度﻿ /37.035056; 140.384417","","東日本旅客鉄道（JR東日本）","■水郡線","90.5 km（水戸起点）","キナ","地上駅","1面2線","147人/日（降車客含まず）-2019年-","1916年（大正5年）11月29日","業務委託駅","","","","","","","","",""
"磐城常葉駅","磐城常葉駅（いわきときわえき）","https://ja.wikipedia.org/wiki/磐城常葉駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福島県田村市船引町今泉字田中83[1]北緯37度25分14.2秒東経140度36分20.1秒座標:北緯37度25分14.2秒 東経140度36分20.1秒","","東日本旅客鉄道（JR東日本）","■磐越東線","58.7 km（いわき起点）","キワ","地上駅","2面2線[1]","293人/日（降車客含まず）-2005年-","1921年（大正10年）4月10日[1]","無人駅[1]（乗車駅証明書発行機 有）","","","","","","","","",""
"磐城塙駅","磐城塙駅（いわきはなわえき）","https://ja.wikipedia.org/wiki/磐城塙駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■水郡線","81.3 km（水戸起点）","イワ","地上駅","2面2線","169人/日（降車客含まず）-2019年-","1931年（昭和6年）10月10日","簡易委託駅","","","","","","","","",""
"岩城みなと駅","岩城みなと駅（いわきみなとえき）","https://ja.wikipedia.org/wiki/岩城みなと駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■羽越本線","250.2 km（新津起点）","イト","地上駅","1面1線","92人/日（降車客含まず）-2019年-","2001年（平成13年）12月1日","簡易委託駅","","","","","","","","",""
"磐城守山駅","磐城守山駅（いわきもりやまえき）","https://ja.wikipedia.org/wiki/磐城守山駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福島県郡山市田村町岩作字西河原181北緯37度19分50.7秒東経140度24分23.8秒座標:北緯37度19分50.7秒 東経140度24分23.8秒","","東日本旅客鉄道（JR東日本）","■水郡線","132.1 km（水戸起点）","モマ","地上駅","1面1線","74人/日（降車客含まず）-2017年-","1929年（昭和4年）5月10日","無人駅","","","","","","","","",""
"岩切駅","岩切駅（いわきりえき）","https://ja.wikipedia.org/wiki/岩切駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","仙台市宮城野区岩切字洞ノ口188北緯38度18分3.02秒東経140度57分16.98秒座標:北緯38度18分3.02秒 東経140度57分16.98秒","","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","■東北本線（■■仙石東北ライン含む）","359.9km（東京起点）仙台から8.1 km","ワキ","地上駅（橋上駅）","2面4線[1]","4,567人/日（降車客含まず）-2019年-","1888年（明治21年）10月11日","直営駅みどりの窓口有[1]仙台市内駅","","","","","","","","",""
"岩国駅","岩国駅（いわくにえき）","https://ja.wikipedia.org/wiki/岩国駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","山口県岩国市麻里布町一丁目1-1北緯34度10分18.69秒東経132度13分32.3秒﻿ / ﻿北緯34.1718583度 東経132.225639度﻿ /34.1718583; 132.225639﻿ (岩国駅*)座標:北緯34度10分18.69秒東経132度13分32.3秒﻿ / ﻿北緯34.1718583度 東経132.225639度﻿ /34.1718583; 132.225639﻿ (岩国駅*)","","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","R山陽本線","346.1 km（神戸起点）","クニ","地上駅（橋上駅）","3面6線","5,691人/日（降車客含まず）-2019年-","1897年（明治30年）9月25日","直営駅（管理駅）みどりの窓口有（窓口閉鎖時間帯有）みどりの券売機プラス設置駅広島シティネットワーク最西端（2019年5月現在）","","JR-R16","","","","","","",""
"岩倉駅 (愛知県)","岩倉駅 (愛知県)（いわくらえき・名古屋鉄道犬山線）","https://ja.wikipedia.org/wiki/岩倉駅_(愛知県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛知県岩倉市本町一丁田34北緯35度16分41秒東経136度52分24.6秒﻿ / ﻿北緯35.27806度 東経136.873500度﻿ /35.27806; 136.873500座標:北緯35度16分41秒東経136度52分24.6秒﻿ / ﻿北緯35.27806度 東経136.873500度﻿ /35.27806; 136.873500","","名古屋鉄道","犬山線","9.7 km（枇杷島分岐点起点）","","地上駅","2面4線","","1912年（大正元年）8月6日","有人駅","24,486人/日-2019年-","IY  07 ","","","","","","",""
"岩倉駅 (京都府)","岩倉駅 (京都府)（いわくらえき・叡山電鉄鞍馬線）","https://ja.wikipedia.org/wiki/岩倉駅_(京都府)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","京都市左京区岩倉忠在地町300[1]北緯35度4分16.66秒東経135度47分11.90秒﻿ / ﻿北緯35.0712944度 東経135.7866389度﻿ /35.0712944; 135.7866389﻿ (岩倉駅)座標:北緯35度4分16.66秒東経135度47分11.90秒﻿ / ﻿北緯35.0712944度 東経135.7866389度﻿ /35.0712944; 135.7866389﻿ (岩倉駅)","","叡山電鉄","■鞍馬線","1.7km（宝ケ池起点）出町柳から5.5 km","","地上駅","2面2線","827人/日（降車客含まず）-2017年-","1928年（昭和3年）12月1日[1]","",""," E10 ","","","","","","",""
"岩倉駅 (山口県)","岩倉駅 (山口県)（いわくらえき・西日本旅客鉄道宇部線）","https://ja.wikipedia.org/wiki/岩倉駅_(山口県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","山口県山口市阿知須714北緯34度1分24.35秒東経131度21分35.92秒﻿ / ﻿北緯34.0234306度 東経131.3599778度﻿ /34.0234306; 131.3599778座標:北緯34度1分24.35秒東経131度21分35.92秒﻿ / ﻿北緯34.0234306度 東経131.3599778度﻿ /34.0234306; 131.3599778","","西日本旅客鉄道（JR西日本）","■宇部線","8.8 km（新山口起点）","イク","地上駅","1面1線","21人/日（降車客含まず）-2019年-","1953年（昭和28年）8月15日*","無人駅","","","","","","","","",""
"岩峅寺駅","岩峅寺駅（いわくらじえき）","https://ja.wikipedia.org/wiki/岩峅寺駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","富山県中新川郡立山町岩峅寺105-4北緯36度36分28.64秒東経137度19分12.08秒﻿ / ﻿北緯36.6079556度 東経137.3200222度﻿ /36.6079556; 137.3200222﻿ (岩峅寺駅)座標:北緯36度36分28.64秒東経137度19分12.08秒﻿ / ﻿北緯36.6079556度 東経137.3200222度﻿ /36.6079556; 137.3200222﻿ (岩峅寺駅)","","富山地方鉄道","■立山線","10.2 km（寺田起点）","","地上駅","3面4線","","1921年（大正10年）3月19日","業務委託駅","419人/日-2018年-","T51","","","","","","",""
"岩沢駅","岩沢駅（いわさわえき）","https://ja.wikipedia.org/wiki/岩沢駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岩手県北上市和賀町岩沢9地割1-3北緯39度18分3.81秒東経140度55分54.08秒座標:北緯39度18分3.81秒 東経140度55分54.08秒","","東日本旅客鉄道（JR東日本）","■北上線","18.1 km（北上起点）","イハ","地上駅","1面1線","31人/日（降車客含まず）-2002年-","1921年（大正10年）11月18日[1]","無人駅","","","","","","","","",""
"岩島駅","岩島駅（いわしまえき）","https://ja.wikipedia.org/wiki/岩島駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","群馬県吾妻郡東吾妻町大字岩下北緯36度33分47.67秒東経138度45分34.96秒座標:北緯36度33分47.67秒 東経138度45分34.96秒","","東日本旅客鉄道（JR東日本）","■吾妻線","30.5 km（渋川起点）","イワ←イワシ","地上駅","2面2線[1]","47人/日（降車客含まず）-2011年-","1945年（昭和20年）8月5日[1]","無人駅[1]","","","","","","","","",""
"石清水八幡宮駅","石清水八幡宮駅（いわしみずはちまんぐうえき）","https://ja.wikipedia.org/wiki/石清水八幡宮駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","京都府八幡市八幡高坊8-7北緯34度53分4.03秒東経135度42分0.75秒﻿ / ﻿北緯34.8844528度 東経135.7002083度﻿ /34.8844528; 135.7002083﻿ (石清水八幡宮駅)","","京阪電気鉄道","■京阪本線**","31.8 km（淀屋橋起点）","石←八（駅名略称方式）","地上駅","2面2線","","1910年（明治43年）4月15日","","9,036人/日-2019年-","KH  26","","","","","","",""
"岩宿駅","岩宿駅（いわじゅくえき）","https://ja.wikipedia.org/wiki/岩宿駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","群馬県みどり市笠懸町阿左美1500北緯36度23分44.98秒東経139度17分48.72秒﻿ / ﻿北緯36.3958278度 東経139.2968667度﻿ /36.3958278; 139.2968667座標:北緯36度23分44.98秒東経139度17分48.72秒﻿ / ﻿北緯36.3958278度 東経139.2968667度﻿ /36.3958278; 139.2968667","","東日本旅客鉄道（JR東日本）","■両毛線","56.9 km（小山起点）","イク","地上駅","2面3線","1,255人/日（降車客含まず）-2019年-","1889年（明治22年）11月20日[1]","業務委託駅*1911年に大間々駅から改称[1]","","","","","","","","",""
"岩代駅","岩代駅（いわしろえき）","https://ja.wikipedia.org/wiki/岩代駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","和歌山県日高郡みなべ町西岩代199-2北緯33度46分49.75秒東経135度16分45.34秒","","西日本旅客鉄道（JR西日本）","W紀勢本線（きのくに線）","299.6km（亀山起点）新宮から119.4 km","イロ","地上駅","2面2線","73人/日（降車客含まず）-2019年-","1931年（昭和6年）9月21日[1]","無人駅","","","","","","","","",""
"岩代清水駅","岩代清水駅（いわしろしみずえき）","https://ja.wikipedia.org/wiki/岩代清水駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福島県福島市泉字大仏36-1北緯37度46分33.6秒東経140度26分52.5秒﻿ / ﻿北緯37.776000度 東経140.447917度﻿ /37.776000; 140.447917座標:北緯37度46分33.6秒東経140度26分52.5秒﻿ / ﻿北緯37.776000度 東経140.447917度﻿ /37.776000; 140.447917","","福島交通","福島交通飯坂線","2.7 km（福島駅起点）","","地上駅","1面1線","","1925年（大正14年）6月21日","1925年清水役場前駅として開業1944年現駅名に改称","938人/日-2018年-","","","","","","","",""
"岩瀬駅","岩瀬駅（いわせえき）","https://ja.wikipedia.org/wiki/岩瀬駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","茨城県桜川市犬田1365北緯36度21分34.40秒東経140度6分29.69秒座標:北緯36度21分34.40秒 東経140度6分29.69秒","","東日本旅客鉄道（JR東日本）","■水戸線","29.6 km（小山起点）","ワセ","地上駅","2面3線","918人/日（降車客含まず）-2019年-","1889年（明治22年）1月16日","業務委託駅","","","","","","","","",""
