"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"相武台下駅","相武台下駅（そうぶだいしたえき）","https://ja.wikipedia.org/wiki/相武台下駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度29分36.2秒東経139度23分11.1秒","■相模線","20.6 km（茅ケ崎起点）","東日本旅客鉄道（JR東日本）","1931年（昭和6年）4月29日","地上駅","1面2線","相模原市南区新戸1940北緯35度29分36.2秒東経139度23分11.1秒﻿ / ﻿北緯35.493389度 東経139.386417度﻿ /35.493389; 139.386417座標:北緯35度29分36.2秒東経139度23分11.1秒﻿ / ﻿北緯35.493389度 東経139.386417度﻿ /35.493389; 139.386417","無人駅","","サウ","1,241人/日（降車客含まず）-2014年-","","","","","","","",""
"相武台前駅","相武台前駅（そうぶだいまええき）","https://ja.wikipedia.org/wiki/相武台前駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度29分57秒東経139度24分30秒","小田原線","36.9 km（新宿起点）","小田急電鉄","1927年（昭和2年）4月1日*","地上駅（橋上駅）","2面4線","神奈川県座間市相武台一丁目33番1号北緯35度29分57秒東経139度24分30秒﻿ / ﻿北緯35.49917度 東経139.40833度﻿ /35.49917; 139.40833座標:北緯35度29分57秒東経139度24分30秒﻿ / ﻿北緯35.49917度 東経139.40833度﻿ /35.49917; 139.40833","* 座間駅として開業。1937年 士官学校前駅に改称。1941年 相武台前駅に改称。","OH30","","","40,324人/日-2019年-","","","","","","",""
"相馬駅","相馬駅（そうまえき）","https://ja.wikipedia.org/wiki/相馬駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯37度48分10.03秒東経140度55分31.76秒","■常磐線","307.0 km（日暮里起点）","東日本旅客鉄道（JR東日本）","1897年（明治30年）11月10日[1]","地上駅","2面2線[1]","福島県相馬市中村字曲田1[1]北緯37度48分10.03秒東経140度55分31.76秒座標:北緯37度48分10.03秒 東経140度55分31.76秒","業務委託駅みどりの窓口有[1]","","ソウ","1,121人/日（降車客含まず）-2019年-","","","","","","","",""
"沢入駅","沢入駅（そうりえき）","https://ja.wikipedia.org/wiki/沢入駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度34分49.35秒東経139度23分46.44秒","■わたらせ渓谷線","33.4 km（桐生起点）","わたらせ渓谷鐵道","1912年12月31日","地上駅","2面2線","群馬県みどり市東町沢入962北緯36度34分49.35秒東経139度23分46.44秒﻿ / ﻿北緯36.5803750度 東経139.3962333度﻿ /36.5803750; 139.3962333座標:北緯36度34分49.35秒東経139度23分46.44秒﻿ / ﻿北緯36.5803750度 東経139.3962333度﻿ /36.5803750; 139.3962333","無人駅、沢入簡易郵便局併設","WK13","ソリ","","26人/日-2018年-","","","","","","",""
"添田駅","添田駅（そえだえき）","https://ja.wikipedia.org/wiki/添田駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度34分3.68秒東経130度51分23.18秒","■日田彦山線[1]","39.5 km（城野起点）","九州旅客鉄道（JR九州）[1]","1915年（大正4年）4月1日[2]","地上駅","1面2線[2]","福岡県田川郡添田町大字添田[2]1263-3北緯33度34分3.68秒東経130度51分23.18秒","無人駅[1]","","ソエ←ソヱ","","","","","","","","",""
"蘇我駅","蘇我駅（そがえき）","https://ja.wikipedia.org/wiki/蘇我駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度34分53.3秒東経140度7分52.1秒","■外房線（JR東日本）","3.8 km（千葉起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）京葉臨海鉄道","1896年（明治29年）1月20日[1]","地上駅（橋上駅）","3面6線","千葉市中央区今井二丁目50-2北緯35度34分53.3秒東経140度7分52.1秒﻿ / ﻿北緯35.581472度 東経140.131139度﻿ /35.581472; 140.131139座標:北緯35度34分53.3秒東経140度7分52.1秒﻿ / ﻿北緯35.581472度 東経140.131139度﻿ /35.581472; 140.131139","直営駅（管理駅）みどりの窓口有","","ソカ","34,189人/日（降車客含まず）-2019年-","","","","","","","",""
"磯鶏駅","磯鶏駅（そけいえき）","https://ja.wikipedia.org/wiki/磯鶏駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯39度37分47.8秒東経141度57分39.2秒","リアス線","90.0 km（盛起点）","三陸鉄道","1935年（昭和10年）11月17日[1]","地上駅","1面1線","岩手県宮古市磯鶏石崎13北緯39度37分47.8秒東経141度57分39.2秒座標:北緯39度37分47.8秒 東経141度57分39.2秒","無人駅","","","63人/日（降車客含まず）-2019-","","","","","","","",""
"曽山寺駅","曽山寺駅（そさんじえき）","https://ja.wikipedia.org/wiki/曽山寺駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯31度48分48.19秒東経131度26分54.1秒","日南線","10.2 km（南宮崎起点）","九州旅客鉄道（JR九州）","1963年（昭和38年）5月8日[1]","地上駅","1面1線[1]","宮崎県宮崎市大字加江田[1]北緯31度48分48.19秒東経131度26分54.1秒﻿ / ﻿北緯31.8133861度 東経131.448361度﻿ /31.8133861; 131.448361座標:北緯31度48分48.19秒東経131度26分54.1秒﻿ / ﻿北緯31.8133861度 東経131.448361度﻿ /31.8133861; 131.448361","無人駅[1]","","ソサ","21人/日（降車客含まず）-2015年-","","","","","","","",""
"ソシオ流通センター駅","ソシオ流通センター駅（ソシオりゅうつうセンターえき）","https://ja.wikipedia.org/wiki/ソシオ流通センター駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度8分11.4秒東経139度25分27.6秒","■秩父本線","11.6 km（羽生起点）","秩父鉄道","2017年（平成29年）4月1日[2]","地上駅","1面1線","埼玉県熊谷市戸出102番地1[1]北緯36度8分11.4秒東経139度25分27.6秒﻿ / ﻿北緯36.136500度 東経139.424333度﻿ /36.136500; 139.424333座標:北緯36度8分11.4秒東経139度25分27.6秒﻿ / ﻿北緯36.136500度 東経139.424333度﻿ /36.136500; 139.424333","*駅名標に基づく。案内によっては「SOCIO-ryūtsū-Center」など異なる表記も使用される。","","","307人/日（降車客含まず）-2019年-","634人/日-2019年-","","","","","","",""
"祖師ヶ谷大蔵駅","祖師ヶ谷大蔵駅（そしがやおおくらえき）","https://ja.wikipedia.org/wiki/祖師ヶ谷大蔵駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度38分35.4秒東経139度36分33.4秒","小田原線","10.6 km（新宿起点）","小田急電鉄","1927年（昭和2年）4月1日","高架駅","2面4線","東京都世田谷区祖師谷1丁目7番1号北緯35度38分35.4秒東経139度36分33.4秒﻿ / ﻿北緯35.643167度 東経139.609278度﻿ /35.643167; 139.609278座標:北緯35度38分35.4秒東経139度36分33.4秒﻿ / ﻿北緯35.643167度 東経139.609278度﻿ /35.643167; 139.609278","通過線2線含む","OH13","","","51,085人/日-2019年-","","","","","","",""
"曽谷駅","曽谷駅（そだにえき）","https://ja.wikipedia.org/wiki/曽谷駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度29分23.28秒東経136度36分51.42秒","■石川線","9.3 km（野町起点）","北陸鉄道","1915年（大正4年）6月22日","地上駅","単式 1面1線","石川県白山市曽谷町ヲ33-2北緯36度29分23.28秒東経136度36分51.42秒﻿ / ﻿北緯36.4898000度 東経136.6142833度﻿ /36.4898000; 136.6142833座標:北緯36度29分23.28秒東経136度36分51.42秒﻿ / ﻿北緯36.4898000度 東経136.6142833度﻿ /36.4898000; 136.6142833","","○I12","","","64人/日-2018年-","","","","","","",""
"袖ケ浦駅","袖ケ浦駅（そでがうらえき）","https://ja.wikipedia.org/wiki/袖ケ浦駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度25分55.3秒東経139度57分28.4秒","■内房線","24.4 km（蘇我起点）千葉から28.2 km","東日本旅客鉄道（JR東日本）","1912年（大正元年）8月21日[1]","地上駅（橋上駅）","1面2線","千葉県袖ケ浦市奈良輪1198北緯35度25分55.3秒東経139度57分28.4秒座標:北緯35度25分55.3秒 東経139度57分28.4秒","業務委託駅*1974年に楢葉駅から改称。","","ソラ←ラハ（改称前）","5,615人/日（降車客含まず）-2019年-","","","","","","","",""
"袖崎駅","袖崎駅（そでさきえき）","https://ja.wikipedia.org/wiki/袖崎駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯38度32分56.32秒東経140度23分29.24秒","■奥羽本線（山形線）","121.5 km（福島起点）","東日本旅客鉄道（JR東日本）","1918年（大正7年）11月10日","地上駅","1面2線","山形県村山市大字土生田北緯38度32分56.32秒東経140度23分29.24秒座標:北緯38度32分56.32秒 東経140度23分29.24秒","無人駅（乗車駅証明書発行機 有）","","ソサ","58人/日（降車客含まず）-2004年-","","","","","","","",""
"曽根駅 (大阪府)","曽根駅 (大阪府)（そねえき・阪急宝塚本線）","https://ja.wikipedia.org/wiki/曽根駅_(大阪府)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度46分18.39秒東経135度28分03.15秒","■宝塚本線","8.7 km（大阪梅田起点）","阪急電鉄","1912年（明治45年）5月30日","高架駅[2]","2面4線","大阪府豊中市曽根東町三丁目1番1号[1]北緯34度46分18.39秒東経135度28分03.15秒﻿ / ﻿北緯34.7717750度 東経135.4675417度﻿ /34.7717750; 135.4675417座標:北緯34度46分18.39秒東経135度28分03.15秒﻿ / ﻿北緯34.7717750度 東経135.4675417度﻿ /34.7717750; 135.4675417","","HK44","","","（特定日）25,841人/日-2016年-","","（通年平均）24,097人/日-2017年-","","","","",""
"曽根駅 (兵庫県)","曽根駅 (兵庫県)（そねえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/曽根駅_(兵庫県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度47分35.78秒東経134度46分11.69秒","A山陽本線（JR神戸線）","46.4km（神戸起点）大阪から79.5 km","西日本旅客鉄道（JR西日本）","1888年（明治21年）12月23日[1]","地上駅[1]","2面2線[1]","兵庫県高砂市阿弥陀一丁目6-1[1]北緯34度47分35.78秒東経134度46分11.69秒﻿ / ﻿北緯34.7932722度 東経134.7699139度﻿ /34.7932722; 134.7699139座標:北緯34度47分35.78秒東経134度46分11.69秒﻿ / ﻿北緯34.7932722度 東経134.7699139度﻿ /34.7932722; 134.7699139","業務委託駅[1]みどりの券売機プラス設置駅*1902年に阿弥陀駅から改称。","JR-A81","ソネ","4,029人/日（降車客含まず）-2019年-","","","","","","","",""
"曽根田駅","曽根田駅（そねだえき）","https://ja.wikipedia.org/wiki/曽根田駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯37度45分36.8秒東経140度27分34.5秒","福島交通飯坂線","0.6 km（福島起点）","福島交通","1924年（大正13年）4月13日","地上駅","1面1線","福島県福島市曽根田町3番37号北緯37度45分36.8秒東経140度27分34.5秒﻿ / ﻿北緯37.760222度 東経140.459583度﻿ /37.760222; 140.459583座標:北緯37度45分36.8秒東経140度27分34.5秒﻿ / ﻿北緯37.760222度 東経140.459583度﻿ /37.760222; 140.459583","1924年曽根田駅として開業1943年電鉄福島駅に改称1962年曽根田駅に改称","","","","810人/日-2018年-","","","","","","",""
"園駅","園駅（そのえき）","https://ja.wikipedia.org/wiki/園駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度27分22.17秒東経132度52分5.29秒","北松江線","15.9 km（電鉄出雲市起点）","一畑電車","1915年（大正4年）2月4日","地上駅","1面1線","島根県出雲市園町168-5北緯35度27分22.17秒東経132度52分5.29秒座標:北緯35度27分22.17秒 東経132度52分5.29秒","無人駅","12","","32人/日（降車客含まず）-2018年-","65人/日-2018年-","","","","","","",""
"彼杵駅","彼杵駅（そのぎえき）","https://ja.wikipedia.org/wiki/彼杵駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度2分22.59秒東経129度54分53.86秒","大村線","19.6 km（早岐起点）","九州旅客鉄道（JR九州）","1898年（明治31年）1月20日","地上駅","2面2線","長崎県東彼杵郡東彼杵町蔵本郷北緯33度2分22.59秒東経129度54分53.86秒﻿ / ﻿北緯33.0396083度 東経129.9149611度﻿ /33.0396083; 129.9149611﻿ (彼杵駅)","業務委託駅","","ソノ","305人/日（降車客含まず）-2019年-","","","","","","","",""
"園田駅","園田駅（そのだえき）","https://ja.wikipedia.org/wiki/園田駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度45分7.22秒東経135度26分53.55秒","■神戸本線","7.2 km（大阪梅田起点）","阪急電鉄","1936年（昭和11年）10月20日[3]","高架駅[2]","3面4線*[2]","兵庫県尼崎市東園田町九丁目48番地1[1]北緯34度45分7.22秒東経135度26分53.55秒﻿ / ﻿北緯34.7520056度 東経135.4482083度﻿ /34.7520056; 135.4482083﻿ (園田駅)座標:北緯34度45分7.22秒東経135度26分53.55秒﻿ / ﻿北緯34.7520056度 東経135.4482083度﻿ /34.7520056; 135.4482083﻿ (園田駅)","* うち1面は臨時降車ホーム[2]","HK05","","","","","（通年平均）30,496人/日（全日）38,241人/日-2019年-","","","","",""
"園部駅","園部駅（そのべえき）","https://ja.wikipedia.org/wiki/園部駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度6分9.21秒東経135度28分59.38秒","E山陰本線（当駅より吉富方は嵯峨野線）","34.2 km（京都起点）","西日本旅客鉄道（JR西日本）","1899年（明治32年）8月15日","地上駅（橋上駅）","2面4線","京都府南丹市園部町小山東町溝辺北緯35度6分9.21秒東経135度28分59.38秒﻿ / ﻿北緯35.1025583度 東経135.4831611度﻿ /35.1025583; 135.4831611座標:北緯35度6分9.21秒東経135度28分59.38秒﻿ / ﻿北緯35.1025583度 東経135.4831611度﻿ /35.1025583; 135.4831611","直営駅みどりの窓口有","JR-E16（嵯峨野線）","ソノ","4,514人/日（降車客含まず）-2019年-","","","","","","","",""
"曽波神駅","曽波神駅（そばのかみえき）","https://ja.wikipedia.org/wiki/曽波神駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯38度27分57.21秒東経141度17分16.58秒","■石巻線","23.7 km（小牛田起点）","東日本旅客鉄道（JR東日本）","1956年（昭和31年）4月5日[1]","地上駅","1面1線[1]","宮城県石巻市鹿又字曽波神前239北緯38度27分57.21秒東経141度17分16.58秒座標:北緯38度27分57.21秒 東経141度17分16.58秒","無人駅[1]","","ソハ","","","","","","","","",""
