"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","所有者","位置","運用者","グラウンド","開場","大型映像装置","照明","ピッチサイズ","設計者","建設者","修繕","建設費","起工","拡張","運営者","分類","公式サイト","設備・遊具"
"平塚競技場","[Shonan BMWスタジアム平塚/ BMWス] 平塚競技場 （ひらつかきょうぎじょう、Hiratsuka Stadium）は、 神奈川県 平塚市 の 平塚市総合公園 内にある 陸上競技場 。 球技場 としても使用される。施設は平塚市が所有し、運営管理も平塚市が行っている。","https://ja.wikipedia.org/wiki/平塚競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度20分36.74秒東経139度20分28.39秒","神奈川県平塚市大原1‐1","平塚市","北緯35度20分36.74秒東経139度20分28.39秒﻿ / ﻿北緯35.3435389度 東経139.3412194度﻿ /35.3435389; 139.3412194座標:北緯35度20分36.74秒東経139度20分28.39秒﻿ / ﻿北緯35.3435389度 東経139.3412194度﻿ /35.3435389; 139.3412194","平塚市","天然芝（107m×71m）","1987年3月","オーロラビジョン","4基","105m×68m","","","1994年2月","","","","","","",""
"大和市営大和スポーツセンター競技場","[大和市営大和スポーツセンター競技場/ 大和] 大和市営大和スポーツセンター競技場 は、 神奈川県 大和市 の運営する大和スポーツセンター内にある 陸上競技場 。 1990年 4月の大和スポーツセンターの開設に先立ち、同年3月に完成した。","https://ja.wikipedia.org/wiki/大和市営大和スポーツセンター競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度28分31.7秒 東経139度27分27秒","","","","","","","","","","","","","","","","","","",""
"相模原麻溝公園競技場","[相模原ギオンスタジアム/ ギオンス] 相模原麻溝公園競技場 （さがみはらあさみぞこうえんきょうぎじょう）は 神奈川県 相模原市 南区 の 相模原麻溝公園 内にある陸上競技場。 球技場 としても使用される。施設は相模原市が所有し、相模原市体育協会グループ（相模原市スポーツ協会、 日本体育施設 、 NTTファシリティーズ 、株式会社ギオン）が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/相模原麻溝公園競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度31分40.45秒東経139度23分9.72秒","神奈川県相模原市南区下溝4169","相模原市","北緯35度31分40.45秒東経139度23分9.72秒﻿ / ﻿北緯35.5279028度 東経139.3860333度﻿ /35.5279028; 139.3860333座標:北緯35度31分40.45秒東経139度23分9.72秒﻿ / ﻿北緯35.5279028度 東経139.3860333度﻿ /35.5279028; 139.3860333","相模原市体育協会グループ","天然芝（106m×71m）","2007年4月","フルカラーLED方式電光掲示盤","照明装置4基（1500Lx）","106m×71m","相模原市設計協同組合","(設計)相模原市設計協同組合(建築）藤木工務店・谷津建設JV（電気設備）野﨑電気・播州電気JV（空調設備）朝日工業社・穂久斗工業JV（給排水衛生設備）折本設備","","","","2009年、2011年","","","",""
"小机競技場","[日産フィールド小机/ 小机] 小机競技場 （こづくえ きょうぎじょう）は、 神奈川県 横浜市 港北区 小机町 の 新横浜公園 内にある 陸上競技場 。 球技場 としても使用される。隣接する 横浜国際総合競技場 （日産スタジアム）の補助競技場であり、同競技場などと共に 命名権 （ネーミングライツ）売却により、呼称を 日産フィールド小机 （にっさん-こづくえ）としている。現在は 横浜F・マリノス （ Jリーグ ）が練習場として利用している。","https://ja.wikipedia.org/wiki/小机競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度30分39秒東経139度36分10秒","横浜市港北区小机町3300","横浜市","北緯35度30分39秒東経139度36分10秒﻿ / ﻿北緯35.51092度 東経139.602799度﻿ /35.51092; 139.602799","横浜市スポーツ振興事業団　他","天然芝","1998年（平成10年）","","","","","","","","1997年（平成9年）","","","","",""
"厚木市荻野運動公園競技場","[厚木市荻野運動公園競技場/ 荻野] 厚木市荻野運動公園競技場 （あつぎしおぎのうんどうこうえんきょうぎじょう）は、 神奈川県 厚木市 が所有・運営する 競技場 で、日本陸上競技連盟第二種公認競技場で、厚木市初の都市基幹公園及び総合運動公園として整備された厚木市荻野運動公園内に立地している。2009年にフィールド部を改修し、105m ×　68m　のピッチサイズに拡張され、あわせてウィンターオーバーシードを実施し、通年サッカー・ラグビーで使用できるようになった。またH28年に円盤投げ用のネットなども追加された。","https://ja.wikipedia.org/wiki/厚木市荻野運動公園競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度28分52秒 東経139度19分20秒","神奈川県厚木市中荻野1500","厚木市","","厚木市指定管理者　荻野運動公園マネジメント共同企業体","ティフトン＋ペレニアルライグラス（ウィンターオーバーシード）","1989年10月","","鉄塔式4基　300ルックス","105m×68m","","","","","","2009年4月（ピッチサイズ　105m ×　68m　に拡張）","","","",""
"新発田市五十公野公園陸上競技場","[新発田市五十公野公園陸上競技場（グリーンスタジアムしばた）/ 新発田陸] 新発田市五十公野公園陸上競技場 （しばたし いじみのこうえん りくじょうきょうぎじょう）は、 新潟県 新発田市 の 五十公野公園 内にある 陸上競技場 。 球技場 としても使用される。愛称 グリーンスタジアムしばた 。施設は新発田市が所有し、運営管理も新発田市が行っている。","https://ja.wikipedia.org/wiki/新発田市五十公野公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯37度56分19.67秒東経139度21分19.71秒","新潟県新発田市五十公野5724","新発田市","北緯37度56分19.67秒東経139度21分19.71秒﻿ / ﻿北緯37.9387972度 東経139.3554750度﻿ /37.9387972; 139.3554750座標:北緯37度56分19.67秒東経139度21分19.71秒﻿ / ﻿北緯37.9387972度 東経139.3554750度﻿ /37.9387972; 139.3554750","新発田市","天然芝（108m x 71m）","1980年","無し","4基（平均照度300ルクス）","105m x 68m（サッカー）95m x 69m（ラグビー）","","","2002年（平成14年）3月","","","","","","",""
"胎内市総合グラウンド陸上競技場 (存在しないページ)","[胎内市総合グラウンド陸上競技場/ 胎内]","https://ja.wikipedia.org/w/index.php?title=胎内市総合グラウンド陸上競技場&amp;action=edit&amp;redlink=1","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新潟スタジアム","[デンカビッグスワンスタジアム/ デンカS] 新潟スタジアム （にいがたスタジアム）は、 新潟県 新潟市 中央区 の 鳥屋野潟公園 のうち、 新潟県スポーツ公園 の園内に所在する 陸上競技場 。 球技場 としても使用される。 東京都 中央区 に本社を置く デンカ株式会社（旧・電気化学工業） が 施設命名権 を取得しており、 2014年 1月1日 から デンカビッグスワンスタジアム の呼称を使用している。","https://ja.wikipedia.org/wiki/新潟スタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯37度52分57.41秒東経139度03分33.01秒","新潟市中央区清五郎67番地12","新潟県","北緯37度52分57.41秒東経139度03分33.01秒﻿ / ﻿北緯37.8826139度 東経139.0591694度﻿ /37.8826139; 139.0591694座標:北緯37度52分57.41秒東経139度03分33.01秒﻿ / ﻿北緯37.8826139度 東経139.0591694度﻿ /37.8826139; 139.0591694","アルビレックス新潟・都市緑花センターグループ（指定管理者）","天然芝（107m x 72m）","2001年4月29日","2基","","105m x 68m","日建設計","鹿島建設・福田組・加賀田組JV清水建設・本間組・丸運建設JV大成建設・第一建設工業・ロッテ建設JV","","","","","","","",""
"長岡市営陸上競技場 (存在しないページ)","[長岡市営陸上競技場/ 長岡]","https://ja.wikipedia.org/w/index.php?title=長岡市営陸上競技場&amp;action=edit&amp;redlink=1","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長野市営陸上競技場","[長野市営陸上競技場/ 長野] 長野市営長野運動公園総合運動場陸上競技場 （ながのしえい ながのうんどうこうえんそうごううんどうじょう りくじょうきょうぎじょう）は、 長野県 長野市 の 長野運動公園 総合運動場にある 陸上競技場 。球技場としても使用されている。","https://ja.wikipedia.org/wiki/長野市営陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度39分31.14秒東経138度14分0.44秒","長野県長野市吉田五丁目1番14号","長野市","北緯36度39分31.14秒東経138度14分0.44秒﻿ / ﻿北緯36.6586500度 東経138.2334556度﻿ /36.6586500; 138.2334556座標:北緯36度39分31.14秒東経138度14分0.44秒﻿ / ﻿北緯36.6586500度 東経138.2334556度﻿ /36.6586500; 138.2334556","シンコースポーツ(株)（指定管理者）","天然芝","1976年（昭和51年）4月24日","","","106m×70m","","","","","","","","","",""
"佐久総合運動公園陸上競技場","[佐久総合運動公園陸上競技場/ 佐久] 佐久総合運動公園陸上競技場 （さく・そうごううんどうこうえん・りくじょうきょうぎじょう）は、 長野県 佐久市 の佐久総合運動公園内にある 陸上競技場 。 球技場 としても使用される。施設は 佐久市 が所有し、佐久市教育委員会体育課が運営管理を行っている  。","https://ja.wikipedia.org/wiki/佐久総合運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度14分16.64秒東経138度29分36.11秒","長野県佐久市平賀3011","佐久市","北緯36度14分16.64秒東経138度29分36.11秒﻿ / ﻿北緯36.2379556度 東経138.4933639度﻿ /36.2379556; 138.4933639座標:北緯36度14分16.64秒東経138度29分36.11秒﻿ / ﻿北緯36.2379556度 東経138.4933639度﻿ /36.2379556; 138.4933639","佐久市教育委員会スポーツ課","天然芝","2013年3月","","有（200ルクス）","105m×68m","株式会社KRC","竹花組トーエネック協友工業西松建設・田中住建特定建設工業企業体関電工","","65億円","2011年11月","","","","",""
"伊那市総合運動場 (存在しないページ)","[伊那市総合運動場/ 伊那]","https://ja.wikipedia.org/w/index.php?title=伊那市総合運動場&amp;action=edit&amp;redlink=1","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"裾野市運動公園陸上競技場","[裾野市運動公園陸上競技場/ 裾野陸上] 裾野市運動公園陸上競技場 （すそのしうんどうこうえんりくじょうきょうぎじょう）は、 静岡県 裾野市 今里に所在する第3種公認 陸上競技場 である。ブルートラックを採用し  、毎年10月に裾野市陸上競技選手権大会が開催される  。また、サッカーの試合会場として、 アスルクラロ沼津 や  ジヤトコサッカー部 の主催試合が開催された   。2014年7月には国立競技場（東京）から東京五輪開催に向けた建て替えに伴い譲り受けた座席の一部を設置した  。","https://ja.wikipedia.org/wiki/裾野市運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","静岡県裾野市今里1616-1","裾野市","","シンコースポーツ・静岡ビル保善グループ","天然芝","","","","","","","","","","","","","",""
