"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","公式サイト","外部リンク","法人番号","国","地方","総人口","人口密度","駐車場","開園","都道府県","市町村コード","隣接自治体","設備・遊具","市長","事務所"
"宇部市","[111渡辺翁記念公園市立近隣公園山口県宇部市渡辺翁記念会館ほか] 宇部市 （うべし）は、 山口県 西部、 周防灘 （ 瀬戸内海 ）に面した 市 。","https://ja.wikipedia.org/wiki/宇部市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度57分5.7秒東経131度14分48.2秒","〒755-8601山口県宇部市常盤町一丁目7番1号北緯33度57分5.7秒東経131度14分48.2秒﻿ / ﻿北緯33.951583度 東経131.246722度﻿ /33.951583; 131.246722﻿ (宇部市)座標:北緯33度57分5.7秒東経131度14分48.2秒﻿ / ﻿北緯33.951583度 東経131.246722度﻿ /33.951583; 131.246722﻿ (宇部市)市庁舎位置","286.65km2","","","","公式ウェブサイト","3000020352021","日本","中国地方中国・四国地方","161,890人（推計人口、2021年6月1日）","565人/km2","","","山口県","35202-1","山陽小野田市、山口市、美祢市","","篠﨑圭二",""
"三田尻塩田記念産業公園","[112防府市三田尻塩田記念産業公園山口県防府市三田尻塩田旧越中屋釜屋煙突など] 三田尻塩田記念産業公園 （みたじりえんでんきねんさんぎょうこうえん）は、 山口県 防府市 大字浜方鶴浜にある展示館。 1992年 に開業。開業時の名称は三田尻塩田記念公園。","https://ja.wikipedia.org/wiki/三田尻塩田記念産業公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度01分04秒 東経131度33分34秒","","","","","","","","","","","","","","","","","","",""
"柳井市","[113茶臼山古墳歴史の広場山口県柳井市柳井茶臼山古墳] 柳井市 （やないし）は、 山口県 南東部の 市 。","https://ja.wikipedia.org/wiki/柳井市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度57分49.9秒東経132度6分5.6秒","〒742-8714山口県柳井市南町一丁目10番2号北緯33度57分49.9秒東経132度6分5.6秒﻿ / ﻿北緯33.963861度 東経132.101556度﻿ /33.963861; 132.101556﻿ (柳井市)座標:北緯33度57分49.9秒東経132度6分5.6秒﻿ / ﻿北緯33.963861度 東経132.101556度﻿ /33.963861; 132.101556﻿ (柳井市)市庁舎位置","140.05km2","","","","公式ウェブサイト","4000020352128","日本","中国地方中国・四国地方","30,420人（推計人口、2021年6月1日）","217人/km2","","","山口県","35212-8","光市、岩国市、熊毛郡平生町、田布施町、上関町、大島郡周防大島町","","井原健太郎",""
"琴弾公園","[114琴弾公園県立風致公園香川県観音寺市銭形砂絵] 琴弾公園 （ことひきこうえん）は、 香川県 観音寺市 にある香川県営の 都市公園 （風致公園）である  。 瀬戸内海国立公園 に含まれ、国の 名勝 に指定されている。1897年に県立公園として開園。設計は園芸師の 小沢圭次郎 。","https://ja.wikipedia.org/wiki/琴弾公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度8分0.81秒東経133度38分32.01秒","日本香川県観音寺市有明町","48ha","都市公園（風致公園）","香川県","","","","","","","","あり","","","","","","",""
"道後公園","[115道後公園県立総合公園愛媛県松山市湯築城] 道後公園 （どうごこうえん）は、 愛媛県 松山市 道後公園にある 湯築城 跡とその周辺からなる愛媛県立の 都市公園 （ 総合公園 ）である  。","https://ja.wikipedia.org/wiki/道後公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度50分53.9秒 東経132度47分12.5秒","日本愛媛県松山市道後公園","8.56ha","都市公園（総合公園）","愛媛県","愛媛県のサイト","","","","","","","","","","","","","",""
"宇和島市","[116城山公園市立歴史公園愛媛県宇和島市宇和島城] 宇和島市 （うわじまし）は、 愛媛県 の南部（ 南予地方 ）に位置する 都市 。南予地方の中心都市で、 宇和島城 を中心に発展した 闘牛 で有名な旧 城下町 でもある。","https://ja.wikipedia.org/wiki/宇和島市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度13分23.9秒東経132度33分38秒","〒798-8601愛媛県宇和島市曙町1番地北緯33度13分23.9秒東経132度33分38秒﻿ / ﻿北緯33.223306度 東経132.56056度﻿ /33.223306; 132.56056座標:北緯33度13分23.9秒東経132度33分38秒﻿ / ﻿北緯33.223306度 東経132.56056度﻿ /33.223306; 132.56056","468.19km2","","","","公式ウェブサイト","3000020382035","日本","四国地方中国・四国地方","69,566人（推計人口、2021年6月1日）","149人/km2","","","愛媛県","38203-5","西予市、南宇和郡愛南町、北宇和郡鬼北町、松野町高知県：四万十市、宿毛市","","岡原文彰",""
"桂浜公園","[117桂浜公園市立風致公園高知県高知市坂本龍馬像ほか] 桂浜 （かつらはま）は、 高知県 高知市 浦戸 に位置し 太平洋 に臨む 海岸 。 土佐 民謡 「 よさこい節 」にも詠われ、そして太平洋を望んで立つ 坂本龍馬 の銅像がある浜辺は、高知を代表する名所の一つとして知られる。","https://ja.wikipedia.org/wiki/桂浜公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度29分43.79秒 東経133度34分25.81秒","","","","","","","","","","","","","","","","","","",""
"櫓山荘公園 (存在しないページ)","[118櫓山荘公園市立風致公園福岡県北九州市櫓山荘]","https://ja.wikipedia.org/w/index.php?title=櫓山荘公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"勝山公園 (北九州市)","[119勝山公園市立総合公園福岡県北九州市小倉城] 勝山公園 （かつやまこうえん）は、 福岡県 北九州市 小倉北区 城内 にある 都市公園 である。","https://ja.wikipedia.org/wiki/勝山公園_(北九州市)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"舞鶴公園","[120舞鶴公園市立総合公園福岡県福岡市鴻臚館・福岡城] 舞鶴公園 （まいづるこうえん）は、 福岡県 福岡市 中央区 にある 福岡城 の本丸址を中心とする 公園 。福岡市中心部 大濠公園 の東部に隣接する位置にあり、市民の憩いの場となっている。城址には約500本の桜が植えられており、毎年春には大勢の花見客で賑わう。","https://ja.wikipedia.org/wiki/舞鶴公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度35分10.9176秒東経130度23分6.6912秒","日本福岡県福岡市中央区城内1","39.3ha","総合公園","福岡市","舞鶴公園","","","","","","","あり（139台）","1948年","","","","陸上競技場、球技場、梅園芝生広場、菖蒲園、牡丹芍薬園など","","舞鶴公園管理事務所"
"友泉亭公園","[121友泉亭公園福岡県福岡市友泉亭] 友泉亭公園 （ゆうせんていこうえん）は 福岡市城南区 にある、旧 福岡藩 主 黒田家 の別邸跡を整備した 公園 である。福岡市指定 名勝 。","https://ja.wikipedia.org/wiki/友泉亭公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","福岡県福岡市城南区友泉亭1番46号","1.0ヘクタール","歴史公園","","","","","","","","","20台（普通車）","1981年4月26日","","","","","",""
"大濠公園","[122大濠公園県立総合公園福岡県福岡市福岡城] 大濠公園 （おおほりこうえん）は、 福岡市 中央区 にある 福岡県 営の 都市公園 （総合公園）である。国の 登録記念物 となっている。また、同公園を町域とする同区の町名でもある。郵便番号は810-0051。","https://ja.wikipedia.org/wiki/大濠公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度35分9.1秒東経130度22分34.5秒","日本福岡県福岡市中央区大濠公園","39.8ヘクタール","都市公園（総合公園）","福岡県（指定管理者：西鉄ビルマネージメント株式会社）","公式サイト","","","","","","","103台（普通車）","1929年（昭和4年）3月","","","","日本庭園、能楽堂、ボート池、児童遊園、ジョギングロードなど","","大濠・西公園管理事務所"
"宮浦石炭記念公園 (存在しないページ)","[123宮浦石炭記念公園市立歴史公園福岡県大牟田市三井三池炭鉱宮浦坑]","https://ja.wikipedia.org/w/index.php?title=宮浦石炭記念公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"平原歴史公園 (存在しないページ)","[124平原歴史公園市立街区公園福岡県糸島市平原遺跡]","https://ja.wikipedia.org/w/index.php?title=平原歴史公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"朝倉市","[125平塚川添遺跡公園福岡県朝倉市平塚川添遺跡] 朝倉市 （あさくらし）は、 福岡県 の中南部、 筑後地域 に位置する 市 である。","https://ja.wikipedia.org/wiki/朝倉市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度25分24.3秒東経130度39分55.9秒","〒838-0061福岡県朝倉市菩提寺412番地2北緯33度25分24.3秒東経130度39分55.9秒﻿ / ﻿北緯33.423417度 東経130.665528度﻿ /33.423417; 130.665528座標:北緯33度25分24.3秒東経130度39分55.9秒﻿ / ﻿北緯33.423417度 東経130.665528度﻿ /33.423417; 130.665528市庁舎位置","246.71km2","","","","公式ウェブサイト","1000020402281","日本","九州地方","49,254人（推計人口、2020年9月1日）","200人/km2","","","福岡県","40228-1","久留米市、うきは市、嘉麻市、朝倉郡筑前町、東峰村、三井郡大刀洗町大分県日田市","","林裕二",""
"石井樋公園 (存在しないページ)","[126石井樋公園佐賀県佐賀市石井樋]","https://ja.wikipedia.org/w/index.php?title=石井樋公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"佐野記念公園 (存在しないページ)","[127佐野記念公園市立地区公園佐賀県佐賀市三重津海軍所]","https://ja.wikipedia.org/w/index.php?title=佐野記念公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"鹿島市","[128旭ヶ岡公園市立近隣公園佐賀県鹿島市肥前鹿島城] 鹿島市 （かしまし）は、 佐賀県 の南部にある 市 である。旧 藤津郡 。","https://ja.wikipedia.org/wiki/鹿島市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度6分13.8秒東経130度5分54.9秒","〒849-1391佐賀県鹿島市大字納富分2643-1北緯33度6分13.8秒東経130度5分54.9秒﻿ / ﻿北緯33.103833度 東経130.098583度﻿ /33.103833; 130.098583座標:北緯33度6分13.8秒東経130度5分54.9秒﻿ / ﻿北緯33.103833度 東経130.098583度﻿ /33.103833; 130.098583","112.12km2","","","","公式ウェブサイト","1000020412074","日本","九州地方","27,519人（推計人口、2021年6月1日）","245人/km2","","","佐賀県","41207-4","嬉野市、杵島郡白石町、藤津郡太良町長崎県大村市","","樋口久俊",""
"長崎県","[129島原城跡公園市立特殊公園長崎県島原市島原城] 五島列島 、 壱岐島 、 対馬 など数多くの 島嶼 を含み、47 都道府県 中最も島が多いことで知られる。また、多島であるうえに リアス式海岸 を多く擁することから 海岸線 の長さは47都道府県中第2位もしくは第1位となっている（※ 「 地形 」節にて詳説 ）。","https://ja.wikipedia.org/wiki/長崎県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯32度44分41.4秒東経129度52分25.4秒","〒850-8570長崎県長崎市尾上町3番1号北緯32度44分41.4秒東経129度52分25.4秒﻿ / ﻿北緯32.744833度 東経129.873722度﻿ /32.744833; 129.873722座標:北緯32度44分41.4秒東経129度52分25.4秒﻿ / ﻿北緯32.744833度 東経129.873722度﻿ /32.744833; 129.873722","4,130.88km2","","","","公式ウェブサイト","4000020420000","日本","九州地方","1,298,801人（推計人口、2021年6月1日）","314人/km2","","","","","","","",""
