"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","法人番号","位置","創建年","山号","本尊","宗派","文化財","開基","札所等","正式名","別称","公式HP","寺格","開山","宗旨","院号","中興","中興年"
"本妙寺 (熊本市)","[本妙寺（ほんみょうじ）（熊本市西区）] 本妙寺 （ほんみょうじ）は、 熊本市 西区 の 熊本城 北西にある 日蓮宗 六条門流 の寺で大本山本圀寺から「六条門流九州総導師」の特別寺格を与えられている。山号は発星山。本尊は 十界曼荼羅 。親師法縁。 日蓮宗 の熱心な信者であり 肥後 熊本藩 の初代藩主・ 加藤清正 を祀る 浄池廟 （じょうちびょう）があることで知られる。浄池廟の奥には長い石段があり、これを上ると清正の銅像がある。","https://ja.wikipedia.org/wiki/本妙寺_(熊本市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯32度49分0.4秒東経130度41分22.4秒","熊本県熊本市西区花園4-13-1","2330005000670","北緯32度49分0.4秒東経130度41分22.4秒﻿ / ﻿北緯32.816778度 東経130.689556度﻿ /32.816778; 130.689556座標:北緯32度49分0.4秒東経130度41分22.4秒﻿ / ﻿北緯32.816778度 東経130.689556度﻿ /32.816778; 130.689556","1585年（天正13年）","発星山","十界曼荼羅","日蓮宗六条門流","仁王門（登録有形文化財）短刀 銘光世・紙本墨書日本紀竟宴和歌上下2巻ほか（国の重要文化財）安南国書（国の重要美術品）短刀 備州長船祐定・刀 同田貫正国（県文化財）","加藤清正、日真（開山）","","","","","六条門流九州総導師","","","","",""
"本法寺 (京都市)","[本法寺（ほんぽうじ）（京都市上京区）] 本法寺 （ほんぽうじ）は、 京都府 京都市 上京区 にある、 日蓮宗 の本山（由緒寺院）。山号は叡昌山。塔頭が三院ある（ 尊陽院 、教行院、教蔵院）。","https://ja.wikipedia.org/wiki/本法寺_(京都市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度2分6秒東経135度45分7.8秒","京都府京都市上京区小川通寺之内上る本法寺前町617","2130005002126","北緯35度2分6秒東経135度45分7.8秒﻿ / ﻿北緯35.03500度 東経135.752167度﻿ /35.03500; 135.752167","1436年（永享8年）","叡昌山","三宝尊","日蓮宗","紙本著色仏涅槃図（重要文化財）ほか","本阿弥清信","洛中法華21ヶ寺","","","","本山","日親","","","",""
"松尾寺 (舞鶴市)","[松尾寺（まつおじ、まつのおでら）（京都府舞鶴市）] 松尾寺 （まつのおでら）は、 京都府 舞鶴市 松尾にある 真言宗醍醐派 の 寺院 。 山号 は青葉山。 本尊 は 馬頭観音菩薩 。 西国三十三所 第29番札所。","https://ja.wikipedia.org/wiki/松尾寺_(舞鶴市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度29分50.74秒東経135度28分9.75秒","京都府舞鶴市松尾532","5130005011875","北緯35度29分50.74秒東経135度28分9.75秒﻿ / ﻿北緯35.4974278度 東経135.4693750度﻿ /35.4974278; 135.4693750﻿ (松尾寺)座標:北緯35度29分50.74秒東経135度28分9.75秒﻿ / ﻿北緯35.4974278度 東経135.4693750度﻿ /35.4974278; 135.4693750﻿ (松尾寺)","伝・和銅元年（708年）","青葉山（あおばさん）","馬頭観音菩薩","真言宗醍醐派","絹本著色普賢延命像（国宝）絹本著色孔雀明王像・木造阿弥陀如来坐像ほか（重要文化財）","","西国三十三所第29番　神仏霊場巡拝の道第132番（京都第52番）","青葉山 松尾寺","","京都府舞鶴市 西国第二十九番札所 青葉山 松尾寺 公式ホームページ","","伝・威光","","","",""
"松尾寺 (大和郡山市)","[松尾寺（まつおでら）（奈良県大和郡山市）] 松尾寺 （まつおでら）は、 奈良県 大和郡山市 にある 真言宗醍醐派 の 別格本山 の 寺院 。 山号 は松尾山または補陀洛山（ふだらくさん）。本尊は 千手観音 。開基（創立者）は 舎人親王 （とねりしんのう）と伝える。「日本最古の厄除け寺」と称され、2月・3月の初午の日の縁日には多くの参詣者でにぎわう。境内には バラ 園があり、バラの名所としても知られる。なお、寺名は「まつのおでら」「まつのおさん」などとも呼ばれる。境内には湧き水もある。","https://ja.wikipedia.org/wiki/松尾寺_(大和郡山市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度38分1.11秒東経135度43分41.17秒","奈良県大和郡山市山田町683","4150005002790","北緯34度38分1.11秒東経135度43分41.17秒﻿ / ﻿北緯34.6336417度 東経135.7281028度﻿ /34.6336417; 135.7281028座標:北緯34度38分1.11秒東経135度43分41.17秒﻿ / ﻿北緯34.6336417度 東経135.7281028度﻿ /34.6336417; 135.7281028","伝・養老2年（718年）","松尾山または補陀洛山","千手千眼観世音菩薩（やくよけ観音）","真言宗醍醐派","本堂、木造大黒天立像ほか（重要文化財）木造千手観音立像（県指定文化財）","伝・舎人親王","大和北部八十八ヶ所霊場第54番役行者霊蹟札所","","まつのおでらまつのおさん","日本最古の厄除霊場ご祈祷寺で有名な近畿、関西、奈良の松尾寺","別格本山","","","","",""
"満願寺 (栃木市)","[満願寺（まんがんじ）（栃木県栃木市）] 満願寺 （まんがんじ）は、 栃木県 栃木市 出流町 にある 真言宗智山派 の 寺院 。山号は出流山（いずるさん）。 坂東三十三観音霊場 の第17番札所  。","https://ja.wikipedia.org/wiki/満願寺_(栃木市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度28分31.9秒東経139度35分21.3秒","栃木県栃木市出流町288","8060005005725","北緯36度28分31.9秒東経139度35分21.3秒﻿ / ﻿北緯36.475528度 東経139.589250度﻿ /36.475528; 139.589250座標:北緯36度28分31.9秒東経139度35分21.3秒﻿ / ﻿北緯36.475528度 東経139.589250度﻿ /36.475528; 139.589250","（伝）天平神護元年（765年）","出流山","千手観音菩薩","真言宗智山派","本堂（県文化財）山門（市文化財）","（伝）勝道","坂東三十三観音霊場第17番関東八十八箇所特別霊場","","出流観音","","","","","","",""
"満願寺 (世田谷区)","[満願寺（まんがんじ）（東京都世田谷区）] 満願寺 （まんがんじ）は、 東京都 世田谷区 等々力 にある 真言宗智山派 の 仏教 寺院 。","https://ja.wikipedia.org/wiki/満願寺_(世田谷区)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度36分36.5秒東経139度38分59.1秒","東京都世田谷区等々力三丁目15番1号","3010905000306","北緯35度36分36.5秒東経139度38分59.1秒﻿ / ﻿北緯35.610139度 東経139.649750度﻿ /35.610139; 139.649750座標:北緯35度36分36.5秒東経139度38分59.1秒﻿ / ﻿北緯35.610139度 東経139.649750度﻿ /35.610139; 139.649750","平安時代末期","致航山（ちこうざん）","金剛界大日如来","真言宗智山派","細井広沢の墓（国の史跡）","","","致航山感應院滿願寺","","","","","新義真言宗","感應院","吉良氏（開基）、定栄（開山）","文明2年（1470年）"
"満願寺 (安曇野市)","[満願寺（まんがんじ）（長野県安曇野市）] 満願寺 （まんがんじ）は、 長野県 安曇野市 にある 真言宗豊山派  の 寺院 。山号は栗尾山。 千手観世音 を祀っており、信濃三十三番札所の二十六番札所である  。「 信濃高野 」とも称される  。","https://ja.wikipedia.org/wiki/満願寺_(安曇野市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度19分51.2秒東経137度49分10.6秒","長野県安曇野市穂高牧1812","5100005006548","北緯36度19分51.2秒東経137度49分10.6秒﻿ / ﻿北緯36.330889度 東経137.819611度﻿ /36.330889; 137.819611座標:北緯36度19分51.2秒東経137度49分10.6秒﻿ / ﻿北緯36.330889度 東経137.819611度﻿ /36.330889; 137.819611","神亀年間（寺伝）","栗尾山","千手観世音","","","","信濃三十三番札所の二十六番","","","","","","真言宗豊山派","","尊応",""
"曼殊院","[曼殊院（まんしゅいん）（京都市左京区）] 曼殊院 （まんしゅいん）は、 京都市 左京区 にある 天台宗 の寺院。本尊は 阿弥陀如来 、開山は是算（ぜさん）である。竹内門跡とも呼ばれる 門跡 寺院（皇族・貴族の子弟が代々住持となる別格寺院のこと）であり、 青蓮院 、 三千院 （梶井門跡）、 妙法院 、 毘沙門堂 門跡と並び、天台五門跡の1つに数えられる。国宝の 黄不動 画像 曼殊院本古今和歌集 をはじめ、多くの文化財を有する。 紅葉 の名所である。","https://ja.wikipedia.org/wiki/曼殊院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度2分55.7秒東経135度48分11.0秒","京都府京都市左京区一乗寺竹ノ内町42","9130005001922","北緯35度2分55.7秒東経135度48分11.0秒﻿ / ﻿北緯35.048806度 東経135.803056度﻿ /35.048806; 135.803056座標:北緯35度2分55.7秒東経135度48分11.0秒﻿ / ﻿北緯35.048806度 東経135.803056度﻿ /35.048806; 135.803056","天暦年間（947年-957年）","なし","阿弥陀如来","天台宗","黄不動画像・古今和歌集（曼殊院本）1巻（国宝）大書院・小書院・木造慈恵大師坐像ほか（重要文化財）庭園（国の名勝）","","近畿三十六不動尊第17番　神仏霊場巡拝の道第108番（京都28番）","","竹内門跡","曼殊院門跡-オフィシャルサイト-","門跡寺院","是算","","","",""
"万寿寺","[万寿寺（まんじゅじ）（京都市東山区）] 万寿寺 （まんじゅじ）は、 京都市 東山区 にある 臨済宗東福寺派 の寺院。 東福寺 の 塔頭 である。かつては 天龍寺 ・ 相国寺 ・ 建仁寺 ・ 東福寺 とともに 京都五山 の1つとして栄えた。非公開のため拝観はできない。","https://ja.wikipedia.org/wiki/万寿寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度58分52.1秒東経135度46分15.9秒","京都府京都市東山区本町十五丁目786番地","9130005001311","北緯34度58分52.1秒東経135度46分15.9秒﻿ / ﻿北緯34.981139度 東経135.771083度﻿ /34.981139; 135.771083﻿ (万寿寺)座標:北緯34度58分52.1秒東経135度46分15.9秒﻿ / ﻿北緯34.981139度 東経135.771083度﻿ /34.981139; 135.771083﻿ (万寿寺)","平安時代後期","なし","阿弥陀如来","臨済宗東福寺派","鐘楼・木造阿弥陀如来坐像ほか（重要文化財）","白河上皇","","","","","東福寺塔頭京都五山五位","","","","",""
"萬福寺","[萬福寺（まんぷくじ）（京都府宇治市）] 萬福寺 （まんぷくじ）は、 京都府 宇治市 にある 黄檗宗 の大本山。日本の近世以前の仏教各派の中では最も遅れて開宗した黄檗宗の中心寺院で、 明 出身の僧 隠元 を開山に請じて建てられた。建物や仏像の様式、儀式作法から 精進料理 に至るまで中国風で  、日本の一般的な仏教寺院とは異なった景観を有する。","https://ja.wikipedia.org/wiki/萬福寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度54分51.32秒東経135度48分21.83秒","京都府宇治市五ヶ庄三番割34","8130005006864","北緯34度54分51.32秒東経135度48分21.83秒﻿ / ﻿北緯34.9142556度 東経135.8060639度﻿ /34.9142556; 135.8060639﻿ (萬福寺)座標:北緯34度54分51.32秒東経135度48分21.83秒﻿ / ﻿北緯34.9142556度 東経135.8060639度﻿ /34.9142556; 135.8060639﻿ (萬福寺)","寛文元年（1661年）","黄檗山","釈迦如来","黄檗宗","建造物23棟・紙本淡彩西湖図4幅ほか（重要文化財）","徳川家綱","都七福神（布袋尊）","","","黄檗宗大本山萬福寺","大本山","隠元隆琦","","","",""
"園城寺","[三井寺（みいでら）（滋賀県大津市）→園城寺] 園城寺 （おんじょうじ）は、 滋賀県 大津市 園城寺町にある 天台寺門宗 の 総本山 の 寺院 。 山号 は長等山（ながらさん）、開基（創立者）は 大友与多王 、 本尊 は 弥勒菩薩 である。日本三不動の一つである 黄不動 で著名であり、観音堂は 西国三十三所 観音霊場の第14番札所で、札所本尊は 如意輪観世音菩薩 である。また、 近江八景 の1つである「三井の晩鐘」でも知られる。なお一般には 三井寺 （みいでら）として知られる。","https://ja.wikipedia.org/wiki/園城寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度0分48.09秒東経135度51分10.26秒","滋賀県大津市園城寺町246","9160005000624","北緯35度0分48.09秒東経135度51分10.26秒﻿ / ﻿北緯35.0133583度 東経135.8528500度﻿ /35.0133583; 135.8528500座標:北緯35度0分48.09秒東経135度51分10.26秒﻿ / ﻿北緯35.0133583度 東経135.8528500度﻿ /35.0133583; 135.8528500","7世紀","長等山（ながらさん）","弥勒菩薩","天台寺門宗","金堂、絹本著色不動明王像（黄不動）他8件（国宝）梵鐘他（重要文化財）","大友与多王","西国三十三所第14番西国薬師四十九霊場第48番（別所・水観寺）近江西国三十三観音霊場第4番（別所・近松寺）・第5番江州三十三観音第3番（別所・近松寺）・第4番湖国十一面観音菩薩霊場第1番（別所・微妙寺）びわ湖百八霊場第5番（別所・近松寺）・第6番神仏霊場巡拝の道第147番（滋賀第15番）","長等山 園城寺","三井寺","","総本山","","","","智証大師円珍","貞観元年（859年）"
"水間寺","[水間寺（みずまでら）（大阪府貝塚市）] 水間寺 （みずまでら）は、 大阪府 貝塚市 水間にある 天台宗 の 別格本山 の 寺院 。 水間観音 の通称で知られる。 本尊 は 聖観世音菩薩 。周辺とともに 大阪みどりの百選 に選定されている  。 新西国三十三箇所 第4番札所でもある。","https://ja.wikipedia.org/wiki/水間寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度23分55.89秒東経135度23分8.18秒","大阪府貝塚市水間638","8120105006088","北緯34度23分55.89秒東経135度23分8.18秒﻿ / ﻿北緯34.3988583度 東経135.3856056度﻿ /34.3988583; 135.3856056座標:北緯34度23分55.89秒東経135度23分8.18秒﻿ / ﻿北緯34.3988583度 東経135.3856056度﻿ /34.3988583; 135.3856056","天平年間（729年-749年）","龍谷山","聖観世音菩薩","天台宗","三重塔・行基堂ほか（市文化財）","聖武天皇（勅願）","新西国三十三箇所第4番和泉西国三十三箇所第26番神仏霊場巡拝の道第53番（大阪第12番）南海沿線七福神（弁財天）","","水間観音","水間寺公式ホームページ","別格本山","行基","","観音院","",""
