"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","形状","史跡","規模","出土品","埋葬施設","法人番号","文化財","創建年","宗派","山号","別名","本尊","開基","所属","札所等"
"酒船石遺跡","[酒船石遺跡（さかふねいしいせき）〔高市郡明日香村〕] 酒船石遺跡 （さかふねいしいせき）は、 奈良県 明日香村 岡にある、いくつかの石造物からなる 遺跡 。","https://ja.wikipedia.org/wiki/酒船石遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分31.59秒 東経135度49分23.62秒","","","","","","","","","","","","","","","","","","",""
"定林寺跡","[定林寺跡（じょうりんじあと）〔高市郡明日香村〕] 定林寺跡 （じょうりんじあと）は、 奈良県 高市郡 明日香村 立部にある寺院跡。現在無住の小堂が建つ。別名に 立部寺 、 常林寺 など。寺伝などによると 聖徳太子 建立四十六ヶ寺（または七ヶ寺）の一つとされるが、その詳細は判明していない。小堂の西側の春日神社境内に塔跡をはじめ基壇、礎石等の 遺構 が残る。","https://ja.wikipedia.org/wiki/定林寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大安寺","[大官大寺跡（だいかんだいじあと）〔高市郡明日香村〕] 大安寺 （だいあんじ）は、 奈良県 奈良市 大安寺にある 高野山真言宗 の 寺院 。 本尊 は 十一面観音 。 開基 は 舒明天皇 と伝える。 南都七大寺 の1つで、 奈良時代 から 平安時代 前半までは、 東大寺 や 興福寺 と並ぶ大寺であった。","https://ja.wikipedia.org/wiki/大安寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度40分4.8秒東経135度48分45.8秒","北緯34度40分4.8秒東経135度48分45.8秒﻿ / ﻿北緯34.668000度 東経135.812722度﻿ /34.668000; 135.812722座標:北緯34度40分4.8秒東経135度48分45.8秒﻿ / ﻿北緯34.668000度 東経135.812722度﻿ /34.668000; 135.812722","奈良県奈良市大安寺2丁目18-1","","","","","","","","3150005000283","十一面観音立像・馬頭観音立像・不空羂索観音立像ほか（重要文化財）","伝・飛鳥時代","高野山真言宗","無し","","十一面観音","伝・舒明天皇","","大和十三仏霊場第13番神仏霊場巡拝の道第17番（奈良第4番）聖徳太子霊跡第23番大和北部八十八ヶ所霊場第1・2番南都七大寺"
"橘寺","[橘寺境内（たちばなでらけいだい）〔高市郡明日香村〕] 橘寺 （たちばなでら）は、 奈良県 高市郡 明日香村 にある 天台宗 の 寺院 。正式には「仏頭山上宮皇院菩提寺」と称し、 本尊 は 聖徳太子 ・ 如意輪観音 。橘寺という名は、 垂仁天皇 の命により不老不死の果物を取りに行った 田道間守 が持ち帰った 橘 の実を植えたことに由来する。 新西国三十三箇所 第10番札所。","https://ja.wikipedia.org/wiki/橘寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分12秒東経135度49分5秒","北緯34度28分12秒東経135度49分5秒﻿ / ﻿北緯34.47000度 東経135.81806度﻿ /34.47000; 135.81806座標:北緯34度28分12秒東経135度49分5秒﻿ / ﻿北緯34.47000度 東経135.81806度﻿ /34.47000; 135.81806","奈良県高市郡明日香村大字橘","","","","","","","","9150005005070","","不詳","天台宗","仏頭山","","聖徳太子","伝・聖徳太子","","新西国三十三箇所第10番聖徳太子霊跡第8番"
"板蓋宮","[飛鳥宮跡（あすかきゅうせき）〔高市郡明日香村〕1972年4月10日、2016年10月3日名称変更] 板蓋宮 （いたぶきのみや）は、 7世紀 半ばに 皇極天皇 が営んだ 皇居 。一般には 飛鳥板蓋宮 と呼称される。 奈良県 明日香村 岡にある 飛鳥京跡 にあったと伝えられている。","https://ja.wikipedia.org/wiki/板蓋宮","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分24秒 東経135度49分15秒","","","","","","","","","","","","","","","","","","",""
"中尾山古墳","[中尾山古墳（なかおやまこふん）〔高市郡明日香村〕] 中尾山古墳 （なかおやまこふん）は、 奈良県 高市郡 明日香村 平田にある 古墳 。形状は 八角墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/中尾山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度27分51.25秒東経135度48分21.95秒","北緯34度27分51.25秒東経135度48分21.95秒﻿ / ﻿北緯34.4642361度 東経135.8060972度﻿ /34.4642361; 135.8060972座標:北緯34度27分51.25秒東経135度48分21.95秒﻿ / ﻿北緯34.4642361度 東経135.8060972度﻿ /34.4642361; 135.8060972","奈良県高市郡明日香村大字平田（国営飛鳥歴史公園高松塚古墳周辺地区内）","中尾山古墳","8世紀初頭","八角墳","国の史跡「中尾山古墳」","対辺長19.5m高さ4m","沓形石造物・須恵器","横口式石槨","","","","","","中尾塚/中尾石墓","","","",""
"マルコ山古墳","[マルコ山古墳（まるこやまこふん）〔高市郡明日香村〕] マルコ山古墳 は 奈良県 高市郡 明日香村 真弓の真弓丘陵にある 古墳 で 六角墳 とされている（後述）。","https://ja.wikipedia.org/wiki/マルコ山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度27分39.2秒 東経135度47分26.2秒","","奈良県高市郡明日香村大字真弓","","7世紀末～8世紀初め","六角墳","","対角長約24m、高さ約5.3m、二段築成で一辺12mの六角形墳","","","","","","","","","","","",""
"植山古墳","[植山古墳（うえやまこふん）〔橿原市〕] 植山古墳 （うえやまこふん）は、 奈良県 橿原市 に所在する終末期の 古墳 （長方墳）。2000年(平成12年)に橿原市教育委員会により発掘調査されている。 磯長谷古墳群 中の 山田高塚古墳 （伝 推古天皇 陵）へ改葬される前の、 推古天皇 とその子息竹田皇子の合葬墓であった古墳ではないかと言われている。2002年に国の 史跡 に指定されている。令和元年現在、歴史公園として整備が行われている。","https://ja.wikipedia.org/wiki/植山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分34.4秒東経135度48分12.6秒","北緯34度28分34.4秒東経135度48分12.6秒﻿ / ﻿北緯34.476222度 東経135.803500度﻿ /34.476222; 135.803500﻿ (植山古墳)座標:北緯34度28分34.4秒東経135度48分12.6秒﻿ / ﻿北緯34.476222度 東経135.803500度﻿ /34.476222; 135.803500﻿ (植山古墳)","奈良県橿原市五条野町植山","","6世紀末～7世紀前半","長方墳","国の史跡（2002年指定）","東西40m 南北27m","金銅装馬具破片 水晶製三輪玉","横穴式石室二ヶ所 家型石棺 石棺破片","","","","","","","","","",""
"菖蒲池古墳","[菖蒲池古墳（しょうぶいけこふん）〔橿原市〕] 菖蒲池古墳 （しょうぶいけこふん）は、 奈良県 橿原市 菖蒲町にある 古墳 。形状は 方墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/菖蒲池古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分21.91秒東経135度48分28.82秒","北緯34度28分21.91秒東経135度48分28.82秒﻿ / ﻿北緯34.4727528度 東経135.8080056度﻿ /34.4727528; 135.8080056座標:北緯34度28分21.91秒東経135度48分28.82秒﻿ / ﻿北緯34.4727528度 東経135.8080056度﻿ /34.4727528; 135.8080056","奈良県橿原市菖蒲町","菖蒲池古墳","7世紀中頃","方墳","国の史跡「菖蒲池古墳」","一辺30m高さ7.5m","土器片ほか","両袖式横穴式石室（内部に刳抜式家形石棺2基）","","","","","","","","","",""
"新沢千塚古墳群","[新沢千塚古墳群（にいざわせんづかこふんぐん）〔橿原市〕] 新沢千塚古墳群 （にいざわせんづかこふんぐん）は、 奈良県 橿原市 北越智町・川西町にある 古墳群 （ 群集墳 ）。国の 史跡 に指定され、126号墳出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/新沢千塚古墳群","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分40.3秒東経135度46分26.2秒","北緯34度28分40.3秒東経135度46分26.2秒﻿ / ﻿北緯34.477861度 東経135.773944度﻿ /34.477861; 135.773944﻿ (若王子古墳群)座標:北緯34度28分40.3秒東経135度46分26.2秒﻿ / ﻿北緯34.477861度 東経135.773944度﻿ /34.477861; 135.773944﻿ (若王子古墳群)","奈良県橿原市北越智町・川西町","新沢千塚古墳群","4世紀末から7世紀","","国の史跡","円墳など600基以上","","","","","","","","","","","",""
"朱雀大路","[朱雀大路跡（すざくおおじあと）] 朱雀大路 （すざくおおじ / しゅじゃくおおじ）は、 律令制 時代の 日本 における都内の大路で、 条坊制 の都市において宮城・官衙の正面から南方に向かう道のこと。名称は南方の守護神である 朱雀 に因む。都を南北に走り、首都正門 羅城門 に始まり、 大内裏 正門 朱雀門 に終わる。","https://ja.wikipedia.org/wiki/朱雀大路","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"見瀬丸山古墳","[丸山古墳（まるやまこふん）〔橿原市〕] 丸山古墳 （まるやまこふん、五条野丸山古墳/大軽丸山古墳/見瀬丸山古墳）は、 奈良県 橿原市 見瀬町・五条野町・大軽町にある 古墳 。形状は 前方後円墳 。","https://ja.wikipedia.org/wiki/見瀬丸山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分33.12秒東経135度47分53.98秒","北緯34度28分33.12秒東経135度47分53.98秒﻿ / ﻿北緯34.4758667度 東経135.7983278度﻿ /34.4758667; 135.7983278座標:北緯34度28分33.12秒東経135度47分53.98秒﻿ / ﻿北緯34.4758667度 東経135.7983278度﻿ /34.4758667; 135.7983278","奈良県橿原市見瀬町・五条野町・大軽町","丸山古墳","6世紀後半","前方後円墳（剣菱型）","国の史跡「丸山古墳」","墳丘長318m高さ21m","須恵器","","","","","","","五条野丸山古墳/大軽丸山古墳/見瀬丸山古墳","","","",""
"安倍文殊院","[安倍寺跡（あべでらあと）〔桜井市〕] 安倍文殊院 （あべもんじゅいん）は、 奈良県 桜井市 阿部にある 華厳宗 の 寺院 。 山号 は安倍山。 本尊 は 文殊菩薩 。開基は 安倍倉梯麻呂 （あべのくらはしまろ）とされる。 切戸文殊 （ 京都府 ）・ 亀岡文殊 （ 山形県 ）とともに日本三文殊に数えられる。宗教法人名は 文殊院 。","https://ja.wikipedia.org/wiki/安倍文殊院","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度30分13.0秒東経135度50分30.7秒","北緯34度30分13.0秒東経135度50分30.7秒﻿ / ﻿北緯34.503611度 東経135.841861度﻿ /34.503611; 135.841861座標:北緯34度30分13.0秒東経135度50分30.7秒﻿ / ﻿北緯34.503611度 東経135.841861度﻿ /34.503611; 135.841861","奈良県桜井市阿部645","","","","","","","","9150005004064","木造騎獅文殊菩薩及脇侍像（国宝）白山神社本殿（重要文化財）文殊院西古墳（特別史跡）","伝・大化元年（645年）","華厳宗","安倍山","","文殊菩薩","安倍倉梯麻呂","","大和十三仏霊場第3番大和七福八宝めぐり（弁財天）神仏霊場巡拝の道第34番（奈良第21番）大和北部八十八ヶ所霊場第82番大和ぼけ封じ霊場"
"粟原寺","[粟原寺跡（おおばらでらあと）〔桜井市〕] 粟原寺跡 （おおばらでらあと   /おうばらでらあと    /おばらでらあと  ）  は、 奈良県 桜井市 粟原にある 古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/粟原寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大神神社","[大神神社境内（おおみわじんじゃけいだい）〔桜井市〕] 大神神社 （おおみわじんじゃ）は、 奈良県 桜井市 にある神社。 式内社 （ 名神大社 ）、 大和国 一宮 、 二十二社 （中七社）。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/大神神社","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度31分43.5秒東経135度51分10.8秒","北緯34度31分43.5秒東経135度51分10.8秒﻿ / ﻿北緯34.528750度 東経135.853000度﻿ /34.528750; 135.853000﻿ (大神神社)座標:北緯34度31分43.5秒東経135度51分10.8秒﻿ / ﻿北緯34.528750度 東経135.853000度﻿ /34.528750; 135.853000﻿ (大神神社)","奈良県桜井市三輪1422","大神神社","","","","","","","","","","","","三輪明神","","","","神仏霊場巡拝の道第21番（奈良第8番）大和七福八宝めぐり（三輪明神）"
"吉備池廃寺跡","[吉備池廃寺跡（きびいけはいじあと）〔桜井市〕] 吉備池廃寺跡 （きびいけはいじあと）は、 奈良県 桜井市 吉備にある 古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/吉備池廃寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度30分16.60秒 東経135度50分2.05秒","","","","","","","","","","","","","","","","","","",""
