"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","淡水・汽水","成因","周囲長","水面の,標高","最大水深","位置","湖沼型","平均水深","透明度","貯水量","国","人口密度","推計人口"," • 合計","最大都市","流出河川","凍結"
"東アジア","[東アジア大韓民国中華人民共和国香港マカオ中華民国3朝鮮民主主義人民共和国日本モンゴル国] 東アジアは太平洋に接するユーラシア大陸東岸に位置し、約1,176万平方キロメートルの面積を占める地域である。地理的な区分として北は 天山山脈 から モンゴル高原 、 アムール川 （黒竜江）まで、南は 雲貴高原 の地域であり、東は 日本列島 や 台湾 、西は チベット高原 や ヒマラヤ山脈 までを含む地域である。東アジアの東端は 日本海 、 黄海 、 東シナ海 、 南シナ海 を経て西 太平洋 に繋がっている。北に ロシア の シベリア 、南に 東南アジア の インドシナ半島 、西に 中央アジア と 南アジア 、そして東に太平洋を経て 北アメリカ と隣接する地域である。","https://ja.wikipedia.org/wiki/東アジア","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","11,839,074km2","","",""
"東南アジア","[東南アジアインドネシアカンボジアシンガポールタイ東ティモールフィリピンブルネイベトナムマレーシアミャンマーラオス] 東南アジアという用語は比較的新しく、初出は1830年代である。当時の地理学や歴史学が国家論や支配論に偏っていたこともあり、当初は考古学や民族学用語としてのみ普及した  。地理概念として一般化したのは、1942年に 連合国 軍が「東南アジア司令部」を セイロン に設置し、戦後処理を進める連合軍の作戦領域名として政治的にも公式化されるようになってからである。ただし、現在でもイギリス英語やフランス語では、東南アジアという概念に島嶼部を含めないことが多い  。","https://ja.wikipedia.org/wiki/東南アジア","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","4,545,792km2","","",""
"南アジア","[南アジアアフガニスタンイランインドスリランカネパールパキスタンバングラデシュブータンモルディブ] 面積は 4,480,000 km²(日本の約13-4倍ほど) 。現人口は17億人だが、2050年には、22億人にまで増大するとの予測がある。中でも インド の人口増加は凄まじく、インドだけで16億人、また パキスタン でも、3億5,000万人以上に増加すると予測されている。2050年の人口内訳は、インド、15億7000万人、パキスタン、3億6000万人、バングラデシュでは、1億3000万人、ネパールは、4000万人程。","https://ja.wikipedia.org/wiki/南アジア","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"中央アジア","[中央アジアウズベキスタンカザフスタン1キルギスタジキスタントルクメニスタン] 西トルキスタンには、 旧ソ連 諸国のうち カザフスタン 、 キルギス 、 タジキスタン 、 トルクメニスタン 、 ウズベキスタン の5か国が含まれる （以下、中央アジア5か国と記す） 。","https://ja.wikipedia.org/wiki/中央アジア","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"中東","[中東地中海沿岸イスラエル4シリアトルコ1レバノンパレスチナ国3ペルシア湾沿岸アラブ首長国連邦イラクオマーンカタールクウェートサウジアラビア4バーレーン紅海沿岸イエメン2ヨルダン] 中東の概念は物理的に明確な地理的要因に由来するものではなく、特定の主体から見て東に位置する地域を指し示す相対的な概念であり、その範囲は国際政治の変化や文化的な認識の変化により時代とともに伸縮してきた  。","https://ja.wikipedia.org/wiki/中東","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","伝統的中東16か国 アラブ首長国連邦 イエメン イスラエル イラク イラン エジプト オマーン カタール クウェート サウジアラビア シリア トルコ バーレーン パレスチナ ヨルダン レバノン拡大中東13か国 アフガニスタン アルジェリア キプロス 北キプロス・トルコ共和国 スーダン チュニジア 西サハラ ジブチ ソマリア パキスタン モロッコ モーリタニア リビア","","","","","",""
"南コーカサス","[南コーカサスアゼルバイジャン1アルメニア1ジョージア1アブハジア1,3アルツァフ1,3南オセチア1,3] ザカフカジエ、トランスコーカシア（トランスコーカサス）との呼称は、それぞれロシア語・ ラテン語 で「 コーカサス山脈 の向こう側」という意味であり、北の ロシア 側から見た呼称であるため、「向こう側」とは「 南 側」を意味する。この呼称はモスクワ中心の考えであることから、近年、日本の文献では避けられる傾向がある  。なお、厳密にはロシアの ソチ 周辺は南側、アゼルバイジャンの ダヴァヒ県 ・ クバ県 ・ クサル県 ・ シヤザン県 ・ ハヒマズ県 ・ ヒジ県 は北側に位置する。","https://ja.wikipedia.org/wiki/南コーカサス","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"地中海","[地中海キプロス1北キプロス1,3] 地中海には、独立した呼称を持ついくつかの海域が含まれる（ エーゲ海 、 アドリア海 など）。地中海と接続する他の海としては、 ジブラルタル海峡 の西側に 大西洋 が、 ダーダネルス海峡 を経た北東に マルマラ海 と 黒海 があり、南東は スエズ運河 で 紅海 と結ばれている（「 海域 」「 地理 」で詳述）。","https://ja.wikipedia.org/wiki/地中海","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度東経18度","","","","","","","","","","1500m","","","","","","","","",""
"海外領土・自治領の一覧","[海外領土等アクロティリおよびデケリア1イギリス領インド洋地域クリスマス島ココス諸島] 海外領土・自治領の一覧 （かいがいりょうど・じちりょうのいちらん）は、世界に存在する 「独立 国家 以外の地域」 の一覧である。","https://ja.wikipedia.org/wiki/海外領土・自治領の一覧","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ヨーロッパ","[各列内は五十音順。1ヨーロッパにも分類され得る。2一部はアフリカに含まれる。3国連非加盟の国と地域。4紅海の沿岸国でもある。] 地理的には、 ユーラシア大陸 北西の 半島 部を包括し、 ウラル山脈 および コーカサス山脈 の 分水嶺 と ウラル川 ・ カスピ海 ・ 黒海 、そして黒海と エーゲ海 を繋ぐ ボスポラス海峡 - マルマラ海 - ダーダネルス海峡 が、 アジア と区分される 東 の境界となる   。","https://ja.wikipedia.org/wiki/ヨーロッパ","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","1018万 km2","","","","","","","","","","","","70人/km2","","","ロンドンパリ","",""
"Template:日本の湖沼","[表話編歴日本の湖沼] このテンプレートは、 日本の湖沼 に関する ナビゲーションテンプレート です。","https://ja.wikipedia.org/wiki/Template:日本の湖沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"北海道","[北海道阿寒湖厚岸湖網走湖ウトナイ湖生花苗沼大沼 (稚内市)大沼 (七飯町)オコタンペ湖温根沼オンネトーオンネ沼カムイト沼久種湖屈斜路湖倶多楽湖クッチャロ湖小沼駒止湖コムケ湖サロマ湖然別湖支笏湖シブノツナイ湖東雲湖シュンクシタカラ湖蓴菜沼シラルトロ沼知床五湖知床沼神仙沼達古武湖チミケップ湖長節湖チョマトー濤沸湖洞爺湖塘路湖豊似湖能取湖春採湖パンケトーパンケ沼火散布沼風蓮湖ペケレット湖ペンケトーペンケ沼ポロト湖ポロ沼摩周湖宮島沼モエレ沼モケウニ沼藻散布沼湧洞沼羅臼湖] 47都道府県中唯一の「 道 」である。ブランド総合研究所による「都道府県の魅力度ランキング」で2019年現在、11年連続で1位に選ばれ、 観光 意欲度、産品購入意欲度でも1位、居住意欲度でも3位となっており、各意欲の面で高い評価を得ている  。","https://ja.wikipedia.org/wiki/北海道","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度3分51.6秒東経141度20分48.8秒","〒060-8588北海道札幌市中央区北3条西6丁目1番地北緯43度3分51.6秒東経141度20分48.8秒﻿ / ﻿北緯43.064333度 東経141.346889度﻿ /43.064333; 141.346889座標:北緯43度3分51.6秒東経141度20分48.8秒﻿ / ﻿北緯43.064333度 東経141.346889度﻿ /43.064333; 141.346889","83,423.84km2","","","","","","","","","","","日本","62.4人/km2","","","","",""
"東北地方","[東北姉沼市柳沼宇曽利湖小川原湖尾駮沼潟沼十三湖十二湖鷹架沼田光沼田面木沼十和田湖伊豆沼内沼 (登米市)御釜蕪栗沼鳥の海万石浦長面浦長沼浅内沼作沢沼田沢湖八郎潟調整池目潟乙越沼大鳥池白竜湖秋元湖猪苗代湖雄国沼小野川湖男沼五色沼 (福島市)五色沼 (北塩原村)曽原湖仁田沼沼沢湖半田沼桧原湖蓋沼松川浦女沼] 東北地方 （とうほくちほう）は、 日本の地域 のひとつであり、 本州 東北部に位置している。「 奥羽地方 （おううちほう）」ともいう   。最大 都市 は 仙台市 である。","https://ja.wikipedia.org/wiki/東北地方","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","66,951.97km2（2013年10月1日）","","","","","","","","","","","日本","127.1人/km2（直近の統計）","8,511,837人（直近の統計）","","","",""
"関東地方","[関東牛久沼霞ヶ浦菅生沼神之池涸沼鬼怒沼五色沼 (日光市)中禅寺湖湯ノ湖西ノ湖大沼 (赤城山)覚満淵尾瀬沼榛名湖丸沼菅沼大尻沼宝蔵寺沼伊佐沼黒浜沼柴山沼白幡沼鳥羽井沼原市沼別所沼印旛沼手賀沼与田浦古利根沼不忍池洗足池芦ノ湖震生湖] 関東地方 （かんとうちほう）は、 日本の地域区分（全国八地方区分） の1つであり、 本州 の東部に位置している。","https://ja.wikipedia.org/wiki/関東地方","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","32,423.90km2","","","","","","","","","","","日本","1,342人/km2（2021年6月1日）","43,513,294人（2021年6月1日）","","","",""
"北陸地方","[北陸加茂湖佐潟高浪の池鳥屋野潟福島潟松浜の池十二町潟縄ヶ池黒池猫池足洗潟赤倉池祖父谷の天然ダム湖長池ミクリガ池ミドリガ池リンドウ池血の池硯ヶ池水晶池竜晶池五郎池早月川河川敷の水溜り釜池つぶら池ながら池新湯刈込池 (富山県)多枝原池泥鰌池木場潟柴山潟河北潟邑知潟北潟湖水月湖菅湖久々子湖日向湖三方湖] 北陸地方 （ほくりくちほう）は、 本州 中央部の 日本海 に面した 地域 を指す名称である。 畿内 から見て北方にある 五畿七道 の 北陸道 に由来し、 中世 以前では、この地域を北国（ほっこく）と称していた。","https://ja.wikipedia.org/wiki/北陸地方","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度54分58秒 東経139度02分11秒","","25,205.60km2","","","","","","","","","","","日本","202.5人/km2（直近の統計）","5,103,532人（直近の統計）","","","",""
"中央高地","[中央高地大沼池風吹大池白駒の池諏訪湖大正池田代池青木湖木崎湖中綱湖野尻湖白馬大池琵琶池北竜湖松原湖四尾連湖河口湖西湖精進湖本栖湖山中湖] 中央高地 （ちゅうおうこうち）は、 中部地方 の山岳地帯である。","https://ja.wikipedia.org/wiki/中央高地","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"東海地方","[東海一碧湖八丁池佐鳴湖浜名湖油ヶ淵] 東海地方 （とうかいちほう）は、 本州 中央部に位置し 太平洋 に面する 地域 である。一般的には 愛知県 、 岐阜県 、 三重県 、 静岡県 の4県を指す。","https://ja.wikipedia.org/wiki/東海地方","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","29,316.53km2","","","","","","","","","","","日本","507.5人/km2（直近の統計）","14,876,750人（直近の統計）","","","",""
"近畿地方","[近畿余呉湖琵琶湖西の湖阿蘇海久美浜湾離湖尺八池玄覇池深泥池] 近畿地方 （きんきちほう）は、 本州 中西部に位置する 日本の地域 である。かつての 畿内 とその周辺地域から構成される。 難波宮 、 平城宮 、 平安宮 以降 東京奠都 までの 王城 の地で、現在は 関東地方 に次ぐ日本第二の都市圏・経済圏であり、 西日本 の中核である。","https://ja.wikipedia.org/wiki/近畿地方","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度 東経135度","","33,112.42km2","","","","","","","","","","","日本","671.2人/km2（2021年1月1日）","22,226,684人（2021年1月1日）","","","",""
"中国地方","[中国湖山池多鯰ヶ池水尻池東郷池神西湖宍道湖中海] 中国地方 （ちゅうごくちほう）は、 日本の地域 の1つで、 本州 西部に位置する 地方 。 人口 最多および最大の 都市 は、 広島県 にある 広島市 。","https://ja.wikipedia.org/wiki/中国地方","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度03分 東経134度04分","","31,921.87km2","","","","","","","","","","","日本","225.7人/km2（2021年6月1日）","7,205,268人（2021年6月1日）","","","",""
"四国","[四国海老ヶ池夫婦池] 四国 （しこく）は、 日本列島 を構成する 島 の一つである  。","https://ja.wikipedia.org/wiki/四国","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯34度24分1秒 東経134度8分11秒","日本","18,297.78km²","","","","","","","","","","","","","","","松山市","",""
