"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種別","起終点","駅数","開業","所有者"
"帯織駅","帯織駅（おびおりえき）","https://ja.wikipedia.org/wiki/帯織駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度34分21.18秒東経138度55分40.90秒","■信越本線","88.5 km（直江津起点）","東日本旅客鉄道（JR東日本）","1898年（明治31年）6月16日[1]","地上駅","2面2線[1]","新潟県三条市帯織[1]北緯37度34分21.18秒東経138度55分40.90秒﻿ / ﻿北緯37.5725500度 東経138.9280278度﻿ /37.5725500; 138.9280278座標:北緯37度34分21.18秒東経138度55分40.90秒﻿ / ﻿北緯37.5725500度 東経138.9280278度﻿ /37.5725500; 138.9280278","無人駅[1]（自動券売機 有）","ヒオ←ヒヲ","","","","","","","","","",""
"小櫃駅","小櫃駅（おびつえき）","https://ja.wikipedia.org/wiki/小櫃駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度19分42.2秒東経140度3分35.6秒","■久留里線","18.2 km（木更津起点）","東日本旅客鉄道（JR東日本）","1912年（大正元年）12月28日[1]","地上駅","1面1線","千葉県君津市末吉152北緯35度19分42.2秒東経140度3分35.6秒座標:北緯35度19分42.2秒 東経140度3分35.6秒","無人駅（乗車駅証明書発行機 有）開業時から1923年までは「おひつ」と呼称[1]","オヒ←ヲヒ","154人/日（降車客含まず）-2006年-","","","","","","","","",""
"帯解駅","帯解駅（おびとけえき）","https://ja.wikipedia.org/wiki/帯解駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度38分36.36秒東経135度49分34.97秒","U桜井線（万葉まほろば線）","4.8 km（奈良起点）","西日本旅客鉄道（JR西日本）","1898年（明治31年）5月11日[1]","地上駅","2面2線","奈良県奈良市今市町一丁目250北緯34度38分36.36秒東経135度49分34.97秒","無人駅（自動券売機 有）","トケ","461人/日（降車客含まず）-2019年-","","","","","","","","",""
"帯広駅","帯広駅（おびひろえき）","https://ja.wikipedia.org/wiki/帯広駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯42度55分4.8秒東経143度12分7.4秒","■根室本線","180.1 km（滝川起点）","北海道旅客鉄道（JR北海道）","1905年（明治38年）10月21日","高架駅","2面4線","北海道帯広市西2条南12丁目北緯42度55分4.8秒東経143度12分7.4秒﻿ / ﻿北緯42.918000度 東経143.202056度﻿ /42.918000; 143.202056﻿ (帯広駅)","直営駅（管理駅）みどりの窓口有","オロ","1,732人/日（降車客含まず）-2018年[1]-","○K31","","","","","","","",""
"帯広貨物駅","帯広貨物駅（おびひろかもつえき）","https://ja.wikipedia.org/wiki/帯広貨物駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯42度55分39.64秒東経143度8分48.58秒","■根室本線","176.0 km（滝川起点）","日本貨物鉄道（JR貨物）","1968年（昭和43年）10月","地上駅","なし","北海道帯広市西20条南1丁目北緯42度55分39.64秒東経143度8分48.58秒﻿ / ﻿北緯42.9276778度 東経143.1468278度﻿ /42.9276778; 143.1468278座標:北緯42度55分39.64秒東経143度8分48.58秒﻿ / ﻿北緯42.9276778度 東経143.1468278度﻿ /42.9276778; 143.1468278","貨物専用駅","オロカ","","","","","","","","","",""
"於福駅","於福駅（おふくえき）","https://ja.wikipedia.org/wiki/於福駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■美祢線","27.2 km（厚狭起点）","西日本旅客鉄道（JR西日本）","1920年（大正9年）10月30日","地上駅","2面2線","","無人駅","オフ","30人/日（降車客含まず）-2019年-","","","","","","","","",""
"男衾駅","男衾駅（おぶすまえき）","https://ja.wikipedia.org/wiki/男衾駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度6分26.74秒東経139度14分3.99秒","■東上本線","70.8 km（池袋起点）","東武鉄道","1925年（大正14年）7月10日","地上駅","1面2線","埼玉県大里郡寄居町大字富田1739-1北緯36度6分26.74秒東経139度14分3.99秒﻿ / ﻿北緯36.1074278度 東経139.2344417度﻿ /36.1074278; 139.2344417﻿ (男衾駅)座標:北緯36度6分26.74秒東経139度14分3.99秒﻿ / ﻿北緯36.1074278度 東経139.2344417度﻿ /36.1074278; 139.2344417﻿ (男衾駅)","業務委託駅","スマ","","TJ36","1,685人/日-2019年-","","","","","","",""
"小布施駅","小布施駅（おぶせえき）","https://ja.wikipedia.org/wiki/小布施駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","長野線","17.5 km（長野起点）","長野電鉄","1923年（大正12年）3月26日[1]","地上駅","2面3線[1]","","終日駅員配置駅[1]","オフ[1]","767人/日（降車客含まず）-2017年-","N15","","","","","","","",""
"尾幌駅","尾幌駅（おぼろえき）","https://ja.wikipedia.org/wiki/尾幌駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯43度1分6.5秒東経144度42分13.91秒","根室本線（花咲線）","340.9 km（滝川起点）","北海道旅客鉄道（JR北海道）","1917年（大正6年）12月1日","地上駅","1面1線","北海道厚岸郡厚岸町尾幌北緯43度1分6.5秒東経144度42分13.91秒","無人駅","オホ←ヲホ","","","22人/日-2014年-","","","","","","",""
"小前田駅","小前田駅（おまえだえき）","https://ja.wikipedia.org/wiki/小前田駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度7分43.70秒東経139度13分20.87秒","■秩父本線","30.5 km（羽生起点）","秩父鉄道","1901年（明治34年）10月7日","地上駅","2面3線","埼玉県深谷市小前田1680-1北緯36度7分43.70秒東経139度13分20.87秒﻿ / ﻿北緯36.1288056度 東経139.2224639度﻿ /36.1288056; 139.2224639座標:北緯36度7分43.70秒東経139度13分20.87秒﻿ / ﻿北緯36.1288056度 東経139.2224639度﻿ /36.1288056; 139.2224639","","オマ","512人/日（降車客含まず）-2019年-","","1,045人/日-2019年-","","","","","","",""
"小俣駅 (栃木県)","小俣駅 (栃木県)（おまたえき・東日本旅客鉄道両毛線）","https://ja.wikipedia.org/wiki/小俣駅_(栃木県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度22分30.78秒東経139度22分26.56秒","■両毛線","47.3 km（小山起点）","東日本旅客鉄道（JR東日本）","1889年（明治22年）10月10日[1]","地上駅","1面2線[1]","栃木県足利市小俣町682北緯36度22分30.78秒東経139度22分26.56秒座標:北緯36度22分30.78秒 東経139度22分26.56秒","無人駅[1]（自動券売機 有）","マタ","485人/日（降車客含まず）-2002年（平成14年）-","","","","","","","","",""
"小見川駅","小見川駅（おみがわえき）","https://ja.wikipedia.org/wiki/小見川駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度51分0.4秒東経140度36分16.8秒","■成田線","52.7 km（佐倉起点）千葉から68.8 km","東日本旅客鉄道（JR東日本）","1931年（昭和6年）11月10日[1]","地上駅","2面2線","千葉県香取市小見川1316北緯35度51分0.4秒東経140度36分16.8秒座標:北緯35度51分0.4秒 東経140度36分16.8秒","業務委託駅みどりの窓口有","コミ","1,185人/日（降車客含まず）-2019年-","","","","","","","","",""
"小村井駅","小村井駅（おむらいえき）","https://ja.wikipedia.org/wiki/小村井駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度42分36.5秒東経139度49分40.9秒","■亀戸線","1.4 km（曳舟起点）","東武鉄道","1928年4月15日","地上駅","2面2線","東京都墨田区文花二丁目20番1号北緯35度42分36.5秒東経139度49分40.9秒﻿ / ﻿北緯35.710139度 東経139.828028度﻿ /35.710139; 139.828028座標:北緯35度42分36.5秒東経139度49分40.9秒﻿ / ﻿北緯35.710139度 東経139.828028度﻿ /35.710139; 139.828028","","オム","","TS41","11,693人/日-2019年-","","","","","","",""
"小村神社前駅","小村神社前駅（おむらじんじゃまええき）","https://ja.wikipedia.org/wiki/小村神社前駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度32分23.44秒東経133度23分33.58秒","■土讃線","141.6 km（多度津起点）","四国旅客鉄道（JR四国）","2008年（平成20年）3月15日[2]","地上駅","1面1線","高知県高岡郡日高村下分北緯33度32分23.44秒東経133度23分33.58秒","無人駅（自動券売機 有）","オム","","○K08-1","134[1]人/日-2019年-","","","","","","",""
"御室仁和寺駅","御室仁和寺駅（おむろにんなじえき）","https://ja.wikipedia.org/wiki/御室仁和寺駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度1分35.59秒東経135度42分49.87秒","■北野線","1.7 km（北野白梅町起点）","京福電気鉄道","1925年（大正14年）11月3日","地上駅","相対式2面2線","京都市右京区御室小松野町北緯35度1分35.59秒東経135度42分49.87秒﻿ / ﻿北緯35.0265528度 東経135.7138528度﻿ /35.0265528; 135.7138528座標:北緯35度1分35.59秒東経135度42分49.87秒﻿ / ﻿北緯35.0265528度 東経135.7138528度﻿ /35.0265528; 135.7138528","","","","●B5","579人/日-2019年-","","","","","","",""
"思川駅","思川駅（おもいがわえき）","https://ja.wikipedia.org/wiki/思川駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度21分2.32秒東経139度46分53.68秒","■両毛線","5.4 km（小山*起点）","東日本旅客鉄道（JR東日本）","1911年（明治44年）4月10日[1]","地上駅","1面2線[1]","栃木県小山市大字松沼965北緯36度21分2.32秒東経139度46分53.68秒座標:北緯36度21分2.32秒 東経139度46分53.68秒","無人駅[1]（自動券売機 有）","モワ","675人/日（降車客含まず）-2002年-","","","","","","","","",""
"面影橋停留場","面影橋停留場（おもかげばしていりゅうじょう）","https://ja.wikipedia.org/wiki/面影橋停留場","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度42分46.5秒東経139度42分52.3秒","都電荒川線（東京さくらトラム）","11.7 km（三ノ輪橋起点）","東京都交通局","1930年（昭和5年）3月30日","地上駅","2面2線","東京都新宿区西早稲田三丁目北緯35度42分46.5秒東経139度42分52.3秒﻿ / ﻿北緯35.712917度 東経139.714528度﻿ /35.712917; 139.714528座標:北緯35度42分46.5秒東経139度42分52.3秒﻿ / ﻿北緯35.712917度 東経139.714528度﻿ /35.712917; 139.714528","","","","SA29","822[1]人/日-2019年-","","","","","","",""
"面白山高原駅","面白山高原駅（おもしろやまこうげんえき）","https://ja.wikipedia.org/wiki/面白山高原駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■仙山線","42.5 km（仙台起点）","東日本旅客鉄道（JR東日本）","1987年（昭和62年）4月1日*[1]","地上駅","1面1線[1]","","無人駅[1]","モコ","56人/日（降車客含まず）-2004年-","","","","","","","","",""
"おもちゃのまち駅","おもちゃのまち駅","https://ja.wikipedia.org/wiki/おもちゃのまち駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度27分58.11秒東経139度49分46.21秒","■宇都宮線","12.6 km（新栃木起点）","東武鉄道","1965年（昭和40年）6月7日","地上駅","1面2線","栃木県下都賀郡壬生町幸町一丁目22-1北緯36度27分58.11秒東経139度49分46.21秒﻿ / ﻿北緯36.4661417度 東経139.8295028度﻿ /36.4661417; 139.8295028﻿ (おもちゃのまち駅)座標:北緯36度27分58.11秒東経139度49分46.21秒﻿ / ﻿北緯36.4661417度 東経139.8295028度﻿ /36.4661417; 139.8295028﻿ (おもちゃのまち駅)","","オマ","","TN35","2,621人/日-2019年-","","","","","","",""
"表参道駅","表参道駅（おもてさんどうえき）","https://ja.wikipedia.org/wiki/表参道駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度39分55秒東経139度42分45秒","●[1]銀座線","13.0 km（浅草起点）","東京地下鉄（東京メトロ）","1938年（昭和13年）11月18日","地下駅","2面4線（銀座線・半蔵門線）1面2線（千代田線）","東京都港区北青山三丁目6-12北緯35度39分55秒東経139度42分45秒﻿ / ﻿北緯35.66528度 東経139.71250度﻿ /35.66528; 139.71250座標:北緯35度39分55秒東経139度42分45秒﻿ / ﻿北緯35.66528度 東経139.71250度﻿ /35.66528; 139.71250","駅務管区所在駅","サン","","G02[1]","183,989人/日-2019年-","","","","","","",""
"六甲有馬ロープウェー","表六甲駅（おもてろっこうえき・休止中）","https://ja.wikipedia.org/wiki/六甲有馬ロープウェー","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"尾盛駅","尾盛駅（おもりえき）","https://ja.wikipedia.org/wiki/尾盛駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度11分31.9秒東経138度10分27.6秒","井川線","17.8 km（千頭起点）","大井川鐵道","1959年（昭和34年）8月1日","地上駅","1面1線","静岡県榛原郡川根本町犬間北緯35度11分31.9秒東経138度10分27.6秒﻿ / ﻿北緯35.192194度 東経138.174333度﻿ /35.192194; 138.174333座標:北緯35度11分31.9秒東経138度10分27.6秒﻿ / ﻿北緯35.192194度 東経138.174333度﻿ /35.192194; 138.174333","無人駅標高526m","","0.3人/日（降車客含まず）-2019年-","","0.7人/日-2019年-","","","","","","",""
"おもろまち駅","おもろまち駅","https://ja.wikipedia.org/wiki/おもろまち駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯26度13分22.12秒東経127度41分54.3秒","■沖縄都市モノレール線（ゆいレール）","9.0 km（那覇空港起点）","沖縄都市モノレール","2003年（平成15年）8月10日[1][2]","高架駅","2面2線","沖縄県那覇市おもろまち四丁目1北緯26度13分22.12秒東経127度41分54.3秒﻿ / ﻿北緯26.2228111度 東経127.698417度﻿ /26.2228111; 127.698417座標:北緯26度13分22.12秒東経127度41分54.3秒﻿ / ﻿北緯26.2228111度 東経127.698417度﻿ /26.2228111; 127.698417","","","3,119人/日（降車客含まず）-2020年-","11","","","","","","","",""
"親不知駅","親不知駅（おやしらずえき）","https://ja.wikipedia.org/wiki/親不知駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度0分24.49秒東経137度44分17.12秒","■日本海ひすいライン","8.6km（市振起点）泊から18.0km米原から303.1 km","えちごトキめき鉄道","1912年（大正元年）10月15日[2]","地上駅","1面2線[2]","新潟県糸魚川市大字歌字平18[1]北緯37度0分24.49秒東経137度44分17.12秒﻿ / ﻿北緯37.0068028度 東経137.7380889度﻿ /37.0068028; 137.7380889座標:北緯37度0分24.49秒東経137度44分17.12秒﻿ / ﻿北緯37.0068028度 東経137.7380889度﻿ /37.0068028; 137.7380889","無人駅[2]","オス[2]←ヲス","13人/日（降車客含まず）-2019年-","","","","","","","","",""
